Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Comp,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Lens,Nice,2024-09-28,D,H,0,0,0,0,0,0,56,0,fr Ligue 1,32,4,46.9,36.9,16,7,69.6,26,6,23.1,19,73.1,410,2115,981,19,21,10,2,20.0,3,1,1,16,7,0,0,0,0,0,0,0,5,40.0,38.0,22,0.0,0.0,6,27.3,15.9,0,1,0,0,0,54,2,15.8,410,504,81.3,17,34,18,5,63,6946,2838,208,229,90.8,148,174,85.1,42,63,66.7,0,0,0,,0,0,,0,0,0,461,42,8,0,1,30,17,11,2,4,0,1,10,404,21,2,17,13,43,28,8,1,3,2,1,4,4,100.0,634,73,171,239,231,38,634,17,14,7,7,3,10,21,47.6,11,12,8,4,8,25,18,0,1.9,1.9,0.8,0.8,1.2,1.6,-1.9,-1.9,-1.2,0.09,0,0.9,0.22,0.9
Montpellier,Monaco,2024-09-28,L,A,1,2,-1,0,0,1,35,0,fr Ligue 1,27,6,63.0,46.1,15,11,57.7,20,10,50.0,10,50.0,176,1004,446,12,7,14,6,42.9,3,1,1,17,17,2,2,0,0,0,0,0,11,72.7,48.5,9,0.11,0.33,3,33.3,20.4,1,2,0,0,0,43,0,10.1,210,310,67.7,5,22,3,1,31,4009,2012,92,113,81.4,79,104,76.0,30,70,42.9,0,0,0,,0,0,,0,0,0,261,47,17,3,3,11,14,2,1,1,0,2,6,207,7,5,13,14,13,11,0,0,0,1,1,6,4,66.7,430,80,175,174,82,14,430,26,16,10,15,1,8,22,36.4,14,13,5,8,6,32,26,0,0.9,0.9,-2.4,-2.4,0.6,0.2,0.1,0.1,0.4,0.1,1,2.2,0.38,0.2
Monaco,Montpellier,2024-09-28,W,H,2,1,1,0,0,2,65,0,fr Ligue 1,13,4,7.7,22.2,11,15,42.3,22,14,63.6,8,36.4,421,2321,1235,23,25,5,0,0.0,4,0,0,17,16,4,4,0,0,0,0,0,5,0.0,26.2,21,0.1,0.33,6,28.6,12.3,0,2,0,0,0,54,1,13.3,478,571,83.7,18,41,15,1,67,7505,3068,244,269,90.7,183,212,86.3,31,52,59.6,0,0,0,,0,0,,0,0,0,513,56,19,4,1,15,24,6,4,1,0,2,8,473,25,8,25,18,37,25,3,2,5,2,0,3,2,66.7,703,39,144,400,172,44,703,24,15,11,12,1,10,20,50.0,10,7,3,4,12,36,14,2,3.2,3.2,2.4,2.4,3.0,3.0,-1.2,-1.2,-1.0,0.16,0,0.9,0.3,-0.1
Le Havre,Lille,2024-09-28,L,H,0,3,-3,0,0,0,38,0,fr Ligue 1,26,7,23.1,30.3,14,10,58.3,22,10,45.5,9,40.9,288,1608,880,12,8,11,0,0.0,2,0,0,11,8,0,0,0,0,0,0,0,4,50.0,44.5,7,0.0,0.0,4,57.1,19.1,0,1,0,1,0,37,0,12.0,332,414,80.2,6,25,5,1,33,6133,1964,127,150,84.7,178,196,90.8,24,53,45.3,1,0,1,100.0,0,1,100.0,0,0,0,380,33,12,2,0,11,12,1,1,0,0,1,6,331,8,2,12,9,13,6,3,3,0,1,0,10,6,70.0,514,64,167,257,99,10,514,17,11,9,6,2,8,21,38.1,13,12,4,8,11,28,20,0,0.4,0.4,-2.7,-2.4,0.4,0.6,-0.4,-0.4,-0.4,0.06,0,4.8,0.45,1.8
Saint-Étienne,Nantes,2024-09-29,D,A,2,2,0,1,0,1,39,1,fr Ligue 1,30,3,46.7,39.4,12,14,46.2,13,3,23.1,10,76.9,236,866,439,9,2,26,1,3.8,2,0,0,12,10,4,3,0,0,0,1,0,8,87.5,52.9,4,0.25,0.5,2,50.0,18.9,0,1,1,0,0,35,0,6.0,303,383,79.1,3,27,5,2,26,5441,2069,127,143,88.8,146,163,89.6,23,59,39.0,0,0,0,,0,0,,0,0,0,345,37,11,0,2,11,11,4,3,0,0,1,7,302,2,0,14,6,8,5,1,0,0,2,0,3,1,33.3,502,77,208,215,83,11,501,17,8,12,4,1,9,22,40.9,13,16,7,9,5,22,40,1,1.0,0.2,-0.8,-1.6,0.2,0.6,1.0,0.8,0.8,0.06,0,1.9,0.63,-0.1
Strasbourg,Marseille,2024-09-29,W,H,1,0,1,0,0,1,41,0,fr Ligue 1,36,0,36.1,33.4,11,7,61.1,11,4,36.4,7,63.6,206,861,464,15,8,10,1,10.0,2,0,0,17,7,2,2,0,0,0,0,0,8,62.5,43.4,14,0.07,0.17,6,42.9,19.2,1,1,0,0,0,52,1,17.3,328,413,79.4,12,33,7,1,37,5913,2300,138,156,88.5,160,183,87.4,26,60,43.3,0,0,0,,0,0,,0,0,0,375,37,9,2,2,20,11,8,3,5,0,1,8,325,8,6,14,7,24,19,2,0,2,1,0,3,3,100.0,523,56,174,224,128,18,523,16,11,3,9,4,6,13,46.2,7,10,2,8,10,26,22,0,1.3,1.3,0.8,0.8,1.3,0.9,-0.3,-0.3,-0.3,0.09,1,0.3,0.11,0.3
Reims,Angers,2024-09-29,W,A,3,1,2,0,0,3,47,0,fr Ligue 1,44,4,27.3,32.2,14,13,51.9,18,13,72.2,5,27.8,330,1782,958,22,14,20,2,10.0,3,0,0,11,7,5,3,1,0,1,0,0,10,30.0,23.3,21,0.14,0.3,10,47.6,17.2,1,1,0,0,0,48,0,10.3,388,484,80.2,13,23,7,2,34,6545,2678,195,216,90.3,149,184,81.0,34,57,59.6,0,0,0,,0,0,,0,0,0,446,37,8,5,4,17,13,4,1,3,0,1,7,384,14,9,21,12,35,28,1,0,3,1,2,3,2,66.7,607,94,270,247,103,29,607,18,13,10,6,2,5,19,26.3,14,13,5,8,7,25,25,0,2.9,2.9,1.8,1.8,1.9,1.1,0.1,0.1,-0.9,0.14,1,0.8,0.26,-0.2
Nantes,Saint-Étienne,2024-09-29,D,H,2,2,0,0,0,2,61,0,fr Ligue 1,18,4,11.1,25.2,14,12,53.8,22,13,59.1,9,40.9,292,1676,951,24,14,10,0,0.0,2,1,0,11,12,4,3,0,1,0,0,0,3,0.0,16.3,16,0.13,0.67,3,18.8,13.4,0,2,0,1,0,34,0,13.0,508,605,84.0,13,60,13,6,67,9119,3245,220,241,91.3,229,258,88.8,46,73,63.0,1,1,0,0.0,1,0,0.0,0,1,0,549,54,13,1,3,35,27,8,2,5,0,2,13,507,14,5,10,8,32,19,5,4,3,1,0,3,1,66.7,690,34,119,385,189,31,690,16,11,5,9,2,10,13,76.9,3,6,0,6,6,22,10,0,1.8,1.8,0.8,1.6,1.6,2.2,0.2,0.2,-0.6,0.11,0,1.1,0.13,-0.9
Marseille,Strasbourg,2024-09-29,L,A,0,1,-1,0,0,0,59,0,fr Ligue 1,37,6,27.0,28.5,7,11,38.9,13,7,53.8,6,46.2,471,2491,1038,14,8,16,2,12.5,1,0,0,7,17,0,0,0,0,0,0,0,9,33.3,24.1,10,0.0,0.0,3,30.0,19.2,0,4,0,0,0,46,4,18.7,506,594,85.2,10,33,5,1,30,8016,3138,261,281,92.9,199,221,90.0,28,57,49.1,0,0,0,,0,0,,0,0,0,545,45,18,1,5,14,13,3,1,0,0,4,9,498,8,4,18,10,19,16,1,2,0,0,0,6,5,83.3,686,80,301,286,102,16,686,14,9,10,4,0,7,11,63.6,4,8,2,6,9,23,22,0,0.5,0.5,-0.8,-0.8,0.5,0.5,-0.5,-0.5,-0.5,0.05,0,0.4,0.07,-0.6
Lyon,Toulouse,2024-09-29,W,A,2,1,1,0,0,1,54,0,fr Ligue 1,37,10,21.6,30.0,6,13,31.6,17,8,47.1,8,47.1,307,1451,724,18,6,15,3,20.0,2,0,0,15,10,1,0,0,0,1,0,0,5,40.0,38.4,4,0.25,1.0,1,25.0,8.7,0,1,0,0,0,41,1,12.9,432,519,83.2,3,40,3,1,37,7401,2610,187,197,94.9,202,225,89.8,32,68,47.1,0,0,0,,0,0,,0,0,0,479,39,15,0,4,16,13,4,2,2,0,1,12,429,6,5,12,17,7,3,1,2,1,0,0,4,3,75.0,605,76,196,286,125,9,605,17,9,6,9,2,10,21,47.6,11,10,2,8,7,24,19,0,0.4,0.4,-0.5,-0.5,0.3,0.4,0.6,0.6,-0.3,0.11,0,0.9,0.23,-0.1
Angers,Reims,2024-09-29,L,H,1,3,-2,0,0,1,53,0,fr Ligue 1,23,8,8.7,24.2,13,14,48.1,19,14,73.7,5,26.3,385,1991,1146,19,16,12,0,0.0,0,0,0,7,11,2,2,0,0,0,0,0,9,11.1,24.1,14,0.07,0.33,3,21.4,17.8,1,2,0,0,0,48,3,16.2,446,545,81.8,10,35,4,0,46,7986,3025,179,206,86.9,231,269,85.9,34,57,59.6,0,0,0,,0,0,,0,0,0,495,48,11,2,0,25,19,5,2,0,1,2,9,442,16,5,15,13,25,18,3,1,1,1,1,10,7,70.0,658,61,197,312,156,17,658,17,12,6,10,1,5,18,27.8,13,10,2,8,14,31,18,0,1.1,1.1,-1.8,-1.8,1.0,1.0,-0.1,-0.1,0.0,0.08,1,2.3,0.23,-0.7
Toulouse,Lyon,2024-09-29,L,H,1,2,-1,0,0,1,46,0,fr Ligue 1,25,2,36.0,30.1,13,6,68.4,22,11,50.0,10,45.5,333,1667,780,16,11,12,0,0.0,2,0,0,12,15,2,2,0,0,0,0,0,2,0.0,16.0,10,0.1,0.25,4,40.0,18.3,0,4,0,0,1,56,0,12.0,340,442,76.9,7,27,8,1,37,5663,2467,170,200,85.0,141,167,84.4,24,43,55.8,0,0,0,,0,0,,0,0,1,395,43,16,4,1,16,19,3,2,1,0,4,8,337,11,3,13,7,19,12,3,0,1,3,0,1,0,-100.0,545,55,208,224,126,21,545,25,14,13,12,0,8,16,50.0,8,12,2,10,8,33,17,0,0.9,0.9,0.5,0.5,0.8,0.9,0.1,0.1,0.2,0.09,0,0.3,0.26,-0.7
Marseille,Angers,2024-10-04,D,H,1,1,0,0,0,1,76,0,fr Ligue 1,21,3,4.8,16.5,16,6,72.7,15,10,66.7,5,33.3,566,2884,1740,18,28,9,1,11.1,4,1,1,15,9,2,2,0,0,0,0,0,5,0.0,25.6,16,0.06,0.25,4,25.0,19.2,1,0,0,0,0,30,1,17.0,700,773,90.6,12,78,13,0,79,10558,2897,368,385,95.6,298,327,91.1,20,36,55.6,0,0,0,,0,0,,1,0,0,731,42,12,1,1,23,14,9,8,0,0,0,9,694,28,6,14,3,31,23,3,2,1,1,1,3,2,66.7,848,26,84,455,311,29,848,17,14,6,7,4,14,21,66.7,7,4,3,1,4,21,6,0,0.9,0.9,0.1,0.1,0.5,1.4,0.1,0.1,-0.5,0.06,1,0.3,0.11,-0.7
Angers,Marseille,2024-10-04,D,A,1,1,0,0,0,1,24,0,fr Ligue 1,12,0,66.7,46.8,6,16,27.3,22,7,31.8,14,63.6,149,1017,580,14,7,19,2,10.5,0,1,0,9,14,2,0,0,0,0,1,1,11,72.7,52.0,10,0.1,0.33,3,30.0,22.8,1,4,0,0,0,32,0,5.5,194,247,78.5,6,16,4,1,15,3548,1495,91,96,94.8,79,94,84.0,22,47,46.8,0,0,0,,0,0,,0,0,0,204,39,14,2,2,12,9,3,0,2,0,4,2,194,7,4,12,3,15,7,2,1,1,2,2,4,3,75.0,356,52,140,137,83,11,356,8,7,5,2,1,5,15,33.3,10,12,6,6,7,15,23,2,0.8,0.8,-0.1,-0.1,0.7,0.5,0.2,0.2,-0.7,0.08,1,1.3,0.33,0.3
Toulouse,Lille,2024-10-05,L,A,1,2,-1,0,0,1,43,0,fr Ligue 1,25,2,36.0,36.0,13,18,41.9,21,6,28.6,13,61.9,278,1382,714,15,6,9,0,0.0,2,0,0,8,12,1,0,0,0,1,0,0,7,42.9,33.0,9,0.11,0.5,2,22.2,15.8,0,2,0,0,0,36,1,15.0,331,417,79.4,5,28,6,3,36,6163,2207,132,145,91.0,158,187,84.5,34,63,54.0,0,0,0,,0,0,,0,0,0,370,45,13,0,2,23,16,6,5,1,0,2,8,326,6,5,10,9,15,12,1,1,1,0,0,3,1,33.3,512,57,168,228,121,21,512,17,6,2,11,4,9,21,42.9,12,10,3,7,7,24,19,1,1.1,1.1,-0.5,-0.5,0.8,1.1,-0.1,-0.1,-0.8,0.14,0,1.7,0.55,-0.3
Saint-Étienne,Auxerre,2024-10-05,W,H,3,1,2,0,0,3,42,0,fr Ligue 1,30,1,60.0,40.9,15,20,42.9,20,8,40.0,10,50.0,315,1561,773,19,10,24,3,12.5,3,0,0,13,10,6,5,0,1,0,0,0,9,77.8,48.1,13,0.23,0.6,5,38.5,15.2,0,3,0,0,0,54,2,15.7,292,394,74.1,12,22,2,0,28,5326,2268,122,135,90.4,140,170,82.4,27,72,37.5,0,0,0,,0,0,,0,0,0,341,50,14,7,1,12,20,5,3,0,0,3,7,288,10,10,11,14,25,19,3,3,0,0,0,1,0,0.0,534,81,226,238,79,17,534,26,14,13,11,2,11,22,50.0,11,15,5,10,20,46,31,0,2.7,2.7,1.9,1.9,2.3,1.2,0.3,0.3,0.7,0.21,0,0.9,0.88,-0.1
Lille,Toulouse,2024-10-05,W,H,2,1,1,0,0,2,57,0,fr Ligue 1,33,4,36.4,34.2,18,13,58.1,22,12,54.5,9,40.9,433,1890,1159,17,13,20,2,10.0,3,0,0,13,8,4,3,0,1,0,0,0,6,16.7,26.0,10,0.2,0.67,3,30.0,16.9,1,0,0,0,0,41,0,10.6,470,555,84.7,7,31,8,2,45,8162,2518,203,225,90.2,229,256,89.5,29,53,54.7,0,0,0,,0,0,,0,0,0,519,36,9,4,1,11,15,4,3,0,0,0,8,467,13,4,13,8,20,16,1,2,0,1,0,2,1,50.0,660,66,225,324,118,16,660,22,12,14,8,0,13,19,68.4,6,7,1,6,10,32,23,0,1.6,1.6,0.5,0.5,1.5,1.3,0.4,0.4,0.5,0.16,1,1.1,0.54,0.1
Monaco,Rennes,2024-10-05,W,A,2,1,1,0,0,2,42,0,fr Ligue 1,21,2,42.9,38.0,16,16,50.0,27,6,22.2,20,74.1,224,1117,461,9,9,19,1,5.3,4,0,0,16,8,4,2,1,1,0,0,0,8,100.0,59.6,5,0.4,1.0,2,40.0,12.7,0,1,0,0,0,58,0,8.7,303,411,73.7,5,21,4,0,26,5338,2060,151,179,84.4,121,155,78.1,29,62,46.8,0,0,0,,0,0,,0,0,0,365,45,9,0,4,7,22,4,1,2,0,1,8,297,9,5,24,11,9,6,2,1,0,0,0,3,2,66.7,557,70,190,280,92,13,557,24,18,8,12,4,15,25,60.0,10,12,6,6,16,40,33,0,0.6,0.6,-0.2,-0.2,0.6,0.4,1.4,1.4,1.4,0.12,0,0.5,0.15,-0.5
Auxerre,Saint-Étienne,2024-10-05,L,A,1,3,-2,0,0,1,58,0,fr Ligue 1,29,7,44.8,38.1,20,15,57.1,22,11,50.0,11,50.0,428,2086,1088,13,12,10,1,10.0,1,0,0,10,13,2,2,0,0,0,0,0,5,20.0,30.8,11,0.09,1.0,1,9.1,16.5,0,4,0,0,0,52,1,15.3,424,551,77.0,7,32,7,3,42,7059,2655,200,233,85.8,182,211,86.3,30,72,41.7,0,0,0,,0,0,,0,0,0,495,52,16,0,4,27,23,4,1,2,0,4,10,420,12,2,13,15,18,13,2,0,1,0,2,5,2,40.0,663,53,192,300,177,24,663,24,16,9,11,4,10,18,55.6,8,9,3,6,10,34,13,1,0.8,0.8,-1.9,-1.9,0.6,0.6,0.2,0.2,0.4,0.07,0,1.3,0.27,-1.7
Rennes,Monaco,2024-10-05,L,H,1,2,-1,0,0,1,58,0,fr Ligue 1,17,1,17.6,35.0,16,16,50.0,27,10,37.0,15,55.6,415,1734,715,17,9,7,0,0.0,2,0,0,9,15,1,1,0,0,0,0,0,2,0.0,18.5,14,0.07,0.33,3,21.4,22.3,0,1,0,0,0,63,2,20.3,443,566,78.3,11,41,9,1,55,7410,2611,212,244,86.9,187,231,81.0,33,63,52.4,0,0,0,,0,0,,0,1,0,507,58,17,1,2,24,26,10,7,0,0,1,8,438,9,7,23,9,22,17,2,1,2,0,0,2,0,0.0,692,40,197,298,201,25,692,31,22,13,11,7,20,26,76.9,6,9,1,8,11,42,15,0,0.7,0.7,0.2,0.2,0.5,0.6,0.3,0.3,0.5,0.05,0,0.8,0.42,-1.2
Paris S-G,Nice,2024-10-06,D,A,1,1,0,0,0,0,71,0,fr Ligue 1,21,6,4.8,18.4,10,12,45.5,22,9,40.9,11,50.0,529,2087,1189,31,19,9,0,0.0,2,0,0,9,7,0,0,0,0,0,0,0,4,0.0,23.3,19,0.0,0.0,7,36.8,18.6,0,1,0,0,0,46,1,19.5,666,751,88.7,14,64,16,4,54,10921,2977,329,351,93.7,280,311,90.0,48,68,70.6,0,0,0,,0,0,,0,1,0,709,41,9,2,3,32,11,15,3,2,0,1,10,663,19,9,16,13,36,28,3,2,1,1,1,3,2,66.7,854,44,140,400,317,36,854,22,13,6,10,6,11,19,57.9,8,9,3,6,8,30,7,0,1.3,1.3,0.8,0.8,1.2,1.5,-1.3,-1.3,-1.2,0.07,0,1.1,0.38,0.1
Nantes,Lyon,2024-10-06,L,A,0,2,-2,0,0,0,39,0,fr Ligue 1,19,6,26.3,29.3,6,6,50.0,26,11,42.3,15,57.7,314,1427,705,15,11,19,0,0.0,2,0,0,5,10,0,0,0,0,0,0,0,7,42.9,43.6,11,0.0,0.0,6,54.5,15.0,0,1,0,0,1,47,0,10.5,327,420,77.9,7,26,4,1,28,5474,2352,165,184,89.7,129,152,84.9,26,64,40.6,0,0,0,,0,0,,0,1,1,364,55,11,2,2,20,25,9,5,4,0,1,10,324,11,5,13,6,20,14,2,1,0,1,2,6,5,66.7,543,72,209,222,120,20,543,17,12,9,4,4,10,18,55.6,8,9,4,5,8,25,35,0,0.9,0.9,-2.3,-2.3,0.4,0.2,-0.9,-0.9,-0.4,0.08,0,1.3,0.22,0.3
Reims,Montpellier,2024-10-06,W,H,4,2,2,1,0,3,48,1,fr Ligue 1,26,5,61.5,47.5,10,7,58.8,15,9,60.0,6,40.0,302,1928,1126,19,10,15,0,0.0,3,0,0,15,12,7,4,1,1,1,0,0,12,33.3,27.8,17,0.18,0.75,4,23.5,15.8,1,3,0,0,0,42,0,9.0,375,448,83.7,12,29,13,4,41,6619,2656,175,191,91.6,153,169,90.5,34,64,53.1,0,0,0,,0,0,,0,0,0,405,40,11,2,4,17,10,4,1,3,0,3,3,367,10,6,21,5,32,23,2,2,3,1,1,3,1,33.3,555,69,189,255,116,30,554,20,13,12,5,3,15,22,68.2,7,12,3,9,7,27,20,0,3.0,2.2,2.5,1.7,2.0,2.5,1.0,0.8,0.0,0.13,1,0.9,0.29,-1.1
Lens,Strasbourg,2024-10-06,D,A,2,2,0,0,0,2,63,0,fr Ligue 1,41,6,14.6,25.4,9,11,45.0,8,4,50.0,3,37.5,428,2024,1037,16,9,8,2,25.0,4,0,0,18,13,2,2,0,0,0,0,0,4,25.0,24.0,12,0.17,0.4,5,41.7,15.6,0,3,0,1,0,37,2,20.8,486,580,83.8,9,32,16,5,37,7971,2758,273,292,93.5,160,179,89.4,46,80,57.5,1,1,0,0.0,1,0,0.0,0,1,0,531,46,17,3,3,22,17,5,2,0,0,3,12,483,9,2,18,4,21,18,1,2,0,0,0,5,3,80.0,675,69,223,287,169,26,675,16,12,10,2,4,9,12,75.0,3,7,0,7,11,27,13,0,1.0,1.0,-0.3,0.5,0.9,1.5,1.0,1.0,0.1,0.08,0,2.5,0.32,0.5
Montpellier,Reims,2024-10-06,L,A,2,4,-2,0,0,2,52,0,fr Ligue 1,14,3,21.4,28.4,7,10,41.2,22,7,31.8,15,68.2,359,1738,861,18,14,13,1,7.7,5,0,0,13,15,3,1,1,1,0,0,0,7,0.0,18.7,10,0.2,0.67,3,30.0,23.2,0,0,0,1,0,35,2,17.2,403,482,83.6,8,33,7,2,44,7206,2657,172,191,90.1,185,202,91.6,35,65,53.8,1,1,0,0.0,1,0,0.0,0,0,0,430,52,18,0,5,20,18,4,2,2,0,0,11,397,14,5,17,5,19,15,1,3,0,0,0,5,1,40.0,578,51,183,267,132,21,578,11,8,6,5,0,6,15,40.0,9,8,4,4,9,20,14,0,0.5,0.5,-2.5,-1.7,0.3,0.9,1.5,1.5,0.7,0.05,0,2.8,0.42,-1.2
Le Havre,Brest,2024-10-06,L,A,0,2,-2,0,0,0,47,0,fr Ligue 1,23,5,39.1,32.6,16,18,47.1,11,4,36.4,5,45.5,264,1183,582,9,12,11,1,9.1,0,1,0,11,16,0,0,0,0,0,0,0,8,12.5,22.0,14,0.0,,0,0.0,17.3,1,2,0,0,0,45,0,11.5,290,415,69.9,12,26,10,5,37,5344,2282,122,155,78.7,125,154,81.2,36,76,47.4,0,0,0,,0,0,,0,0,0,350,63,20,0,1,35,23,9,6,3,0,2,15,286,12,3,21,10,22,15,2,1,2,2,0,3,1,33.3,526,52,163,206,162,28,526,21,11,7,9,5,14,22,63.6,8,10,3,7,9,30,11,0,1.0,1.0,0.3,0.3,1.0,1.4,-1.0,-1.0,-1.0,0.08,1,1.2,0.39,-0.8
Brest,Le Havre,2024-10-06,W,H,2,0,2,0,0,2,53,0,fr Ligue 1,24,4,33.3,33.4,18,16,52.9,24,8,33.3,14,58.3,248,1375,800,11,7,25,2,8.0,4,1,1,19,11,2,2,0,0,0,0,0,8,50.0,43.6,8,0.25,0.67,3,37.5,16.9,0,2,0,0,0,46,0,5.5,367,476,77.1,7,24,7,2,34,6752,2334,142,162,87.7,185,218,84.9,34,78,43.6,0,0,0,,0,0,,0,0,0,430,44,13,3,3,14,21,1,1,0,0,2,7,363,7,2,13,7,13,8,1,1,1,1,1,0,0,,609,78,232,282,100,15,609,15,9,4,7,4,5,9,55.6,4,16,5,11,12,27,40,0,0.7,0.7,-0.3,-0.3,0.7,0.6,1.3,1.3,1.3,0.09,0,0.0,,0.0
Lyon,Nantes,2024-10-06,W,H,2,0,2,0,0,1,61,0,fr Ligue 1,28,5,25.0,24.8,6,6,50.0,19,8,42.1,10,52.6,441,2477,1324,32,23,16,0,0.0,1,0,0,10,5,2,2,0,0,0,0,0,5,40.0,31.2,17,0.06,0.17,6,35.3,14.5,0,1,0,0,0,51,3,19.0,574,666,86.2,14,34,19,1,60,9557,3247,270,293,92.2,239,273,87.5,44,68,64.7,0,0,0,,0,0,,0,0,0,630,35,6,1,4,21,17,6,2,4,0,1,7,570,23,9,13,7,31,25,1,2,3,0,0,6,6,100.0,794,55,206,376,217,43,794,21,15,14,4,3,15,26,57.7,11,11,2,9,8,29,27,2,3.2,3.2,2.3,2.3,2.4,2.7,-2.2,-2.2,-1.4,0.2,0,1.0,0.17,1.0
Strasbourg,Lens,2024-10-06,D,H,2,2,0,1,0,1,37,1,fr Ligue 1,45,2,55.6,43.4,11,9,55.0,13,3,23.1,9,69.2,231,987,461,10,5,21,1,4.8,2,0,0,15,17,3,1,1,0,0,1,0,9,44.4,30.6,7,0.14,0.25,4,57.1,21.4,0,2,1,0,0,32,0,12.5,260,343,75.8,5,17,2,0,13,4952,2100,104,117,88.9,122,138,88.4,31,68,45.6,0,0,0,,0,0,,0,0,0,290,51,19,2,1,8,17,3,0,2,0,2,7,249,5,4,14,7,13,10,2,0,0,1,0,5,3,60.0,447,70,209,160,83,11,446,7,5,2,5,0,3,7,42.9,4,16,4,12,8,15,28,1,1.2,0.5,0.3,-0.5,0.2,0.4,0.8,0.5,0.8,0.06,0,1.3,0.25,-0.7
Nice,Paris S-G,2024-10-06,D,H,1,1,0,0,0,1,29,0,fr Ligue 1,29,5,48.3,37.3,12,10,54.5,21,8,38.1,11,52.4,251,1251,692,17,7,25,0,0.0,1,0,0,7,9,0,0,0,0,0,0,0,7,14.3,16.7,9,0.11,0.33,3,33.3,17.3,0,2,0,0,1,42,0,5.0,248,313,79.2,8,14,7,3,28,4028,1825,121,136,89.0,99,118,83.9,20,42,47.6,0,0,0,,0,0,,0,0,1,276,35,10,1,0,11,11,5,1,3,0,2,7,247,7,3,16,11,14,11,3,0,0,0,0,7,7,85.7,444,100,226,145,80,12,444,24,13,20,3,1,11,20,55.0,9,15,6,9,7,31,36,0,0.5,0.5,-0.8,-0.8,0.4,0.7,0.5,0.5,-0.4,0.05,0,0.7,0.1,0.7
Monaco,Lille,2024-10-18,D,H,0,0,0,0,0,0,52,0,fr Ligue 1,18,3,33.3,32.8,10,11,47.6,14,3,21.4,7,50.0,373,1669,853,16,14,3,1,33.3,1,1,0,13,14,0,0,0,0,0,0,0,7,28.6,29.1,14,0.0,0.0,4,28.6,16.1,1,2,0,0,0,48,0,6.0,410,504,81.3,11,39,11,1,43,6738,2396,201,231,87.0,160,178,89.9,33,64,51.6,0,0,0,,0,0,,0,0,0,452,50,14,1,1,19,22,6,3,0,0,2,5,408,14,9,15,8,23,15,1,1,2,2,2,1,1,100.0,591,35,150,269,178,28,591,16,11,8,5,3,8,15,53.3,7,8,0,8,8,24,3,0,1.2,1.2,1.0,1.0,1.1,0.9,-1.2,-1.2,-1.1,0.09,1,0.5,0.5,0.5
Lille,Monaco,2024-10-18,D,A,0,0,0,0,0,0,48,0,fr Ligue 1,25,3,52.0,38.2,11,10,52.4,17,7,41.2,8,47.1,363,1927,876,14,11,13,0,0.0,5,0,0,14,13,0,0,0,0,0,0,0,15,33.3,27.3,3,0.0,0.0,1,33.3,15.9,0,1,0,0,0,40,1,14.6,380,471,80.7,3,32,1,0,29,6579,2199,173,192,90.1,161,187,86.1,37,70,52.9,0,0,0,,0,0,,0,0,0,421,49,15,0,3,5,17,1,0,1,0,1,8,377,11,1,22,8,6,5,0,1,0,0,0,4,4,100.0,567,87,198,268,107,5,567,15,9,10,1,4,7,10,70.0,3,6,3,3,17,32,12,2,0.2,0.2,-1.0,-1.0,0.2,0.5,-0.2,-0.2,-0.2,0.08,0,0.9,0.22,0.9
