Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Comp,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Toulouse,Nantes,2024-08-18,D,H,0,0,0,0,0,0,54,0,fr Ligue 1,16,5,12.5,25.6,22,10,68.8,13,5,38.5,7,53.8,380,1705,884,18,8,16,1,6.3,1,0,0,14,10,0,0,0,0,0,0,0,8,62.5,42.6,12,0.0,0.0,6,50.0,12.4,0,0,0,0,0,40,0,10.3,434,538,80.7,9,37,8,2,54,7700,2697,193,218,88.5,195,223,87.4,40,77,51.9,0,0,0,,0,0,,0,0,0,485,53,11,0,4,27,23,10,3,7,0,0,8,429,8,6,15,11,21,10,5,2,2,2,0,2,2,100.0,644,66,178,294,179,28,644,20,12,9,8,3,8,15,53.3,7,6,3,3,8,28,20,0,1.7,1.7,1.2,1.2,1.4,0.9,-1.7,-1.7,-1.4,0.14,0,0.8,0.4,0.8
Rennes,Lyon,2024-08-18,W,H,3,0,3,0,0,3,47,0,fr Ligue 1,16,2,43.8,38.4,12,8,60.0,15,6,40.0,7,46.7,288,1630,969,27,14,15,0,0.0,2,0,0,13,11,5,2,1,1,0,1,0,11,54.5,38.9,22,0.14,0.38,8,36.4,14.9,1,1,0,1,0,47,0,,367,445,82.5,17,30,16,2,43,6110,2481,195,218,89.4,137,159,86.2,31,55,56.4,1,0,1,100.0,0,1,100.0,0,0,0,401,43,14,3,2,12,10,7,5,1,0,1,6,365,14,10,12,15,36,22,6,2,2,2,2,2,1,100.0,576,67,160,248,173,38,576,22,11,10,9,3,15,20,75.0,5,14,6,8,11,33,26,0,2.0,2.0,0.0,0.9,1.5,1.4,1.0,1.0,0.5,0.09,1,0.7,0.05,0.7
Auxerre,Nice,2024-08-18,W,H,2,1,1,0,0,2,45,0,fr Ligue 1,34,1,73.5,45.8,9,9,50.0,17,7,41.2,8,47.1,237,1306,755,14,12,18,0,0.0,0,0,0,11,17,4,2,1,0,0,1,0,5,60.0,47.8,16,0.13,0.29,7,43.8,16.0,1,2,0,0,0,39,3,17.4,364,441,82.5,14,24,9,4,38,7090,2867,148,169,87.6,159,178,89.3,51,77,66.2,0,0,0,,0,0,,0,0,0,397,42,19,0,3,19,13,3,0,2,0,2,7,360,12,3,10,8,30,24,2,1,0,3,0,2,1,50.0,553,61,202,238,115,22,553,19,13,11,8,0,10,15,66.7,5,12,3,9,6,25,27,0,1.8,1.8,1.1,1.1,1.8,1.6,0.2,0.2,0.2,0.12,1,0.6,0.32,-0.4
Nice,Auxerre,2024-08-18,L,A,1,2,-1,0,0,1,55,0,fr Ligue 1,17,6,5.9,19.8,9,9,50.0,17,5,29.4,10,58.8,380,2055,1284,22,12,14,1,7.1,0,0,0,17,11,2,2,0,0,0,0,0,9,0.0,15.2,9,0.11,0.5,2,22.2,14.4,1,3,0,0,0,39,0,9.0,446,530,84.2,8,32,12,3,56,7287,2716,216,230,93.9,206,232,88.8,23,50,46.0,0,0,0,,0,0,,0,0,0,485,42,12,0,0,20,13,5,4,0,0,3,9,445,12,4,15,9,18,16,0,0,0,1,1,7,5,71.4,630,54,174,335,127,23,630,16,10,5,8,3,8,15,53.3,7,6,1,5,8,24,17,2,0.7,0.7,-1.1,-1.1,0.7,1.0,0.3,0.3,0.3,0.08,1,2.2,0.4,0.2
Montpellier,Strasbourg,2024-08-18,D,H,1,1,0,1,0,0,42,1,fr Ligue 1,29,1,75.9,51.2,7,17,29.2,14,3,21.4,10,71.4,190,1261,512,11,7,9,0,0.0,4,0,0,19,16,2,0,0,0,1,1,0,11,18.2,20.5,7,0.0,0.0,4,57.1,17.9,0,0,1,0,0,46,2,17.8,269,356,75.6,5,20,7,2,35,5365,2033,93,108,86.1,129,153,84.3,39,81,48.1,0,0,0,,0,0,,0,0,0,304,52,16,1,3,19,17,6,0,6,0,0,3,266,7,2,18,14,15,11,1,0,1,1,1,4,3,75.0,454,66,158,202,98,15,453,22,13,7,13,2,10,19,52.6,9,7,1,6,3,25,12,0,1.3,0.6,0.4,-0.3,0.5,0.7,-0.3,-0.6,-0.5,0.09,0,1.5,0.39,0.5
Lyon,Rennes,2024-08-18,L,A,0,3,-3,0,1,0,53,1,fr Ligue 1,17,3,35.3,36.2,8,12,40.0,23,5,21.7,15,65.2,342,2076,1084,30,10,9,0,0.0,1,0,0,12,13,0,0,0,0,0,0,0,9,22.2,32.4,15,0.0,0.0,1,6.7,15.8,0,2,1,0,0,39,4,22.2,413,507,81.5,12,34,13,2,58,6711,2590,208,235,88.5,153,174,87.9,38,60,63.3,0,0,0,,0,0,,1,0,0,446,59,13,0,5,21,26,7,2,3,0,2,12,409,10,5,9,7,31,22,3,3,2,1,0,8,5,62.5,622,68,177,282,166,40,621,22,12,13,8,1,7,13,53.8,6,8,4,4,13,35,22,1,2.1,1.2,0.0,-0.9,0.6,1.4,-2.1,-1.2,-0.6,0.08,0,2.6,0.33,-0.4
Strasbourg,Montpellier,2024-08-18,D,A,1,1,0,0,0,1,58,0,fr Ligue 1,29,8,20.7,27.4,17,7,70.8,19,9,47.4,10,52.6,322,1556,765,13,11,17,2,11.8,3,0,0,18,18,2,2,0,0,0,0,0,7,0.0,7.4,11,0.09,0.25,4,36.4,14.7,0,0,0,1,0,40,0,11.0,403,493,81.7,9,18,6,2,28,6529,2529,180,200,90.0,171,191,89.5,29,59,49.2,1,1,0,0.0,1,0,0.0,0,0,0,437,56,19,0,3,9,24,4,2,1,0,0,6,392,11,1,15,12,22,12,5,0,1,4,0,5,4,100.0,592,73,215,307,78,15,592,24,9,12,11,1,10,13,76.9,3,4,2,2,8,32,17,0,0.9,0.9,-0.4,0.3,0.6,0.6,0.1,0.1,0.4,0.08,0,1.9,0.19,0.9
Angers,Lens,2024-08-18,L,H,0,1,-1,0,0,0,42,0,fr Ligue 1,29,8,58.6,40.6,15,13,53.6,24,8,33.3,15,62.5,224,1063,497,13,5,13,2,15.4,1,0,0,12,13,0,0,0,0,0,0,0,8,75.0,45.6,8,0.0,0.0,3,37.5,19.9,0,4,0,0,0,31,3,15.2,285,400,71.3,4,23,8,3,27,4890,2119,135,165,81.8,106,135,78.5,31,70,44.3,0,0,0,,0,0,,0,0,0,331,65,17,2,1,23,31,7,6,1,0,4,7,284,5,1,25,15,11,6,0,1,2,1,1,4,3,75.0,535,40,125,238,177,13,535,21,14,4,7,10,9,17,52.9,8,10,0,10,10,31,14,0,0.4,0.4,-0.8,-0.8,0.3,0.5,-0.4,-0.4,-0.3,0.05,0,1.2,0.31,0.2
Montpellier,Paris S-G,2024-08-23,L,A,0,6,-6,0,0,0,32,0,fr Ligue 1,29,3,34.5,36.3,6,5,54.5,13,3,23.1,8,61.5,235,1119,520,10,4,11,1,9.1,4,0,0,17,10,0,0,0,0,0,0,0,13,53.8,33.3,8,0.0,0.0,3,37.5,15.9,1,2,0,0,0,41,0,8.8,296,361,82.0,6,15,5,3,25,5230,2215,141,155,91.0,83,96,86.5,53,79,67.1,0,0,0,,0,0,,0,0,0,318,41,10,0,5,9,9,2,0,2,0,2,4,295,4,2,16,13,14,10,2,1,1,0,0,11,5,45.5,461,79,197,206,60,10,461,19,11,10,8,1,17,27,63.0,10,8,3,5,12,31,15,0,0.6,0.6,-3.2,-3.2,0.5,0.3,-0.6,-0.6,-0.5,0.08,1,3.8,0.34,-2.2
Paris S-G,Montpellier,2024-08-23,W,H,6,0,6,0,0,6,68,0,fr Ligue 1,23,2,13.0,23.4,5,6,45.5,29,10,34.5,17,58.6,641,3329,1760,37,29,9,0,0.0,1,0,0,11,14,12,11,0,1,0,0,0,7,42.9,28.1,27,0.22,0.55,11,40.7,17.0,4,0,0,0,0,46,1,12.7,713,774,92.1,22,34,12,1,61,10239,3038,407,425,95.8,224,237,94.5,41,58,70.7,0,0,0,,0,0,,0,0,0,730,44,15,5,4,17,11,10,1,3,0,0,7,708,29,15,17,2,53,39,3,5,1,4,1,3,3,100.0,890,45,143,465,289,38,890,21,10,7,11,3,8,11,72.7,3,6,2,4,10,31,7,1,3.8,3.8,3.2,3.2,3.6,2.6,2.2,2.2,2.4,0.14,4,0.3,0.11,0.3
