Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
LAC,PHO,2024-10-23,L,H,113,116,265,42,92,0.457,34,63,0.54,8,29,0.276,21,30,0.7,38,78,0.487,23,40,0.575,15,38,0.395,25,34,0.735,13,38,51,4,38,42,27,9,1,22,29,25,12,9,22,23,101.9,104.6,0.326,0.315,0.537,0.5,0.228,104.6,101.9,0.436,0.487,0.624,0.583,0.321,25.5,90.5,45.2,9.5,74.5,45.2,64.3,8.1,2.5,17.3,65.8,10.8,14.3,19.1,5.0,5.0,110.94575,100.47916981132076,100.47916981132076
LAL,PHO,2024-10-25,W,H,123,116,240,40,75,0.533,26,48,0.542,14,27,0.519,29,39,0.744,42,82,0.512,25,45,0.556,17,37,0.459,15,17,0.882,6,31,37,5,29,34,33,10,5,13,18,35,8,4,17,26,124.9,117.7,0.52,0.36,0.667,0.627,0.387,117.7,124.9,0.207,0.451,0.648,0.616,0.183,17.1,86.1,47.9,13.9,82.9,47.9,82.5,10.2,11.1,12.4,83.3,8.1,8.3,16.0,3.0,2.0,98.523425,98.523425,98.523425
DAL,PHO,2024-10-26,L,A,102,114,240,37,93,0.398,24,52,0.462,13,41,0.317,15,18,0.833,36,80,0.45,22,41,0.537,14,39,0.359,28,37,0.757,12,34,46,7,40,47,22,6,2,9,28,26,3,4,11,17,105.6,118.1,0.194,0.441,0.505,0.468,0.161,118.1,105.6,0.463,0.488,0.592,0.538,0.35,23.1,82.9,50.5,17.1,76.9,50.5,59.5,6.2,4.9,8.2,72.2,3.1,7.7,10.3,2.0,1.0,96.5539,96.5539,96.5539
LAL,PHO,2024-10-28,L,A,105,109,240,39,94,0.415,25,62,0.403,14,32,0.438,13,18,0.722,40,87,0.46,29,51,0.569,11,36,0.306,18,20,0.9,11,35,46,9,37,46,25,5,6,12,19,21,7,11,11,22,107.5,111.6,0.191,0.34,0.515,0.489,0.138,111.6,107.5,0.23,0.414,0.569,0.523,0.207,22.9,79.5,50.0,20.5,77.1,50.0,64.1,5.1,11.8,10.5,52.5,7.2,17.7,10.3,2.0,2.0,97.70695,97.70695,97.70695
LAC,PHO,2024-10-31,L,H,119,125,240,45,93,0.484,33,58,0.569,12,35,0.343,17,21,0.81,42,82,0.512,24,43,0.558,18,39,0.462,23,28,0.821,15,33,48,8,31,39,27,8,8,14,22,29,12,4,12,20,121.7,127.9,0.226,0.376,0.582,0.548,0.183,127.9,121.7,0.341,0.476,0.663,0.622,0.28,32.6,80.5,44.8,19.5,67.4,44.8,60.0,8.2,18.6,12.0,69.0,12.3,6.9,11.3,1.0,3.0,97.75532000000001,97.75532000000001,97.75532000000001
POR,PHO,2024-11-02,L,A,97,103,240,37,111,0.333,23,68,0.338,14,43,0.326,9,11,0.818,35,93,0.376,18,41,0.439,17,52,0.327,16,22,0.727,14,42,56,13,50,63,17,10,5,6,18,29,4,8,14,10,94.5,100.4,0.099,0.387,0.419,0.396,0.081,100.4,94.5,0.237,0.559,0.502,0.468,0.172,21.9,76.4,52.9,23.6,78.1,52.9,45.9,9.7,12.2,4.9,82.9,3.9,11.8,12.0,1.0,2.0,102.60671,102.60671,102.60671
PHI,PHO,2024-11-04,L,A,116,118,240,40,87,0.46,20,36,0.556,20,51,0.392,16,18,0.889,42,82,0.512,31,50,0.62,11,32,0.344,23,26,0.885,9,29,38,9,34,43,27,10,4,15,22,24,6,4,14,16,119.0,121.1,0.207,0.586,0.611,0.575,0.184,121.1,119.0,0.317,0.39,0.631,0.579,0.28,20.9,76.3,53.1,23.7,79.1,53.1,67.5,10.3,8.0,13.6,57.1,6.2,11.1,13.0,2.0,2.0,97.47289500000001,97.47289500000001,97.47289500000001
MIA,PHO,2024-11-06,L,A,112,115,240,40,92,0.435,27,58,0.466,13,34,0.382,19,20,0.95,42,84,0.5,24,41,0.585,18,43,0.419,13,18,0.722,13,30,43,10,36,46,27,12,3,10,16,29,5,6,16,14,117.2,120.3,0.217,0.37,0.556,0.505,0.207,120.3,117.2,0.214,0.512,0.626,0.607,0.155,26.5,75.0,51.7,25.0,73.5,51.7,67.5,12.6,7.3,9.0,69.0,5.2,10.3,14.8,2.0,2.0,95.61019999999999,95.61019999999999,95.61019999999999
DAL,PHO,2024-11-08,L,H,113,114,240,41,80,0.513,30,47,0.638,11,33,0.333,20,22,0.909,43,86,0.5,28,47,0.596,15,39,0.385,13,18,0.722,8,31,39,11,26,37,18,5,1,11,22,26,6,2,9,18,125.5,126.6,0.275,0.413,0.63,0.581,0.25,126.6,125.5,0.209,0.453,0.607,0.587,0.151,23.5,73.8,48.7,26.2,76.5,48.7,43.9,5.6,2.1,10.9,60.5,6.7,4.3,8.7,2.0,2.0,90.06941499999999,90.06941499999999,90.06941499999999
SAC,PHO,2024-11-10,W,A,127,118,265,50,102,0.49,39,65,0.6,11,37,0.297,16,19,0.842,44,105,0.419,26,48,0.542,18,57,0.316,12,15,0.8,8,49,57,8,40,48,23,7,3,15,20,30,11,3,12,19,110.8,103.0,0.186,0.363,0.575,0.544,0.157,103.0,110.8,0.143,0.543,0.529,0.505,0.114,16.7,86.0,45.7,14.0,83.3,45.7,46.0,6.1,6.3,12.0,68.2,9.6,4.6,9.7,2.0,2.0,114.58516,103.77523924528302,103.77523924528302
