Rk,Team,Date,H/A,Opp,Result,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%
157,DEN,2024-12-08,@,ATL,"W, 141-111",76.8,8.5,8.2,16.7,63.4,11.3,3.2,9.6
158,BOS,2025-02-20,@,PHI,"W, 124-104",76.7,3.1,11.1,10.3,57.5,7.3,0.0,9.1
159,CHO,2025-03-31,,UTA,"W, 110-106",76.7,3.2,11.4,17.3,64.1,13.8,4.8,8.9
160,CHI,2025-03-27,,LAL,"W, 119-117",76.7,3.9,4.0,12.9,66.7,7.8,14.6,10.0
161,CHI,2024-12-16,@,TOR,"W, 122-121",76.7,11.1,12.1,10.2,62.2,6.5,11.3,14.6
162,CLE,2024-12-23,,UTA,"W, 124-113",76.7,10.3,6.3,8.2,71.1,6.2,11.1,14.1
163,CLE,2024-12-16,@,BRK,"W, 130-101",76.7,14.2,12.8,15.3,73.5,11.1,5.9,19.4
164,DEN,2024-11-22,,DAL,"L, 120-123",76.7,4.0,10.9,12.7,52.2,11.0,8.2,11.2
165,GSW,2024-11-15,,MEM,"W, 123-118",76.7,8.1,8.2,14.8,52.4,7.2,21.2,11.3
166,BRK,2025-03-16,,ATL,"W, 122-114",76.7,7.0,9.4,14.5,64.3,11.9,20.0,12.2
