Rk,Team,Date,H/A,Opp,Result,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA
22,DAL,2024-12-15,@,GSW,"W, 143-133",141.6,131.7,.287,.471,.730,.718,.207,131.7,141.6,.107,.524,.617,.607,.078
23,DEN,2025-03-10,@,OKC,"W, 140-127",141.6,128.4,.233,.372,.738,.709,.209,128.4,141.6,.160,.470,.593,.565,.140
24,GSW,2025-03-30,@,SAS,"W, 148-106",141.6,101.4,.196,.454,.702,.686,.155,101.4,141.6,.190,.500,.582,.571,.119
25,DEN,2025-02-05,,NOP,"W, 144-119",141.4,116.9,.150,.430,.675,.650,.140,116.9,141.4,.280,.312,.570,.516,.247
26,CHI,2025-03-22,@,LAL,"W, 146-115",141.4,111.3,.208,.427,.697,.682,.156,111.3,141.4,.259,.482,.607,.582,.188
27,BOS,2025-03-23,@,POR,"W, 129-116",141.2,127.0,.159,.568,.685,.676,.114,127.0,141.2,.182,.534,.610,.597,.125
28,NYK,2024-11-18,,WAS,"W, 134-106",141.1,111.6,.143,.440,.693,.670,.132,111.6,141.1,.176,.363,.541,.533,.099
29,MEM,2025-02-05,@,TOR,"W, 138-107",140.8,109.2,.427,.427,.653,.618,.315,109.2,140.8,.194,.429,.503,.459,.173
30,DEN,2025-03-07,,PHO,"W, 149-141 (OT)",140.5,132.9,.186,.412,.710,.696,.144,132.9,140.5,.319,.418,.679,.648,.253
31,DEN,2025-01-31,@,PHI,"W, 137-134",140.4,137.4,.220,.280,.762,.732,.207,137.4,140.4,.178,.444,.690,.672,.144
32,MEM,2025-01-17,@,SAS,"W, 140-112",140.4,112.3,.155,.454,.676,.665,.113,112.3,140.4,.274,.429,.595,.554,.226
33,GSW,2025-01-02,,PHI,"W, 139-105",140.4,106.0,.172,.448,.743,.736,.126,106.0,140.4,.420,.383,.547,.475,.346
34,MIA,2024-12-04,,LAL,"W, 134-93",140.3,97.3,.100,.522,.713,.711,.067,97.3,140.3,.216,.250,.483,.449,.159
35,HOU,2025-01-07,@,WAS,"W, 135-112",140.2,116.3,.237,.392,.630,.593,.206,116.3,140.2,.225,.449,.573,.545,.169
36,ATL,2025-03-30,@,MIL,"W, 145-124",140.1,119.8,.372,.511,.663,.622,.298,119.8,140.1,.524,.427,.614,.549,.415
37,OKC,2024-12-03,,UTA,"W, 133-106",140.0,111.6,.108,.461,.622,.603,.098,111.6,140.0,.314,.500,.665,.636,.243
38,NYK,2024-11-20,@,PHO,"W, 138-122",139.8,123.6,.244,.453,.724,.692,.221,123.6,139.8,.185,.543,.613,.592,.141
39,MEM,2025-01-24,,NOP,"W, 139-126",139.8,126.8,.079,.416,.665,.649,.079,126.8,139.8,.386,.410,.649,.627,.265
40,LAC,2024-12-03,,POR,"W, 127-105",139.8,115.6,.200,.435,.687,.665,.165,115.6,139.8,.200,.363,.603,.575,.163
41,HOU,2025-04-02,,UTA,"W, 143-105",139.8,102.6,.183,.433,.636,.630,.115,102.6,139.8,.245,.426,.504,.479,.160
42,BOS,2025-02-08,@,NYK,"W, 131-104",139.7,110.9,.282,.459,.685,.653,.235,110.9,139.7,.349,.289,.543,.476,.301
43,DET,2025-03-23,,NOP,"W, 136-130",139.6,133.4,.465,.314,.656,.622,.337,133.4,139.6,.188,.471,.706,.694,.141
44,CLE,2025-02-21,,NYK,"W, 142-105",139.4,103.1,.163,.402,.720,.712,.120,103.1,139.4,.202,.315,.542,.528,.124
45,LAC,2025-03-18,,CLE,"W, 132-119",139.4,125.7,.333,.417,.685,.643,.286,125.7,139.4,.289,.456,.587,.567,.189
46,MIA,2025-02-26,,ATL,"W, 131-109",139.1,115.7,.289,.553,.764,.743,.237,115.7,139.1,.235,.395,.610,.580,.185
47,LAC,2024-12-16,,UTA,"W, 144-107",138.9,103.2,.390,.476,.749,.726,.305,103.2,138.9,.375,.488,.574,.531,.275
