Rk,Team,Date,H/A,Opp,Result,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_PTS,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_PTS
119,SAS,2025-02-05,@,ATL,"W, 126-125",240,51,101,.505,39,64,.609,12,37,.324,12,16,.750,126,48,91,.527,32,49,.653,16,42,.381,13,18,.722,125
120,WAS,2024-12-28,,NYK,"L, 132-136 (OT)",265,51,99,.515,34,61,.557,17,38,.447,13,15,.867,132,51,97,.526,41,57,.719,10,40,.250,24,26,.923,136
121,ATL,2025-03-30,@,MIL,"W, 145-124",240,50,94,.532,33,46,.717,17,48,.354,28,35,.800,145,39,82,.476,27,47,.574,12,35,.343,34,43,.791,124
122,ATL,2025-03-18,@,CHO,"W, 134-102",240,50,93,.538,28,48,.583,22,45,.489,12,15,.800,134,38,84,.452,28,54,.519,10,30,.333,16,21,.762,102
123,ATL,2025-03-06,,IND,"W, 124-118",240,50,94,.532,40,64,.625,10,30,.333,14,18,.778,124,44,91,.484,30,52,.577,14,39,.359,16,17,.941,118
124,ATL,2024-12-06,,LAL,"W, 134-132 (OT)",265,50,100,.500,33,60,.550,17,40,.425,17,22,.773,134,51,99,.515,35,64,.547,16,35,.457,14,16,.875,132
125,ATL,2024-11-12,@,BOS,"W, 117-116",240,50,99,.505,40,67,.597,10,32,.313,7,13,.538,117,38,75,.507,20,30,.667,18,45,.400,22,27,.815,116
126,ATL,2024-11-03,@,NOP,"W, 126-111",240,50,88,.568,35,52,.673,15,36,.417,11,12,.917,126,39,90,.433,23,52,.442,16,38,.421,17,20,.850,111
127,BOS,2024-11-13,@,BRK,"W, 139-114",240,50,93,.538,28,47,.596,22,46,.478,17,24,.708,139,40,79,.506,21,36,.583,19,43,.442,15,18,.833,114
128,CHI,2025-04-01,,TOR,"W, 137-118",240,50,88,.568,36,54,.667,14,34,.412,23,27,.852,137,44,97,.454,24,52,.462,20,45,.444,10,11,.909,118
129,CLE,2025-04-02,,NYK,"W, 124-105",240,50,94,.532,38,57,.667,12,37,.324,12,14,.857,124,40,90,.444,29,54,.537,11,36,.306,14,17,.824,105
130,DEN,2025-01-17,@,MIA,"W, 133-113",240,50,92,.543,34,59,.576,16,33,.485,17,19,.895,133,45,91,.495,36,58,.621,9,33,.273,14,14,1.000,113
131,DEN,2024-11-23,@,LAL,"W, 127-102",240,50,82,.610,34,50,.680,16,32,.500,11,19,.579,127,39,88,.443,26,52,.500,13,36,.361,11,14,.786,102
132,DEN,2024-11-08,,MIA,"W, 135-122",240,50,81,.617,32,46,.696,18,35,.514,17,19,.895,135,46,94,.489,26,51,.510,20,43,.465,10,13,.769,122
133,GSW,2025-02-21,@,SAC,"W, 132-108",240,50,93,.538,30,50,.600,20,43,.465,12,12,1.000,132,40,79,.506,29,47,.617,11,32,.344,17,18,.944,108
134,HOU,2025-01-07,@,WAS,"W, 135-112",240,50,97,.515,35,59,.593,15,38,.395,20,23,.870,135,41,89,.461,26,49,.531,15,40,.375,15,20,.750,112
135,HOU,2024-12-19,,NOP,"W, 133-113",240,50,87,.575,33,48,.688,17,39,.436,16,19,.842,133,41,92,.446,28,64,.438,13,28,.464,18,25,.720,113
136,IND,2025-02-12,@,WAS,"W, 134-130 (OT)",265,50,107,.467,34,72,.472,16,35,.457,18,20,.900,134,47,97,.485,24,52,.462,23,45,.511,13,16,.813,130
137,IND,2024-12-22,@,SAC,"W, 122-95",240,50,86,.581,33,47,.702,17,39,.436,5,8,.625,122,35,96,.365,23,58,.397,12,38,.316,13,17,.765,95
138,IND,2024-10-30,,BOS,"W, 135-132 (OT)",265,50,104,.481,35,66,.530,15,38,.395,20,24,.833,135,44,109,.404,25,52,.481,19,57,.333,25,31,.806,132
139,LAL,2025-02-10,,UTA,"W, 132-113",240,50,92,.543,35,50,.700,15,42,.357,17,18,.944,132,39,84,.464,27,44,.614,12,40,.300,23,27,.852,113
140,MEM,2025-03-29,,LAL,"L, 127-134",240,50,95,.526,36,63,.571,14,32,.438,13,18,.722,127,45,89,.506,26,46,.565,19,43,.442,25,27,.926,134
141,MEM,2025-03-07,@,DAL,"W, 122-111",240,50,106,.472,42,85,.494,8,21,.381,14,16,.875,122,37,96,.385,22,55,.400,15,41,.366,22,24,.917,111
142,MEM,2025-03-01,,SAS,"L, 128-130",240,50,95,.526,39,57,.684,11,38,.289,17,20,.850,128,50,96,.521,36,60,.600,14,36,.389,16,22,.727,130
143,MEM,2024-12-21,@,ATL,"W, 128-112",240,50,97,.515,32,56,.571,18,41,.439,10,13,.769,128,39,80,.488,25,42,.595,14,38,.368,20,24,.833,112
144,MEM,2024-12-08,@,WAS,"W, 140-112",240,50,96,.521,33,53,.623,17,43,.395,23,29,.793,140,43,100,.430,37,68,.544,6,32,.188,20,22,.909,112
