Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
HOU,CHO,2024-10-23,L,H,105,110,240,38,103,0.369,25,60,0.417,13,43,0.302,16,20,0.8,38,85,0.447,23,46,0.5,15,39,0.385,19,24,0.792,16,27,43,15,41,56,19,8,4,8,18,20,6,10,17,21,108.7,113.9,0.194,0.417,0.47,0.432,0.155,113.9,108.7,0.282,0.459,0.576,0.535,0.224,28.1,64.3,56.6,35.7,71.9,56.6,50.0,8.3,8.7,6.7,52.6,6.2,16.7,15.1,5.0,5.0,96.55145999999999,96.55145999999999,96.55145999999999
ATL,CHO,2024-10-25,W,H,125,120,240,39,81,0.481,25,43,0.581,14,38,0.368,33,38,0.868,37,96,0.385,16,45,0.356,21,51,0.412,25,31,0.806,7,32,39,22,31,53,25,11,9,14,28,22,7,4,18,28,123.4,118.5,0.469,0.469,0.64,0.568,0.407,118.5,123.4,0.323,0.531,0.547,0.495,0.26,18.4,59.3,57.6,40.7,81.6,57.6,64.1,10.9,20.0,12.5,59.5,6.9,9.3,14.1,2.0,2.0,101.318565,101.318565,101.318565
MIA,CHO,2024-10-26,W,A,114,106,240,40,86,0.465,26,52,0.5,14,34,0.412,20,28,0.714,39,89,0.438,26,48,0.542,13,41,0.317,15,21,0.714,13,30,43,15,31,46,33,8,6,14,19,20,6,5,20,24,116.2,108.0,0.326,0.395,0.58,0.547,0.233,108.0,116.2,0.236,0.461,0.539,0.511,0.169,29.5,66.7,51.7,33.3,70.5,51.7,82.5,8.2,12.5,12.5,51.3,6.1,9.6,16.9,3.0,1.0,98.13230000000001,98.13230000000001,98.13230000000001
TOR,CHO,2024-10-30,L,A,133,138,240,52,91,0.571,43,63,0.683,9,28,0.321,20,30,0.667,49,94,0.521,29,49,0.592,20,45,0.444,20,25,0.8,13,28,41,14,24,38,37,9,5,14,25,31,9,8,16,24,128.9,133.8,0.33,0.308,0.638,0.621,0.22,133.8,128.9,0.266,0.479,0.657,0.628,0.213,35.1,66.7,48.1,33.3,64.9,48.1,71.2,8.7,10.2,11.8,63.3,8.7,12.7,13.2,2.0,4.0,103.15941,103.15941,103.15941
BOS,CHO,2024-11-01,W,A,124,109,240,41,86,0.477,28,44,0.636,13,42,0.31,29,35,0.829,42,91,0.462,23,43,0.535,19,48,0.396,6,12,0.5,11,30,41,12,30,42,21,12,5,10,13,20,5,5,16,26,127.9,112.4,0.407,0.488,0.611,0.552,0.337,112.4,127.9,0.132,0.527,0.566,0.566,0.066,26.8,71.4,50.6,28.6,73.2,50.6,51.2,12.4,11.6,9.0,47.6,5.2,11.4,14.3,2.0,2.0,96.95041,96.95041,96.95041
BOS,CHO,2024-11-02,W,A,113,103,240,36,82,0.439,20,30,0.667,16,52,0.308,25,28,0.893,40,91,0.44,23,49,0.469,17,42,0.405,6,9,0.667,8,36,44,7,27,34,23,4,4,15,17,24,10,1,13,25,115.5,105.3,0.341,0.634,0.599,0.537,0.305,105.3,115.5,0.099,0.462,0.542,0.533,0.066,22.9,83.7,43.6,16.3,77.1,43.6,63.9,4.1,8.2,13.7,60.0,10.2,3.3,12.0,1.0,1.0,97.816855,97.816855,97.816855
MIN,CHO,2024-11-04,W,H,114,93,240,39,79,0.494,21,41,0.512,18,38,0.474,18,26,0.692,35,88,0.398,25,46,0.543,10,42,0.238,13,16,0.813,9,36,45,9,29,38,23,7,8,15,19,19,10,1,14,22,119.2,97.2,0.329,0.481,0.63,0.608,0.228,97.2,119.2,0.182,0.477,0.489,0.455,0.148,23.7,80.0,45.8,20.0,76.3,45.8,59.0,7.3,17.4,14.2,54.3,10.5,2.4,12.8,2.0,2.0,95.65720000000002,95.65720000000002,95.65720000000002
DET,CHO,2024-11-06,L,A,107,108,240,46,94,0.489,36,62,0.581,10,32,0.313,5,9,0.556,39,90,0.433,25,46,0.543,14,44,0.318,16,16,1.0,6,40,46,8,39,47,34,5,4,11,20,22,5,4,12,16,106.4,107.4,0.096,0.34,0.546,0.543,0.053,107.4,106.4,0.178,0.489,0.556,0.511,0.178,13.3,83.3,50.5,16.7,86.7,50.5,73.9,5.0,8.7,10.1,56.4,5.0,6.5,11.0,2.0,2.0,100.527965,100.527965,100.527965
IND,CHO,2024-11-08,L,A,83,103,240,33,83,0.398,24,54,0.444,9,29,0.31,8,14,0.571,38,90,0.422,21,40,0.525,17,50,0.34,10,12,0.833,7,30,37,13,43,56,24,10,4,14,16,23,6,7,15,16,88.3,109.5,0.169,0.349,0.465,0.452,0.096,109.5,88.3,0.133,0.556,0.541,0.517,0.111,14.0,69.8,60.2,30.2,86.0,60.2,72.7,10.6,10.0,13.6,60.5,6.4,13.0,13.6,2.0,2.0,94.05336,94.05336,94.05336
PHI,CHO,2024-11-10,W,H,107,105,265,39,84,0.464,30,51,0.588,9,33,0.273,20,26,0.769,36,95,0.379,22,41,0.537,14,54,0.259,19,22,0.864,8,32,40,12,38,50,24,8,1,17,23,22,10,5,21,22,101.6,99.7,0.31,0.393,0.561,0.518,0.238,99.7,101.6,0.232,0.568,0.502,0.453,0.2,17.4,72.7,55.6,27.3,82.6,55.6,61.5,7.6,2.4,15.1,61.1,9.5,9.8,16.7,2.0,2.0,105.29370499999999,95.36033660377358,95.36033660377358
