Rk,Team,Date,GCA,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
25,Bayern Munich,2024-12-20,9,,RB Leipzig,de Bundesliga,W 5-1,5,1,+4,71,5,0,0,0,9,8,0,1,0,0,0,Match Report
26,Bayern Munich,2024-10-27,9,@,Bochum,de Bundesliga,W 5-0,5,0,+5,72,5,0,0,0,9,4,1,1,0,2,1,Match Report
27,Bologna,2025-03-16,9,,Lazio,it Serie A,W 5-0,5,0,+5,51,5,0,0,0,9,9,0,0,0,0,0,Match Report
28,Barcelona,2024-10-20,9,,Sevilla,es La Liga,W 5-1,5,1,+4,67,4,1,1,0,9,6,0,0,1,2,0,Match Report
29,Barcelona,2024-09-22,9,@,Villarreal,es La Liga,W 5-1,5,1,+4,63,5,0,1,1,9,8,0,0,1,0,0,Match Report
30,Villarreal,2024-12-22,9,@,Leganés,es La Liga,W 5-2,5,2,+3,64,3,2,2,0,9,5,0,0,1,3,0,Match Report
31,Tottenham,2024-12-15,9,@,Southampton,eng Premier League,W 5-0,5,0,+5,58,5,0,0,0,9,5,0,3,1,0,0,Match Report
32,Fiorentina,2024-10-20,9,@,Lecce,it Serie A,W 6-0,6,0,+6,61,6,0,0,0,9,6,0,1,1,1,0,Match Report
33,Bournemouth,2025-01-25,9,,Nott'ham Forest,eng Premier League,W 5-0,5,0,+5,50,5,0,0,0,9,7,0,1,1,0,0,Match Report
34,Wolfsburg,2024-11-30,9,@,RB Leipzig,de Bundesliga,W 5-1,5,1,+4,37,5,0,0,0,9,7,0,0,1,0,1,Match Report
35,Marseille,2024-10-20,9,@,Montpellier,fr Ligue 1,W 5-0,5,0,+5,65,5,0,0,0,9,7,0,1,1,0,0,Match Report
36,Stuttgart,2024-09-22,9,,Dortmund,de Bundesliga,W 5-1,5,1,+4,52,5,0,0,0,9,8,0,1,0,0,0,Match Report
37,Brentford,2024-10-05,9,,Wolves,eng Premier League,W 5-3,5,3,+2,44,4,1,1,0,9,7,1,0,0,1,0,Match Report
38,Roma,2024-12-22,9,,Parma,it Serie A,W 5-0,5,0,+5,59,3,2,2,0,9,6,0,0,1,2,0,Match Report
39,Atlético Madrid,2024-11-30,9,@,Valladolid,es La Liga,W 5-0,5,0,+5,55,5,0,0,0,9,8,0,0,1,0,0,Match Report
40,Paris S-G,2025-03-29,9,@,Saint-Étienne,fr Ligue 1,W 6-1,6,1,+5,53,5,1,1,0,9,6,0,1,0,1,1,Match Report
41,Hoffenheim,2024-11-23,8,,RB Leipzig,de Bundesliga,W 4-3,4,3,+1,59,4,0,0,0,8,4,0,2,1,1,0,Match Report
42,Bayern Munich,2025-02-01,8,,Holstein Kiel,de Bundesliga,W 4-3,4,3,+1,71,4,0,0,0,8,6,0,1,1,0,0,Match Report
43,Arsenal,2025-02-02,8,,Manchester City,eng Premier League,W 5-1,5,1,+4,46,5,0,0,0,8,8,0,0,0,0,0,Match Report
44,Arsenal,2024-12-21,8,@,Crystal Palace,eng Premier League,W 5-1,5,1,+4,58,5,0,0,0,8,5,0,0,3,0,0,Match Report
45,Barcelona,2025-02-09,8,@,Sevilla,es La Liga,W 4-1,4,1,+3,60,4,0,0,0,8,6,0,1,0,1,0,Match Report
46,Barcelona,2024-12-03,8,@,Mallorca,es La Liga,W 5-1,5,1,+4,59,4,1,1,0,8,5,0,2,0,1,0,Match Report
47,Villarreal,2025-01-20,8,,Mallorca,es La Liga,W 4-0,4,0,+4,43,4,0,0,0,8,7,1,0,0,0,0,Match Report
48,Holstein Kiel,2024-12-21,8,,Augsburg,de Bundesliga,W 5-1,5,1,+4,37,5,0,0,0,8,7,0,0,0,1,0,Match Report
49,Gladbach,2024-12-14,8,,Holstein Kiel,de Bundesliga,W 4-1,4,1,+3,56,4,0,0,0,8,7,1,0,0,0,0,Match Report
50,Tottenham,2024-11-03,8,,Aston Villa,eng Premier League,W 4-1,4,1,+3,51,4,0,0,0,8,7,0,0,0,1,0,Match Report
51,Toulouse,2025-02-23,8,@,Le Havre,fr Ligue 1,W 4-1,4,1,+3,46,3,1,1,0,8,6,0,1,0,1,0,Match Report
52,Wolfsburg,2024-12-08,8,,Mainz 05,de Bundesliga,W 4-3,4,3,+1,44,4,0,0,0,8,5,1,1,0,1,0,Match Report
53,Real Madrid,2025-01-19,8,,Las Palmas,es La Liga,W 4-1,4,1,+3,61,3,1,1,0,8,6,0,0,1,1,0,Match Report
54,Real Madrid,2024-12-22,8,,Sevilla,es La Liga,W 4-2,4,2,+2,59,4,0,0,0,8,8,0,0,0,0,0,Match Report
55,Stuttgart,2025-01-18,8,,Freiburg,de Bundesliga,W 4-0,4,0,+4,56,3,1,1,0,8,3,1,1,1,2,0,Match Report
56,Le Havre,2025-03-01,8,@,Lens,fr Ligue 1,W 4-3,4,3,+1,31,3,1,1,0,8,6,0,1,0,1,0,Match Report
57,Werder Bremen,2024-12-21,8,,Union Berlin,de Bundesliga,W 4-1,4,1,+3,54,4,0,0,0,8,7,0,0,1,0,0,Match Report
58,Lazio,2024-10-31,8,@,Como,it Serie A,W 5-1,5,1,+4,49,4,1,1,0,8,7,0,0,1,0,0,Match Report
59,Getafe,2025-04-06,8,@,Valladolid,es La Liga,W 4-0,4,0,+4,49,4,0,0,0,8,7,1,0,0,0,0,Match Report
60,Liverpool,2024-12-29,8,@,West Ham,eng Premier League,W 5-0,5,0,+5,54,5,0,0,0,8,6,0,2,0,0,0,Match Report
61,Wolves,2024-11-23,8,@,Fulham,eng Premier League,W 4-1,4,1,+3,41,4,0,0,0,8,8,0,0,0,0,0,Match Report
