Rk,Team,Date,SoTA,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,SoTA,Saves,Save%,Match Report
46,Hoffenheim,2025-01-15,10,@,Bayern Munich,de Bundesliga,L 0-5,0,5,-5,35,0,0,0,0,10,5,60.0,Match Report
47,Hoffenheim,2024-09-29,10,,Werder Bremen,de Bundesliga,L 3-4,3,4,-1,37,3,0,0,0,10,6,60.0,Match Report
48,Hellas Verona,2024-10-26,10,@,Atalanta,it Serie A,L 1-6,1,6,-5,31,1,0,0,0,10,4,40.0,Match Report
49,Torino,2025-02-01,10,@,Atalanta,it Serie A,D 1-1,1,1,0,35,1,0,0,0,10,8,90.0,Match Report
50,Heidenheim,2024-12-07,10,@,Bayern Munich,de Bundesliga,L 2-4,2,4,-2,18,2,0,0,0,10,6,60.0,Match Report
51,Heidenheim,2024-11-23,10,@,Leverkusen,de Bundesliga,L 2-5,2,5,-3,22,2,0,0,0,10,5,50.0,Match Report
52,Heidenheim,2024-10-19,10,@,Gladbach,de Bundesliga,L 2-3,2,3,-1,34,1,1,1,0,10,7,80.0,Match Report
53,Manchester Utd,2024-09-29,10,,Tottenham,eng Premier League,L 0-3,0,3,-3,39,0,0,0,0,10,7,70.0,Match Report
54,Montpellier,2024-10-20,10,,Marseille,fr Ligue 1,L 0-5,0,5,-5,35,0,0,0,0,10,5,50.0,Match Report
55,Holstein Kiel,2024-09-29,10,,Eint Frankfurt,de Bundesliga,L 2-4,2,4,-2,47,1,1,1,0,10,6,60.0,Match Report
56,Gladbach,2025-01-11,10,,Bayern Munich,de Bundesliga,L 0-1,0,1,-1,33,0,0,0,0,10,9,100.0,Match Report
57,Gladbach,2024-08-23,10,,Leverkusen,de Bundesliga,L 2-3,2,3,-1,43,2,0,0,0,10,6,70.0,Match Report
58,Southampton,2025-02-25,10,@,Chelsea,eng Premier League,L 0-4,0,4,-4,40,0,0,0,0,10,6,60.0,Match Report
59,Southampton,2025-01-04,10,,Brentford,eng Premier League,L 0-5,0,5,-5,50,0,0,0,0,10,5,60.0,Match Report
60,Southampton,2024-09-14,10,,Manchester Utd,eng Premier League,L 0-3,0,3,-3,44,0,0,1,1,10,7,70.0,Match Report
61,Bournemouth,2025-01-14,10,@,Chelsea,eng Premier League,D 2-2,2,2,0,43,1,1,1,0,10,8,80.0,Match Report
62,Wolfsburg,2025-01-18,10,@,Bayern Munich,de Bundesliga,L 2-3,2,3,-1,29,2,0,0,0,10,7,70.0,Match Report
63,Real Madrid,2025-03-15,10,@,Villarreal,es La Liga,W 2-1,2,1,+1,54,2,0,0,0,10,9,90.0,Match Report
64,Stuttgart,2024-10-19,10,@,Bayern Munich,de Bundesliga,L 0-4,0,4,-4,35,0,0,0,0,10,6,60.0,Match Report
65,Le Havre,2024-09-28,10,,Lille,fr Ligue 1,L 0-3,0,3,-3,38,0,0,0,0,10,6,70.0,Match Report
66,Angers,2024-12-07,10,,Lyon,fr Ligue 1,L 0-3,0,3,-3,37,0,0,0,0,10,7,70.0,Match Report
