Rk,Team,Date,SoTA,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,SoTA,Saves,Save%,Match Report
764,Hoffenheim,2025-03-14,5,@,St. Pauli,de Bundesliga,L 0-1,0,1,-1,56,0,0,0,0,5,4,80.0,Match Report
765,Hoffenheim,2025-03-09,5,,Heidenheim,de Bundesliga,D 1-1,1,1,0,55,1,0,0,0,5,4,80.0,Match Report
766,Hoffenheim,2025-02-02,5,@,Leverkusen,de Bundesliga,L 1-3,1,3,-2,52,1,0,0,0,5,2,40.0,Match Report
767,Osasuna,2025-03-30,5,@,Athletic Club,es La Liga,D 0-0,0,0,0,39,0,0,0,0,5,5,100.0,Match Report
768,Osasuna,2025-03-27,5,@,Barcelona,es La Liga,L 0-3,0,3,-3,26,0,0,0,0,5,2,60.0,Match Report
769,Osasuna,2025-03-02,5,,Valencia,es La Liga,D 3-3,3,3,0,51,2,1,1,0,5,2,40.0,Match Report
770,Osasuna,2025-02-21,5,@,Celta Vigo,es La Liga,L 0-1,0,1,-1,54,0,0,0,0,5,4,100.0,Match Report
771,Osasuna,2025-02-15,5,,Real Madrid,es La Liga,D 1-1,1,1,0,45,0,1,1,0,5,4,80.0,Match Report
772,Osasuna,2025-01-12,5,@,Atlético Madrid,es La Liga,L 0-1,0,1,-1,50,0,0,0,0,5,4,80.0,Match Report
773,Osasuna,2024-12-02,5,@,Sevilla,es La Liga,D 1-1,1,1,0,36,1,0,0,0,5,4,80.0,Match Report
774,Osasuna,2024-08-29,5,@,Girona,es La Liga,L 0-4,0,4,-4,40,0,0,0,0,5,1,20.0,Match Report
775,Udinese,2025-03-10,5,@,Lazio,it Serie A,D 1-1,1,1,0,51,1,0,0,0,5,4,80.0,Match Report
776,Udinese,2024-11-02,5,,Juventus,it Serie A,L 0-2,0,2,-2,39,0,0,0,0,5,4,60.0,Match Report
777,Udinese,2024-10-19,5,@,Milan,it Serie A,L 0-1,0,1,-1,56,0,0,0,0,5,4,80.0,Match Report
778,Bayern Munich,2025-03-08,5,,Bochum,de Bundesliga,L 2-3,2,3,-1,73,2,0,1,1,5,2,40.0,Match Report
779,Bayern Munich,2025-02-01,5,,Holstein Kiel,de Bundesliga,W 4-3,4,3,+1,71,4,0,0,0,5,2,40.0,Match Report
780,Augsburg,2025-02-08,5,@,Mainz 05,de Bundesliga,D 0-0,0,0,0,34,0,0,0,0,5,5,100.0,Match Report
781,Augsburg,2025-01-12,5,,Stuttgart,de Bundesliga,L 0-1,0,1,-1,43,0,0,0,0,5,4,80.0,Match Report
782,Augsburg,2024-11-02,5,@,Wolfsburg,de Bundesliga,D 1-1,1,1,0,31,1,0,0,0,5,4,80.0,Match Report
783,Augsburg,2024-08-24,5,,Werder Bremen,de Bundesliga,D 2-2,2,2,0,46,2,0,0,0,5,3,60.0,Match Report
784,Hellas Verona,2025-01-19,5,,Lazio,it Serie A,L 0-3,0,3,-3,36,0,0,0,0,5,2,40.0,Match Report
785,Hellas Verona,2024-12-08,5,,Empoli,it Serie A,L 1-4,1,4,-3,50,1,0,0,0,5,1,20.0,Match Report
786,Hellas Verona,2024-11-29,5,@,Cagliari,it Serie A,L 0-1,0,1,-1,37,0,0,0,0,5,4,80.0,Match Report
787,Hellas Verona,2024-08-26,5,,Juventus,it Serie A,L 0-3,0,3,-3,40,0,0,0,0,5,2,60.0,Match Report
788,Torino,2024-12-21,5,,Bologna,it Serie A,L 0-2,0,2,-2,42,0,0,0,0,5,2,60.0,Match Report
789,Torino,2024-08-17,5,@,Milan,it Serie A,D 2-2,2,2,0,44,1,0,0,0,5,3,60.0,Match Report
790,Nice,2025-03-09,5,,Lyon,fr Ligue 1,L 0-2,0,2,-2,37,0,0,0,0,5,3,60.0,Match Report
791,Nice,2025-01-03,5,,Rennes,fr Ligue 1,W 3-2,3,2,+1,47,3,0,0,0,5,3,60.0,Match Report
792,Nice,2024-10-27,5,,Monaco,fr Ligue 1,W 2-1,2,1,+1,41,2,0,0,0,5,4,80.0,Match Report
793,Nice,2024-09-14,5,@,Marseille,fr Ligue 1,L 0-2,0,2,-2,44,0,0,0,0,5,3,60.0,Match Report
794,Valladolid,2025-02-07,5,@,Rayo Vallecano,es La Liga,L 0-1,0,1,-1,31,0,0,0,0,5,4,80.0,Match Report
795,Valladolid,2024-12-07,5,@,Las Palmas,es La Liga,L 1-2,1,2,-1,42,1,0,0,0,5,3,60.0,Match Report
796,Valladolid,2024-11-22,5,@,Getafe,es La Liga,L 0-2,0,2,-2,43,0,0,0,0,5,3,60.0,Match Report
797,Valladolid,2024-09-24,5,@,Sevilla,es La Liga,L 1-2,1,2,-1,46,1,0,0,0,5,4,60.0,Match Report
798,Arsenal,2024-11-30,5,@,West Ham,eng Premier League,W 5-2,5,2,+3,60,3,2,2,0,5,3,60.0,Match Report
799,Arsenal,2024-09-15,5,@,Tottenham,eng Premier League,W 1-0,1,0,+1,37,1,0,0,0,5,5,100.0,Match Report
800,Heidenheim,2025-03-01,5,,Gladbach,de Bundesliga,L 0-3,0,3,-3,45,0,0,0,0,5,2,40.0,Match Report
801,Heidenheim,2025-02-16,5,,Mainz 05,de Bundesliga,L 0-2,0,2,-2,56,0,0,0,0,5,3,60.0,Match Report
802,Heidenheim,2025-02-01,5,,Dortmund,de Bundesliga,L 1-2,1,2,-1,37,1,0,0,0,5,3,60.0,Match Report
803,Heidenheim,2025-01-15,5,@,Werder Bremen,de Bundesliga,D 3-3,3,3,0,48,3,0,0,0,5,2,40.0,Match Report
804,Heidenheim,2024-09-21,5,,Freiburg,de Bundesliga,L 0-3,0,3,-3,42,0,0,0,0,5,2,40.0,Match Report
805,Manchester Utd,2025-04-06,5,,Manchester City,eng Premier League,D 0-0,0,0,0,42,0,0,0,0,5,5,100.0,Match Report
806,Manchester Utd,2025-01-16,5,,Southampton,eng Premier League,W 3-1,3,1,+2,60,3,0,0,0,5,5,80.0,Match Report
807,Manchester Utd,2024-12-22,5,,Bournemouth,eng Premier League,L 0-3,0,3,-3,60,0,0,0,0,5,2,60.0,Match Report
808,Manchester Utd,2024-11-10,5,,Leicester City,eng Premier League,W 3-0,3,0,+3,51,2,0,0,0,5,5,100.0,Match Report
809,Bologna,2025-02-14,5,,Torino,it Serie A,W 3-2,3,2,+1,65,1,1,1,0,5,3,60.0,Match Report
810,Bologna,2024-11-10,5,@,Roma,it Serie A,W 3-2,3,2,+1,46,3,0,0,0,5,3,60.0,Match Report
811,Bologna,2024-08-25,5,@,Napoli,it Serie A,L 0-3,0,3,-3,61,0,0,0,0,5,2,40.0,Match Report
812,Barcelona,2024-12-07,5,@,Betis,es La Liga,D 2-2,2,2,0,62,2,0,0,0,5,3,80.0,Match Report
813,Barcelona,2024-09-28,5,@,Osasuna,es La Liga,L 2-4,2,4,-2,73,2,0,0,0,5,1,40.0,Match Report
814,Monza,2025-02-16,5,,Lecce,it Serie A,D 0-0,0,0,0,56,0,0,0,0,5,5,100.0,Match Report
815,Monza,2024-11-10,5,,Lazio,it Serie A,L 0-1,0,1,-1,51,0,0,0,0,5,4,80.0,Match Report
816,Monza,2024-10-30,5,@,Atalanta,it Serie A,L 0-2,0,2,-2,47,0,0,0,0,5,3,60.0,Match Report
817,Montpellier,2025-02-09,5,@,Strasbourg,fr Ligue 1,L 0-2,0,2,-2,41,0,0,0,0,5,3,60.0,Match Report
818,Montpellier,2025-01-31,5,,Lens,fr Ligue 1,L 0-2,0,2,-2,49,0,0,0,0,5,3,60.0,Match Report
819,Montpellier,2025-01-26,5,@,Toulouse,fr Ligue 1,W 2-1,2,1,+1,34,2,0,0,0,5,4,80.0,Match Report
820,Montpellier,2024-10-06,5,@,Reims,fr Ligue 1,L 2-4,2,4,-2,52,2,0,0,0,5,1,40.0,Match Report
821,Montpellier,2024-09-22,5,,Auxerre,fr Ligue 1,W 3-2,3,2,+1,54,3,0,0,0,5,3,60.0,Match Report
822,Como,2024-12-23,5,@,Inter,it Serie A,L 0-2,0,2,-2,38,0,0,0,0,5,3,60.0,Match Report
823,Como,2024-09-24,5,@,Atalanta,it Serie A,W 3-2,3,2,+1,41,2,0,0,0,5,3,80.0,Match Report
824,Como,2024-08-26,5,@,Cagliari,it Serie A,D 1-1,1,1,0,53,1,0,0,0,5,4,80.0,Match Report
825,Villarreal,2025-03-15,5,,Real Madrid,es La Liga,L 1-2,1,2,-1,46,1,0,0,0,5,3,60.0,Match Report
826,Villarreal,2025-02-22,5,@,Rayo Vallecano,es La Liga,W 1-0,1,0,+1,50,1,0,0,0,5,5,100.0,Match Report
827,Villarreal,2024-08-31,5,@,Valencia,es La Liga,D 1-1,1,1,0,42,1,0,0,0,5,4,80.0,Match Report
828,Mallorca,2025-02-01,5,@,Atlético Madrid,es La Liga,L 0-2,0,2,-2,47,0,0,0,0,5,3,60.0,Match Report
829,Mallorca,2024-12-21,5,@,Getafe,es La Liga,W 1-0,1,0,+1,46,0,1,1,0,5,5,100.0,Match Report
830,Mallorca,2024-12-06,5,@,Celta Vigo,es La Liga,L 0-2,0,2,-2,50,0,0,0,0,5,3,60.0,Match Report
831,Mallorca,2024-09-17,5,,Real Sociedad,es La Liga,W 1-0,1,0,+1,40,0,1,1,0,5,5,100.0,Match Report
832,Mallorca,2024-08-24,5,@,Osasuna,es La Liga,L 0-1,0,1,-1,54,0,0,0,0,5,4,80.0,Match Report
833,Mallorca,2024-08-18,5,,Real Madrid,es La Liga,D 1-1,1,1,0,34,1,0,0,0,5,4,80.0,Match Report
834,Holstein Kiel,2025-03-16,5,@,Heidenheim,de Bundesliga,L 1-3,1,3,-2,61,1,0,0,0,5,2,40.0,Match Report
835,Holstein Kiel,2025-01-24,5,@,Wolfsburg,de Bundesliga,D 2-2,2,2,0,31,2,0,0,0,5,3,60.0,Match Report
836,Holstein Kiel,2025-01-11,5,@,Freiburg,de Bundesliga,L 2-3,2,3,-1,49,2,0,0,0,5,3,40.0,Match Report
837,Holstein Kiel,2024-12-07,5,,RB Leipzig,de Bundesliga,L 0-2,0,2,-2,56,0,0,0,0,5,3,80.0,Match Report
838,Holstein Kiel,2024-11-09,5,@,Werder Bremen,de Bundesliga,L 1-2,1,2,-1,40,1,0,0,0,5,3,60.0,Match Report
839,Athletic Club,2024-12-04,5,,Real Madrid,es La Liga,W 2-1,2,1,+1,37,2,0,0,0,5,3,80.0,Match Report
840,Athletic Club,2024-09-15,5,@,Las Palmas,es La Liga,W 3-2,3,2,+1,36,3,0,0,0,5,3,60.0,Match Report
841,Athletic Club,2024-08-24,5,@,Barcelona,es La Liga,L 1-2,1,2,-1,36,0,1,1,0,5,3,60.0,Match Report
842,Gladbach,2025-01-18,5,@,Leverkusen,de Bundesliga,L 1-3,1,3,-2,45,1,0,0,0,5,2,60.0,Match Report
843,Gladbach,2025-01-14,5,@,Wolfsburg,de Bundesliga,L 1-5,1,5,-4,65,1,0,0,0,5,0,20.0,Match Report
844,Gladbach,2024-11-09,5,@,RB Leipzig,de Bundesliga,D 0-0,0,0,0,39,0,0,0,0,5,5,100.0,Match Report
845,Gladbach,2024-11-03,5,,Werder Bremen,de Bundesliga,W 4-1,4,1,+3,47,3,0,0,0,5,4,80.0,Match Report
846,Gladbach,2024-10-04,5,@,Augsburg,de Bundesliga,L 1-2,1,2,-1,65,1,0,0,0,5,3,60.0,Match Report
847,Southampton,2024-12-22,5,@,Fulham,eng Premier League,D 0-0,0,0,0,43,0,0,0,0,5,5,100.0,Match Report
848,Southampton,2024-11-29,5,@,Brighton,eng Premier League,D 1-1,1,1,0,47,1,0,0,0,5,4,80.0,Match Report
849,Southampton,2024-11-02,5,,Everton,eng Premier League,W 1-0,1,0,+1,65,1,0,0,0,5,5,100.0,Match Report
850,Tottenham,2025-04-03,5,@,Chelsea,eng Premier League,L 0-1,0,1,-1,49,0,0,0,0,5,4,80.0,Match Report
851,Tottenham,2025-02-26,5,,Manchester City,eng Premier League,L 0-1,0,1,-1,55,0,0,0,0,5,4,80.0,Match Report
852,Tottenham,2025-02-22,5,@,Ipswich Town,eng Premier League,W 4-1,4,1,+3,58,4,0,0,0,5,4,80.0,Match Report
853,Tottenham,2024-11-23,5,@,Manchester City,eng Premier League,W 4-0,4,0,+4,42,4,0,0,0,5,5,100.0,Match Report
854,Toulouse,2025-03-30,5,,Brest,fr Ligue 1,L 2-4,2,4,-2,53,2,0,0,0,5,1,20.0,Match Report
855,Toulouse,2024-12-07,5,@,Monaco,fr Ligue 1,L 0-2,0,2,-2,42,0,0,0,0,5,3,60.0,Match Report
856,Toulouse,2024-09-22,5,@,Brest,fr Ligue 1,L 0-2,0,2,-2,57,0,0,1,1,5,3,60.0,Match Report
857,Fiorentina,2024-12-29,5,@,Juventus,it Serie A,D 2-2,2,2,0,38,2,0,0,0,5,3,60.0,Match Report
858,Fiorentina,2024-10-27,5,,Roma,it Serie A,W 5-1,5,1,+4,39,3,1,1,0,5,4,80.0,Match Report
859,Crystal Palace,2025-04-05,5,,Brighton,eng Premier League,W 2-1,2,1,+1,38,2,0,0,0,5,4,80.0,Match Report
860,Crystal Palace,2024-12-15,5,@,Brighton,eng Premier League,W 3-1,3,1,+2,36,3,0,0,0,5,5,80.0,Match Report
861,Crystal Palace,2024-11-23,5,@,Aston Villa,eng Premier League,D 2-2,2,2,0,31,2,0,0,0,5,2,60.0,Match Report
862,Crystal Palace,2024-08-18,5,@,Brentford,eng Premier League,L 1-2,1,2,-1,54,0,0,0,0,5,3,60.0,Match Report
863,Bournemouth,2025-02-22,5,,Wolves,eng Premier League,L 0-1,0,1,-1,46,0,0,0,0,5,4,80.0,Match Report
864,Bournemouth,2024-12-08,5,@,Ipswich Town,eng Premier League,W 2-1,2,1,+1,56,2,0,0,0,5,4,80.0,Match Report
865,Bournemouth,2024-08-25,5,,Newcastle Utd,eng Premier League,D 1-1,1,1,0,39,1,0,0,0,5,4,80.0,Match Report
866,Wolfsburg,2025-02-22,5,,Bochum,de Bundesliga,D 1-1,1,1,0,54,1,0,0,0,5,4,80.0,Match Report
867,Wolfsburg,2025-01-14,5,,Gladbach,de Bundesliga,W 5-1,5,1,+4,35,4,1,1,0,5,4,80.0,Match Report
868,Wolfsburg,2024-12-08,5,,Mainz 05,de Bundesliga,W 4-3,4,3,+1,44,4,0,0,0,5,2,40.0,Match Report
869,Wolfsburg,2024-10-26,5,@,St. Pauli,de Bundesliga,D 0-0,0,0,0,46,0,0,0,0,5,5,100.0,Match Report
870,Wolfsburg,2024-10-05,5,@,Bochum,de Bundesliga,W 3-1,3,1,+2,42,3,0,1,1,5,4,80.0,Match Report
871,Wolfsburg,2024-08-31,5,@,Holstein Kiel,de Bundesliga,W 2-0,2,0,+2,46,2,0,0,0,5,5,100.0,Match Report
872,Real Madrid,2025-01-03,5,@,Valencia,es La Liga,W 2-1,2,1,+1,62,2,0,1,1,5,4,80.0,Match Report
873,Real Madrid,2024-12-14,5,@,Rayo Vallecano,es La Liga,D 3-3,3,3,0,66,3,0,0,0,5,2,40.0,Match Report
874,Real Madrid,2024-10-19,5,@,Celta Vigo,es La Liga,W 2-1,2,1,+1,53,2,0,0,0,5,4,80.0,Match Report
875,Real Madrid,2024-08-18,5,@,Mallorca,es La Liga,D 1-1,1,1,0,66,1,0,0,0,5,4,80.0,Match Report
876,St. Pauli,2025-02-22,5,@,Mainz 05,de Bundesliga,L 0-2,0,2,-2,47,0,0,0,0,5,3,60.0,Match Report
877,St. Pauli,2025-02-09,5,@,RB Leipzig,de Bundesliga,L 0-2,0,2,-2,44,0,0,0,0,5,3,60.0,Match Report
878,St. Pauli,2025-01-15,5,@,Bochum,de Bundesliga,L 0-1,0,1,-1,49,0,0,0,0,5,4,80.0,Match Report
879,St. Pauli,2024-12-21,5,@,Stuttgart,de Bundesliga,W 1-0,1,0,+1,28,1,0,1,1,5,5,100.0,Match Report
880,St. Pauli,2024-09-22,5,,RB Leipzig,de Bundesliga,D 0-0,0,0,0,31,0,0,0,0,5,5,100.0,Match Report
881,St. Pauli,2024-08-30,5,@,Union Berlin,de Bundesliga,L 0-1,0,1,-1,61,0,0,0,0,5,4,80.0,Match Report
882,Marseille,2025-03-29,5,@,Reims,fr Ligue 1,L 1-3,1,3,-2,80,1,0,0,0,5,2,40.0,Match Report
883,Marseille,2025-03-16,5,@,Paris S-G,fr Ligue 1,L 1-3,1,3,-2,40,1,0,0,0,5,3,40.0,Match Report
884,Marseille,2025-02-22,5,@,Auxerre,fr Ligue 1,L 0-3,0,3,-3,79,0,0,0,0,5,2,60.0,Match Report
885,Marseille,2025-01-26,5,@,Nice,fr Ligue 1,L 0-2,0,2,-2,71,0,0,0,0,5,3,60.0,Match Report
886,Marseille,2024-12-14,5,,Lille,fr Ligue 1,D 1-1,1,1,0,56,1,0,0,0,5,4,80.0,Match Report
887,Marseille,2024-10-20,5,@,Montpellier,fr Ligue 1,W 5-0,5,0,+5,65,5,0,0,0,5,5,100.0,Match Report
888,Stuttgart,2025-03-29,5,@,Eint Frankfurt,de Bundesliga,L 0-1,0,1,-1,54,0,0,0,0,5,4,80.0,Match Report
889,Stuttgart,2025-03-08,5,@,Holstein Kiel,de Bundesliga,D 2-2,2,2,0,48,2,0,0,0,5,3,60.0,Match Report
890,Stuttgart,2025-02-08,5,@,Dortmund,de Bundesliga,W 2-1,2,1,+1,32,1,0,0,0,5,4,80.0,Match Report
891,Stuttgart,2024-12-21,5,,St. Pauli,de Bundesliga,L 0-1,0,1,-1,72,0,0,0,0,5,3,80.0,Match Report
892,Stuttgart,2024-11-10,5,,Eint Frankfurt,de Bundesliga,L 2-3,2,3,-1,60,2,0,1,1,5,2,40.0,Match Report
893,Stuttgart,2024-11-01,5,@,Leverkusen,de Bundesliga,D 0-0,0,0,0,47,0,0,0,0,5,5,100.0,Match Report
894,Stuttgart,2024-08-24,5,@,Freiburg,de Bundesliga,L 1-3,1,3,-2,67,1,0,0,0,5,2,40.0,Match Report
895,Auxerre,2025-04-06,5,@,Rennes,fr Ligue 1,W 1-0,1,0,+1,37,1,0,0,0,5,5,100.0,Match Report
896,Auxerre,2025-01-10,5,,Lille,fr Ligue 1,D 0-0,0,0,0,30,0,0,0,0,5,4,100.0,Match Report
897,Auxerre,2024-12-14,5,,Lens,fr Ligue 1,D 2-2,2,2,0,40,2,0,0,0,5,3,60.0,Match Report
898,Auxerre,2024-11-24,5,,Angers,fr Ligue 1,W 1-0,1,0,+1,48,1,0,0,0,5,5,100.0,Match Report
899,Auxerre,2024-11-08,5,@,Marseille,fr Ligue 1,W 3-1,3,1,+2,26,3,0,0,0,5,4,100.0,Match Report
900,Auxerre,2024-10-05,5,@,Saint-Étienne,fr Ligue 1,L 1-3,1,3,-2,58,1,0,0,0,5,2,40.0,Match Report
901,Auxerre,2024-08-25,5,@,Nantes,fr Ligue 1,L 0-2,0,2,-2,64,0,0,0,0,5,3,60.0,Match Report
902,Le Havre,2025-02-23,5,,Toulouse,fr Ligue 1,L 1-4,1,4,-3,54,1,0,0,0,5,1,40.0,Match Report
903,Le Havre,2025-02-08,5,@,Lille,fr Ligue 1,W 2-1,2,1,+1,34,2,0,0,0,5,4,80.0,Match Report
904,Le Havre,2024-12-15,5,,Strasbourg,fr Ligue 1,L 0-3,0,3,-3,56,0,0,0,0,5,2,40.0,Match Report
905,Le Havre,2024-12-07,5,@,Nice,fr Ligue 1,L 1-2,1,2,-1,49,1,0,0,0,5,3,80.0,Match Report
906,Le Havre,2024-08-24,5,@,Saint-Étienne,fr Ligue 1,W 2-0,2,0,+2,41,1,1,1,0,5,5,100.0,Match Report
907,Werder Bremen,2025-01-15,5,,Heidenheim,de Bundesliga,D 3-3,3,3,0,52,3,0,0,0,5,2,40.0,Match Report
908,Werder Bremen,2024-11-23,5,@,Eint Frankfurt,de Bundesliga,L 0-1,0,1,-1,50,0,0,0,0,5,4,80.0,Match Report
909,Werder Bremen,2024-11-09,5,,Holstein Kiel,de Bundesliga,W 2-1,2,1,+1,60,2,0,0,0,5,4,80.0,Match Report
910,Werder Bremen,2024-10-26,5,,Leverkusen,de Bundesliga,D 2-2,2,2,0,43,2,0,0,0,5,4,60.0,Match Report
911,Werder Bremen,2024-10-20,5,@,Wolfsburg,de Bundesliga,W 4-2,4,2,+2,57,4,0,0,0,5,3,60.0,Match Report
912,Werder Bremen,2024-09-15,5,@,Mainz 05,de Bundesliga,W 2-1,2,1,+1,42,1,1,1,0,5,4,80.0,Match Report
913,Genoa,2025-02-02,5,@,Fiorentina,it Serie A,L 1-2,1,2,-1,59,1,0,0,0,5,3,60.0,Match Report
914,Genoa,2024-09-15,5,,Roma,it Serie A,D 1-1,1,1,0,48,1,0,0,0,5,4,80.0,Match Report
915,Angers,2025-03-15,5,,Monaco,fr Ligue 1,L 0-2,0,2,-2,44,0,0,0,0,5,3,80.0,Match Report
916,Angers,2025-02-02,5,,Le Havre,fr Ligue 1,D 1-1,1,1,0,59,1,0,0,0,5,4,80.0,Match Report
917,Angers,2024-10-20,5,@,Toulouse,fr Ligue 1,D 1-1,1,1,0,35,1,0,1,1,5,4,80.0,Match Report
918,Angers,2024-09-15,5,@,Strasbourg,fr Ligue 1,D 1-1,1,1,0,48,1,0,0,0,5,4,80.0,Match Report
919,Lazio,2025-02-03,5,@,Cagliari,it Serie A,W 2-1,2,1,+1,60,2,0,0,0,5,4,80.0,Match Report
920,Lazio,2025-01-05,5,@,Roma,it Serie A,L 0-2,0,2,-2,67,0,0,0,0,5,3,60.0,Match Report
921,Lazio,2024-09-22,5,@,Fiorentina,it Serie A,L 1-2,1,2,-1,54,1,0,0,0,5,3,100.0,Match Report
922,Getafe,2025-01-18,5,,Barcelona,es La Liga,D 1-1,1,1,0,23,1,0,0,0,5,4,80.0,Match Report
923,Union Berlin,2025-02-15,5,,Gladbach,de Bundesliga,L 1-2,1,2,-1,52,0,1,1,0,5,3,60.0,Match Report
924,Union Berlin,2025-01-26,5,@,St. Pauli,de Bundesliga,L 0-3,0,3,-3,56,0,0,0,0,5,2,40.0,Match Report
925,Union Berlin,2025-01-15,5,,Augsburg,de Bundesliga,L 0-2,0,2,-2,55,0,0,0,0,5,3,60.0,Match Report
926,Union Berlin,2024-12-21,5,@,Werder Bremen,de Bundesliga,L 1-4,1,4,-3,46,1,0,0,0,5,1,20.0,Match Report
927,Union Berlin,2024-12-06,5,@,Stuttgart,de Bundesliga,L 2-3,2,3,-1,36,2,0,0,0,5,2,40.0,Match Report
928,Union Berlin,2024-11-23,5,@,Wolfsburg,de Bundesliga,L 0-1,0,1,-1,45,0,0,0,0,5,4,80.0,Match Report
929,Union Berlin,2024-10-27,5,,Eint Frankfurt,de Bundesliga,D 1-1,1,1,0,48,1,0,0,0,5,4,80.0,Match Report
930,West Ham,2025-03-15,5,@,Everton,eng Premier League,D 1-1,1,1,0,46,1,0,0,0,5,4,80.0,Match Report
931,West Ham,2025-02-15,5,,Brentford,eng Premier League,L 0-1,0,1,-1,58,0,0,0,0,5,4,80.0,Match Report
932,West Ham,2024-12-26,5,@,Southampton,eng Premier League,W 1-0,1,0,+1,46,1,0,0,0,5,5,100.0,Match Report
933,West Ham,2024-12-09,5,,Wolves,eng Premier League,W 2-1,2,1,+1,54,2,0,0,0,5,4,80.0,Match Report
934,West Ham,2024-10-27,5,,Manchester Utd,eng Premier League,W 2-1,2,1,+1,42,1,1,1,0,5,4,80.0,Match Report
935,West Ham,2024-09-21,5,,Chelsea,eng Premier League,L 0-3,0,3,-3,53,0,0,0,0,5,2,40.0,Match Report
936,West Ham,2024-09-14,5,@,Fulham,eng Premier League,D 1-1,1,1,0,46,1,0,0,0,5,4,80.0,Match Report
937,Leganés,2025-02-23,5,@,Real Sociedad,es La Liga,L 0-3,0,3,-3,45,0,0,0,0,5,2,40.0,Match Report
938,Leganés,2025-01-11,5,@,Espanyol,es La Liga,D 1-1,1,1,0,47,1,0,0,0,5,4,80.0,Match Report
939,Leganés,2024-12-08,5,,Real Sociedad,es La Liga,L 0-3,0,3,-3,56,0,0,0,0,5,2,40.0,Match Report
940,Leganés,2024-10-27,5,,Celta Vigo,es La Liga,W 3-0,3,0,+3,39,3,0,0,0,5,5,100.0,Match Report
941,Leganés,2024-09-13,5,@,Betis,es La Liga,L 0-2,0,2,-2,36,0,0,0,0,5,3,60.0,Match Report
942,Leganés,2024-08-25,5,,Las Palmas,es La Liga,W 2-1,2,1,+1,39,2,0,1,1,5,4,80.0,Match Report
943,Reims,2025-02-21,5,@,Rennes,fr Ligue 1,L 0-1,0,1,-1,42,0,0,0,0,5,4,100.0,Match Report
944,Reims,2024-11-03,5,@,Toulouse,fr Ligue 1,L 0-1,0,1,-1,49,0,0,0,0,5,4,80.0,Match Report
945,Reims,2024-09-01,5,,Rennes,fr Ligue 1,W 2-1,2,1,+1,53,2,0,0,0,5,4,80.0,Match Report
946,Liverpool,2025-02-23,5,@,Manchester City,eng Premier League,W 2-0,2,0,+2,34,2,0,0,0,5,5,100.0,Match Report
947,Liverpool,2024-12-22,5,@,Tottenham,eng Premier League,W 6-3,6,3,+3,48,6,0,0,0,5,2,40.0,Match Report
948,Liverpool,2024-11-24,5,@,Southampton,eng Premier League,W 3-2,3,2,+1,62,2,1,1,0,5,2,60.0,Match Report
949,Liverpool,2024-11-02,5,,Brighton,eng Premier League,W 2-1,2,1,+1,49,2,0,0,0,5,4,80.0,Match Report
950,Liverpool,2024-10-05,5,@,Crystal Palace,eng Premier League,W 1-0,1,0,+1,68,1,0,0,0,5,5,100.0,Match Report
951,Aston Villa,2025-02-01,5,@,Wolves,eng Premier League,L 0-2,0,2,-2,68,0,0,0,0,5,3,60.0,Match Report
952,Aston Villa,2024-11-09,5,@,Liverpool,eng Premier League,L 0-2,0,2,-2,38,0,0,0,0,5,3,60.0,Match Report
953,Aston Villa,2024-09-29,5,@,Ipswich Town,eng Premier League,D 2-2,2,2,0,56,2,0,0,0,5,3,60.0,Match Report
954,Wolves,2025-02-25,5,,Fulham,eng Premier League,L 1-2,1,2,-1,60,1,0,0,0,5,3,60.0,Match Report
955,Wolves,2025-01-15,5,@,Newcastle Utd,eng Premier League,L 0-3,0,3,-3,40,0,0,0,0,5,2,40.0,Match Report
956,Wolves,2024-08-31,5,@,Nott'ham Forest,eng Premier League,D 1-1,1,1,0,48,1,0,0,0,5,4,80.0,Match Report
957,Alavés,2025-03-29,5,,Rayo Vallecano,es La Liga,L 0-2,0,2,-2,55,0,0,1,1,5,3,60.0,Match Report
958,Girona,2025-02-23,5,@,Real Madrid,es La Liga,L 0-2,0,2,-2,37,0,0,0,0,5,3,60.0,Match Report
959,Girona,2024-11-02,5,,Leganés,es La Liga,W 4-3,4,3,+1,54,2,1,1,0,5,2,40.0,Match Report
960,Girona,2024-09-01,5,@,Sevilla,es La Liga,W 2-0,2,0,+2,50,1,1,1,0,5,5,100.0,Match Report
961,Atalanta,2025-01-25,5,@,Como,it Serie A,W 2-1,2,1,+1,46,2,0,0,0,5,4,80.0,Match Report
962,Atalanta,2024-12-28,5,@,Lazio,it Serie A,D 1-1,1,1,0,60,1,0,0,0,5,4,80.0,Match Report
963,Atalanta,2024-09-15,5,,Fiorentina,it Serie A,W 3-2,3,2,+1,51,3,0,0,0,5,3,60.0,Match Report
964,Rayo Vallecano,2025-03-09,5,@,Real Madrid,es La Liga,L 1-2,1,2,-1,54,1,0,0,0,5,3,60.0,Match Report
965,Rayo Vallecano,2025-02-22,5,,Villarreal,es La Liga,L 0-1,0,1,-1,50,0,0,0,0,5,4,80.0,Match Report
966,Rayo Vallecano,2025-02-17,5,@,Barcelona,es La Liga,L 0-1,0,1,-1,41,0,0,0,0,5,4,100.0,Match Report
967,Rayo Vallecano,2025-01-26,5,,Girona,es La Liga,W 2-1,2,1,+1,57,2,0,0,0,5,4,80.0,Match Report
