Rk,Team,Date,Off,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Off,PKwon,PKcon,OG,Recov,Match Report
784,Hellas Verona,2025-03-31,2,,Parma,it Serie A,D 0-0,0,0,0,42,0,0,0,0,2,0,0,0,39,Match Report
785,Hellas Verona,2025-02-15,2,@,Milan,it Serie A,L 0-1,0,1,-1,27,0,0,0,0,2,0,0,0,25,Match Report
786,Hellas Verona,2025-01-19,2,,Lazio,it Serie A,L 0-3,0,3,-3,36,0,0,0,0,2,0,0,0,41,Match Report
787,Hellas Verona,2024-11-23,2,,Inter,it Serie A,L 0-5,0,5,-5,31,0,0,0,0,2,0,0,0,23,Match Report
788,Hellas Verona,2024-10-26,2,@,Atalanta,it Serie A,L 1-6,1,6,-5,31,1,0,0,0,2,0,0,0,44,Match Report
789,Hellas Verona,2024-08-18,2,,Napoli,it Serie A,W 3-0,3,0,+3,33,3,0,0,0,2,0,0,0,44,Match Report
790,Torino,2025-02-22,2,,Milan,it Serie A,W 2-1,2,1,+1,36,1,0,0,0,2,0,1,0,25,Match Report
791,Torino,2025-02-08,2,,Genoa,it Serie A,D 1-1,1,1,0,57,0,0,0,0,2,0,0,0,52,Match Report
792,Torino,2024-12-13,2,@,Empoli,it Serie A,W 1-0,1,0,+1,41,1,0,0,0,2,0,0,0,45,Match Report
793,Torino,2024-11-24,2,,Monza,it Serie A,D 1-1,1,1,0,54,1,0,0,0,2,0,0,0,42,Match Report
794,Torino,2024-10-20,2,@,Cagliari,it Serie A,L 2-3,2,3,-1,59,2,0,0,0,2,0,0,1,35,Match Report
795,Nice,2025-03-14,2,,Auxerre,fr Ligue 1,D 1-1,1,1,0,51,1,0,0,0,2,0,0,0,50,Match Report
796,Nice,2025-03-01,2,@,Saint-Étienne,fr Ligue 1,W 3-1,3,1,+2,38,2,0,0,0,2,0,0,0,53,Match Report
797,Nice,2025-01-26,2,,Marseille,fr Ligue 1,W 2-0,2,0,+2,29,2,0,0,0,2,0,0,0,46,Match Report
798,Nice,2024-11-10,2,,Lille,fr Ligue 1,D 2-2,2,2,0,43,2,0,0,0,2,0,0,0,49,Match Report
799,Nice,2024-10-27,2,,Monaco,fr Ligue 1,W 2-1,2,1,+1,41,2,0,0,0,2,0,0,0,62,Match Report
800,Nice,2024-10-20,2,@,Nantes,fr Ligue 1,D 1-1,1,1,0,57,1,0,0,0,2,0,0,0,52,Match Report
801,Nice,2024-10-06,2,,Paris S-G,fr Ligue 1,D 1-1,1,1,0,29,1,0,0,0,2,0,0,1,42,Match Report
802,Valladolid,2025-03-15,2,,Celta Vigo,es La Liga,L 0-1,0,1,-1,39,0,0,0,0,2,0,1,0,42,Match Report
803,Valladolid,2025-02-23,2,@,Athletic Club,es La Liga,L 1-7,1,7,-6,43,1,0,0,0,2,0,0,0,32,Match Report
804,Valladolid,2025-01-25,2,,Real Madrid,es La Liga,L 0-3,0,3,-3,32,0,0,0,0,2,0,1,0,23,Match Report
805,Valladolid,2024-11-10,2,,Athletic Club,es La Liga,D 1-1,1,1,0,34,1,0,0,0,2,0,0,0,36,Match Report
806,Valladolid,2024-11-02,2,@,Osasuna,es La Liga,L 0-1,0,1,-1,51,0,0,0,0,2,0,1,0,30,Match Report
807,Valladolid,2024-09-27,2,,Mallorca,es La Liga,L 1-2,1,2,-1,51,1,0,0,0,2,0,0,0,36,Match Report
808,Arsenal,2025-03-16,2,,Chelsea,eng Premier League,W 1-0,1,0,+1,42,1,0,0,0,2,0,0,0,35,Match Report
809,Arsenal,2025-02-26,2,@,Nott'ham Forest,eng Premier League,D 0-0,0,0,0,64,0,0,0,0,2,0,0,0,35,Match Report
810,Arsenal,2025-02-22,2,,West Ham,eng Premier League,L 0-1,0,1,-1,68,0,0,0,0,2,0,0,0,33,Match Report
811,Arsenal,2024-12-04,2,,Manchester Utd,eng Premier League,W 2-0,2,0,+2,51,2,0,0,0,2,0,0,0,40,Match Report
812,Arsenal,2024-10-27,2,,Liverpool,eng Premier League,D 2-2,2,2,0,45,2,0,0,0,2,0,0,0,34,Match Report
813,Heidenheim,2025-04-05,2,,Leverkusen,de Bundesliga,L 0-1,0,1,-1,49,0,0,0,0,2,0,0,0,51,Match Report
814,Heidenheim,2025-03-01,2,,Gladbach,de Bundesliga,L 0-3,0,3,-3,45,0,0,0,0,2,0,0,0,34,Match Report
815,Heidenheim,2025-02-08,2,@,Freiburg,de Bundesliga,L 0-1,0,1,-1,47,0,0,0,0,2,0,0,0,47,Match Report
816,Heidenheim,2025-01-15,2,@,Werder Bremen,de Bundesliga,D 3-3,3,3,0,48,3,0,0,0,2,0,0,0,44,Match Report
817,Heidenheim,2024-12-15,2,,Stuttgart,de Bundesliga,L 1-3,1,3,-2,34,1,0,0,0,2,0,1,0,48,Match Report
818,Heidenheim,2024-12-01,2,,Eint Frankfurt,de Bundesliga,L 0-4,0,4,-4,46,0,0,0,0,2,0,0,0,55,Match Report
819,Heidenheim,2024-10-19,2,@,Gladbach,de Bundesliga,L 2-3,2,3,-1,34,1,1,1,0,2,0,1,0,26,Match Report
820,Heidenheim,2024-09-28,2,@,Mainz 05,de Bundesliga,W 2-0,2,0,+2,50,2,0,0,0,2,0,0,0,39,Match Report
821,Heidenheim,2024-09-21,2,,Freiburg,de Bundesliga,L 0-3,0,3,-3,42,0,0,0,0,2,0,0,0,46,Match Report
822,Heidenheim,2024-09-01,2,,Augsburg,de Bundesliga,W 4-0,4,0,+4,36,3,1,1,0,2,0,0,0,44,Match Report
823,Manchester Utd,2025-03-16,2,@,Leicester City,eng Premier League,W 3-0,3,0,+3,47,3,0,0,0,2,0,0,0,53,Match Report
824,Manchester Utd,2025-01-26,2,@,Fulham,eng Premier League,W 1-0,1,0,+1,49,1,0,0,0,2,0,0,0,46,Match Report
825,Manchester Utd,2025-01-16,2,,Southampton,eng Premier League,W 3-1,3,1,+2,60,3,0,0,0,2,0,0,1,53,Match Report
826,Manchester Utd,2024-12-04,2,@,Arsenal,eng Premier League,L 0-2,0,2,-2,49,0,0,0,0,2,0,0,0,33,Match Report
827,Manchester Utd,2024-09-29,2,,Tottenham,eng Premier League,L 0-3,0,3,-3,39,0,0,0,0,2,0,0,0,43,Match Report
828,Bologna,2025-03-09,2,@,Hellas Verona,it Serie A,W 2-1,2,1,+1,67,2,0,0,0,2,0,0,0,38,Match Report
829,Bologna,2025-02-27,2,,Milan,it Serie A,W 2-1,2,1,+1,57,2,0,0,0,2,0,0,0,44,Match Report
830,Bologna,2025-02-09,2,@,Lecce,it Serie A,D 0-0,0,0,0,58,0,0,0,0,2,0,0,0,35,Match Report
831,Bologna,2025-01-12,2,,Roma,it Serie A,D 2-2,2,2,0,54,1,1,1,0,2,0,1,0,39,Match Report
832,Bologna,2024-12-15,2,,Fiorentina,it Serie A,W 1-0,1,0,+1,50,1,0,0,0,2,0,0,0,45,Match Report
833,Bologna,2024-11-30,2,,Venezia,it Serie A,W 3-0,3,0,+3,60,1,2,2,0,2,2,0,0,54,Match Report
834,Bologna,2024-08-31,2,,Empoli,it Serie A,D 1-1,1,1,0,69,1,0,0,0,2,0,0,0,37,Match Report
835,Barcelona,2025-04-05,2,,Betis,es La Liga,D 1-1,1,1,0,73,1,0,0,0,2,0,0,0,54,Match Report
836,Barcelona,2025-03-27,2,,Osasuna,es La Liga,W 3-0,3,0,+3,74,2,1,1,0,2,1,0,0,48,Match Report
837,Barcelona,2025-02-17,2,,Rayo Vallecano,es La Liga,W 1-0,1,0,+1,59,0,1,1,0,2,1,0,0,50,Match Report
838,Barcelona,2025-02-02,2,,Alavés,es La Liga,W 1-0,1,0,+1,69,1,0,0,0,2,0,0,0,31,Match Report
839,Barcelona,2024-12-21,2,,Atlético Madrid,es La Liga,L 1-2,1,2,-1,62,1,0,0,0,2,0,0,0,56,Match Report
840,Barcelona,2024-11-30,2,,Las Palmas,es La Liga,L 1-2,1,2,-1,69,1,0,0,0,2,0,0,0,56,Match Report
841,Barcelona,2024-08-24,2,,Athletic Club,es La Liga,W 2-1,2,1,+1,64,2,0,0,0,2,0,1,0,38,Match Report
842,Monza,2025-03-15,2,,Parma,it Serie A,D 1-1,1,1,0,45,1,0,0,0,2,0,0,0,23,Match Report
843,Monza,2025-02-16,2,,Lecce,it Serie A,D 0-0,0,0,0,56,0,0,0,0,2,0,0,0,34,Match Report
844,Monza,2025-01-05,2,,Cagliari,it Serie A,L 1-2,1,2,-1,53,0,1,1,0,2,0,0,0,38,Match Report
845,Monza,2024-12-09,2,,Udinese,it Serie A,L 1-2,1,2,-1,67,1,0,0,0,2,0,0,0,42,Match Report
846,Monza,2024-11-02,2,,Milan,it Serie A,L 0-1,0,1,-1,44,0,0,0,0,2,0,0,0,36,Match Report
847,Montpellier,2025-03-08,2,@,Lille,fr Ligue 1,L 0-1,0,1,-1,24,0,0,0,0,2,0,0,0,43,Match Report
848,Montpellier,2025-02-16,2,,Lyon,fr Ligue 1,L 1-4,1,4,-3,38,1,0,0,0,2,0,0,0,37,Match Report
849,Montpellier,2025-01-31,2,,Lens,fr Ligue 1,L 0-2,0,2,-2,49,0,0,0,0,2,0,0,0,50,Match Report
850,Montpellier,2025-01-12,2,,Angers,fr Ligue 1,L 1-3,1,3,-2,58,0,1,1,0,2,1,0,0,44,Match Report
851,Montpellier,2024-09-28,2,@,Monaco,fr Ligue 1,L 1-2,1,2,-1,35,1,0,0,0,2,0,0,0,43,Match Report
852,Montpellier,2024-08-23,2,@,Paris S-G,fr Ligue 1,L 0-6,0,6,-6,32,0,0,0,0,2,0,0,0,41,Match Report
853,Como,2025-03-15,2,@,Milan,it Serie A,L 1-2,1,2,-1,58,1,0,0,0,2,0,0,0,43,Match Report
854,Como,2025-01-20,2,,Udinese,it Serie A,W 4-1,4,1,+3,51,3,0,0,0,2,0,0,0,31,Match Report
855,Como,2024-12-15,2,,Roma,it Serie A,W 2-0,2,0,+2,38,2,0,0,0,2,0,0,0,39,Match Report
856,Como,2024-09-29,2,,Hellas Verona,it Serie A,W 3-2,3,2,+1,71,3,0,0,0,2,0,1,0,36,Match Report
857,Como,2024-09-14,2,,Bologna,it Serie A,D 2-2,2,2,0,44,1,0,0,0,2,0,0,0,57,Match Report
858,Villarreal,2025-02-01,2,,Valladolid,es La Liga,W 5-1,5,1,+4,53,5,0,0,0,2,0,0,0,46,Match Report
859,Villarreal,2025-01-13,2,@,Real Sociedad,es La Liga,L 0-1,0,1,-1,44,0,0,0,0,2,0,0,0,37,Match Report
860,Villarreal,2024-12-08,2,@,Athletic Club,es La Liga,L 0-2,0,2,-2,58,0,0,0,0,2,0,0,0,41,Match Report
861,Villarreal,2024-08-26,2,,Celta Vigo,es La Liga,W 4-3,4,3,+1,45,3,0,1,1,2,1,0,0,40,Match Report
862,Villarreal,2024-08-19,2,,Atlético Madrid,es La Liga,D 2-2,2,2,0,44,1,0,0,0,2,0,0,0,42,Match Report
863,Mallorca,2025-03-09,2,@,Athletic Club,es La Liga,D 1-1,1,1,0,45,1,0,0,0,2,0,0,0,37,Match Report
864,Mallorca,2024-10-20,2,,Rayo Vallecano,es La Liga,W 1-0,1,0,+1,51,1,0,0,0,2,0,0,0,46,Match Report
865,Mallorca,2024-09-14,2,,Villarreal,es La Liga,L 1-2,1,2,-1,53,0,0,0,0,2,0,0,0,41,Match Report
866,Holstein Kiel,2025-03-08,2,,Stuttgart,de Bundesliga,D 2-2,2,2,0,52,2,0,0,0,2,0,0,0,43,Match Report
867,Holstein Kiel,2025-02-16,2,@,Eint Frankfurt,de Bundesliga,L 1-3,1,3,-2,49,1,0,0,0,2,0,1,0,41,Match Report
868,Holstein Kiel,2025-01-24,2,@,Wolfsburg,de Bundesliga,D 2-2,2,2,0,31,2,0,0,0,2,0,0,0,31,Match Report
869,Holstein Kiel,2024-12-21,2,,Augsburg,de Bundesliga,W 5-1,5,1,+4,37,5,0,0,0,2,0,0,0,35,Match Report
870,Holstein Kiel,2024-12-07,2,,RB Leipzig,de Bundesliga,L 0-2,0,2,-2,56,0,0,0,0,2,0,1,0,49,Match Report
871,Holstein Kiel,2024-11-09,2,@,Werder Bremen,de Bundesliga,L 1-2,1,2,-1,40,1,0,0,0,2,0,0,0,39,Match Report
872,Holstein Kiel,2024-08-31,2,,Wolfsburg,de Bundesliga,L 0-2,0,2,-2,54,0,0,0,0,2,0,0,0,35,Match Report
873,Athletic Club,2025-03-30,2,,Osasuna,es La Liga,D 0-0,0,0,0,61,0,0,0,0,2,0,0,0,48,Match Report
874,Athletic Club,2025-02-23,2,,Valladolid,es La Liga,W 7-1,7,1,+6,57,7,0,0,0,2,0,0,0,53,Match Report
875,Athletic Club,2025-02-02,2,@,Betis,es La Liga,D 2-2,2,2,0,47,2,0,0,0,2,0,0,0,50,Match Report
876,Athletic Club,2024-12-15,2,@,Alavés,es La Liga,D 1-1,1,1,0,48,1,0,0,0,2,0,0,0,57,Match Report
877,Athletic Club,2024-08-15,2,,Getafe,es La Liga,D 1-1,1,1,0,68,1,0,0,0,2,0,0,0,27,Match Report
878,Gladbach,2025-03-29,2,,RB Leipzig,de Bundesliga,W 1-0,1,0,+1,40,1,0,0,0,2,0,0,0,36,Match Report
879,Gladbach,2025-03-15,2,@,Werder Bremen,de Bundesliga,W 4-2,4,2,+2,47,3,1,1,0,2,1,1,0,38,Match Report
880,Gladbach,2025-02-01,2,@,Stuttgart,de Bundesliga,W 2-1,2,1,+1,46,2,0,0,0,2,0,0,1,41,Match Report
881,Gladbach,2024-12-21,2,@,Hoffenheim,de Bundesliga,W 2-1,2,1,+1,35,2,0,0,0,2,0,1,0,37,Match Report
882,Gladbach,2024-11-03,2,,Werder Bremen,de Bundesliga,W 4-1,4,1,+3,47,3,0,0,0,2,0,0,0,60,Match Report
883,Gladbach,2024-10-04,2,@,Augsburg,de Bundesliga,L 1-2,1,2,-1,65,1,0,0,0,2,0,0,0,34,Match Report
884,Gladbach,2024-09-21,2,@,Eint Frankfurt,de Bundesliga,L 0-2,0,2,-2,63,0,0,0,0,2,0,0,0,42,Match Report
885,Gladbach,2024-08-31,2,@,Bochum,de Bundesliga,W 2-0,2,0,+2,61,2,0,0,0,2,0,0,0,43,Match Report
886,Gladbach,2024-08-23,2,,Leverkusen,de Bundesliga,L 2-3,2,3,-1,43,2,0,0,0,2,0,1,0,27,Match Report
887,Southampton,2025-04-02,2,,Crystal Palace,eng Premier League,D 1-1,1,1,0,43,1,0,0,0,2,0,0,0,41,Match Report
888,Southampton,2025-03-15,2,,Wolves,eng Premier League,L 1-2,1,2,-1,60,1,0,0,0,2,0,0,0,41,Match Report
889,Southampton,2025-02-22,2,,Brighton,eng Premier League,L 0-4,0,4,-4,50,0,0,0,0,2,0,0,0,50,Match Report
890,Southampton,2025-01-25,2,,Newcastle Utd,eng Premier League,L 1-3,1,3,-2,53,1,0,0,0,2,0,1,0,41,Match Report
891,Southampton,2024-12-22,2,@,Fulham,eng Premier League,D 0-0,0,0,0,43,0,0,0,0,2,0,0,0,40,Match Report
892,Southampton,2024-12-15,2,,Tottenham,eng Premier League,L 0-5,0,5,-5,42,0,0,0,0,2,0,0,0,39,Match Report
893,Southampton,2024-10-26,2,@,Manchester City,eng Premier League,L 0-1,0,1,-1,43,0,0,0,0,2,0,0,0,18,Match Report
894,Southampton,2024-08-31,2,@,Brentford,eng Premier League,L 1-3,1,3,-2,63,1,0,0,0,2,0,0,0,36,Match Report
895,Southampton,2024-08-17,2,@,Newcastle Utd,eng Premier League,L 0-1,0,1,-1,77,0,0,0,0,2,0,0,0,35,Match Report
896,Tottenham,2025-01-04,2,,Newcastle Utd,eng Premier League,L 1-2,1,2,-1,56,1,0,0,0,2,0,0,0,40,Match Report
897,Tottenham,2024-10-19,2,,West Ham,eng Premier League,W 4-1,4,1,+3,57,3,0,0,0,2,0,0,0,49,Match Report
898,Tottenham,2024-10-06,2,@,Brighton,eng Premier League,L 2-3,2,3,-1,59,2,0,0,0,2,0,0,0,37,Match Report
899,Tottenham,2024-09-15,2,,Arsenal,eng Premier League,L 0-1,0,1,-1,63,0,0,0,0,2,0,0,0,39,Match Report
900,Toulouse,2025-04-06,2,@,Marseille,fr Ligue 1,L 2-3,2,3,-1,33,2,0,0,0,2,0,0,1,29,Match Report
901,Toulouse,2025-03-02,2,@,Angers,fr Ligue 1,W 4-0,4,0,+4,54,4,0,0,0,2,0,0,0,57,Match Report
902,Toulouse,2025-01-26,2,,Montpellier,fr Ligue 1,L 1-2,1,2,-1,66,1,0,0,0,2,0,0,0,51,Match Report
903,Toulouse,2024-12-01,2,,Auxerre,fr Ligue 1,W 2-0,2,0,+2,52,1,1,1,0,2,1,0,0,51,Match Report
904,Toulouse,2024-10-05,2,@,Lille,fr Ligue 1,L 1-2,1,2,-1,43,1,0,0,0,2,0,0,0,36,Match Report
905,Fiorentina,2025-03-30,2,,Atalanta,it Serie A,W 1-0,1,0,+1,45,1,0,0,0,2,0,0,0,48,Match Report
906,Fiorentina,2025-01-26,2,@,Lazio,it Serie A,W 2-1,2,1,+1,30,2,0,0,0,2,0,0,0,38,Match Report
907,Fiorentina,2024-12-15,2,@,Bologna,it Serie A,L 0-1,0,1,-1,50,0,0,0,0,2,0,0,0,32,Match Report
908,Fiorentina,2024-11-03,2,@,Torino,it Serie A,W 1-0,1,0,+1,46,1,0,0,0,2,0,0,0,29,Match Report
909,Fiorentina,2024-10-31,2,@,Genoa,it Serie A,W 1-0,1,0,+1,67,1,0,0,0,2,0,0,0,35,Match Report
910,Fiorentina,2024-10-27,2,,Roma,it Serie A,W 5-1,5,1,+4,39,3,1,1,0,2,1,0,0,39,Match Report
911,Fiorentina,2024-10-20,2,@,Lecce,it Serie A,W 6-0,6,0,+6,61,6,0,0,0,2,0,0,0,47,Match Report
912,Crystal Palace,2025-01-04,2,,Chelsea,eng Premier League,D 1-1,1,1,0,39,1,0,0,0,2,0,0,0,48,Match Report
913,Crystal Palace,2024-12-29,2,,Southampton,eng Premier League,W 2-1,2,1,+1,47,2,0,0,0,2,0,0,0,60,Match Report
914,Crystal Palace,2024-11-30,2,,Newcastle Utd,eng Premier League,D 1-1,1,1,0,49,1,0,0,0,2,0,0,1,48,Match Report
915,Crystal Palace,2024-11-23,2,@,Aston Villa,eng Premier League,D 2-2,2,2,0,31,2,0,0,0,2,0,1,0,48,Match Report
916,Crystal Palace,2024-10-21,2,@,Nott'ham Forest,eng Premier League,L 0-1,0,1,-1,49,0,0,0,0,2,0,0,0,45,Match Report
917,Bournemouth,2025-01-25,2,,Nott'ham Forest,eng Premier League,W 5-0,5,0,+5,50,5,0,0,0,2,0,0,0,43,Match Report
918,Bournemouth,2024-12-22,2,@,Manchester Utd,eng Premier League,W 3-0,3,0,+3,40,2,1,1,0,2,1,0,0,51,Match Report
919,Bournemouth,2024-11-02,2,,Manchester City,eng Premier League,W 2-1,2,1,+1,36,2,0,0,0,2,0,0,0,36,Match Report
920,Bournemouth,2024-08-31,2,@,Everton,eng Premier League,W 3-2,3,2,+1,53,3,0,0,0,2,0,0,0,51,Match Report
921,Wolfsburg,2025-02-08,2,,Leverkusen,de Bundesliga,D 0-0,0,0,0,41,0,0,0,0,2,0,0,0,38,Match Report
922,Wolfsburg,2025-01-24,2,,Holstein Kiel,de Bundesliga,D 2-2,2,2,0,69,2,0,0,0,2,0,0,0,53,Match Report
923,Wolfsburg,2025-01-11,2,@,Hoffenheim,de Bundesliga,W 1-0,1,0,+1,45,1,0,0,0,2,0,0,0,37,Match Report
924,Wolfsburg,2024-12-13,2,@,Freiburg,de Bundesliga,L 2-3,2,3,-1,47,2,0,0,0,2,0,0,0,50,Match Report
925,Wolfsburg,2024-09-28,2,,Stuttgart,de Bundesliga,D 2-2,2,2,0,31,2,0,0,0,2,0,1,0,41,Match Report
926,Real Madrid,2025-03-29,2,,Leganés,es La Liga,W 3-2,3,2,+1,70,2,1,1,0,2,1,0,0,41,Match Report
927,Real Madrid,2025-02-15,2,@,Osasuna,es La Liga,D 1-1,1,1,0,55,1,0,0,0,2,0,1,0,34,Match Report
928,Real Madrid,2025-02-08,2,,Atlético Madrid,es La Liga,D 1-1,1,1,0,60,1,0,0,0,2,0,1,0,35,Match Report
929,Real Madrid,2024-11-09,2,,Osasuna,es La Liga,W 4-0,4,0,+4,68,4,0,0,0,2,0,0,0,49,Match Report
930,Real Madrid,2024-09-24,2,,Alavés,es La Liga,W 3-2,3,2,+1,68,3,0,0,0,2,0,0,0,40,Match Report
931,Real Madrid,2024-09-21,2,,Espanyol,es La Liga,W 4-1,4,1,+3,73,3,1,1,0,2,1,0,1,48,Match Report
932,St. Pauli,2025-03-29,2,@,Bayern Munich,de Bundesliga,L 2-3,2,3,-1,35,2,0,0,0,2,0,0,0,43,Match Report
933,St. Pauli,2025-03-14,2,,Hoffenheim,de Bundesliga,W 1-0,1,0,+1,44,1,0,0,0,2,0,0,0,44,Match Report
934,St. Pauli,2025-01-15,2,@,Bochum,de Bundesliga,L 0-1,0,1,-1,49,0,0,0,0,2,0,0,0,38,Match Report
935,St. Pauli,2024-12-14,2,,Werder Bremen,de Bundesliga,L 0-2,0,2,-2,56,0,0,0,0,2,0,0,0,50,Match Report
936,St. Pauli,2024-12-07,2,@,Leverkusen,de Bundesliga,L 1-2,1,2,-1,38,1,0,0,0,2,0,0,0,40,Match Report
937,St. Pauli,2024-10-26,2,,Wolfsburg,de Bundesliga,D 0-0,0,0,0,54,0,0,0,0,2,0,0,0,28,Match Report
938,St. Pauli,2024-09-22,2,,RB Leipzig,de Bundesliga,D 0-0,0,0,0,31,0,0,0,0,2,0,0,0,55,Match Report
939,St. Pauli,2024-09-15,2,@,Augsburg,de Bundesliga,L 1-3,1,3,-2,56,1,0,0,0,2,0,0,0,40,Match Report
940,Marseille,2025-02-15,2,,Saint-Étienne,fr Ligue 1,W 5-1,5,1,+4,70,4,1,1,0,2,0,0,0,50,Match Report
941,Marseille,2024-10-27,2,,Paris S-G,fr Ligue 1,L 0-3,0,3,-3,26,0,0,0,0,2,0,0,1,41,Match Report
942,Marseille,2024-10-20,2,@,Montpellier,fr Ligue 1,W 5-0,5,0,+5,65,5,0,0,0,2,0,0,0,43,Match Report
943,Stuttgart,2025-02-28,2,,Bayern Munich,de Bundesliga,L 1-3,1,3,-2,53,1,0,0,0,2,0,0,0,38,Match Report
944,Stuttgart,2025-01-18,2,,Freiburg,de Bundesliga,W 4-0,4,0,+4,56,3,1,1,0,2,1,0,0,37,Match Report
945,Stuttgart,2025-01-15,2,,RB Leipzig,de Bundesliga,W 2-1,2,1,+1,58,2,0,0,0,2,0,0,0,53,Match Report
946,Stuttgart,2024-12-06,2,,Union Berlin,de Bundesliga,W 3-2,3,2,+1,64,3,0,0,0,2,0,0,0,35,Match Report
947,Stuttgart,2024-11-23,2,,Bochum,de Bundesliga,W 2-0,2,0,+2,58,2,0,0,0,2,0,0,0,38,Match Report
948,Stuttgart,2024-10-26,2,,Holstein Kiel,de Bundesliga,W 2-1,2,1,+1,58,2,0,0,0,2,0,0,0,38,Match Report
949,Stuttgart,2024-10-19,2,@,Bayern Munich,de Bundesliga,L 0-4,0,4,-4,35,0,0,0,0,2,0,0,0,28,Match Report
950,Stuttgart,2024-09-14,2,@,Gladbach,de Bundesliga,W 3-1,3,1,+2,56,3,0,0,0,2,0,0,0,44,Match Report
951,Stuttgart,2024-08-31,2,,Mainz 05,de Bundesliga,D 3-3,3,3,0,63,3,0,0,0,2,0,1,0,37,Match Report
952,Auxerre,2025-03-02,2,,Strasbourg,fr Ligue 1,L 0-1,0,1,-1,45,0,0,0,0,2,0,0,0,50,Match Report
953,Auxerre,2025-02-22,2,,Marseille,fr Ligue 1,W 3-0,3,0,+3,21,2,1,1,0,2,1,0,0,57,Match Report
954,Auxerre,2024-11-08,2,@,Marseille,fr Ligue 1,W 3-1,3,1,+2,26,3,0,0,0,2,0,1,0,40,Match Report
955,Auxerre,2024-10-20,2,,Reims,fr Ligue 1,W 2-1,2,1,+1,35,2,0,1,1,2,1,0,0,46,Match Report
956,Auxerre,2024-09-27,2,,Brest,fr Ligue 1,W 3-0,3,0,+3,39,2,1,1,0,2,0,0,0,41,Match Report
957,Auxerre,2024-08-18,2,,Nice,fr Ligue 1,W 2-1,2,1,+1,45,2,0,0,0,2,0,0,0,39,Match Report
958,Le Havre,2025-03-30,2,,Nantes,fr Ligue 1,W 3-2,3,2,+1,52,1,2,2,0,2,1,0,0,41,Match Report
959,Le Havre,2025-03-01,2,@,Lens,fr Ligue 1,W 4-3,4,3,+1,31,3,1,1,0,2,1,1,0,34,Match Report
960,Le Havre,2025-02-23,2,,Toulouse,fr Ligue 1,L 1-4,1,4,-3,54,1,0,0,0,2,0,1,0,44,Match Report
961,Le Havre,2025-02-16,2,,Nice,fr Ligue 1,L 1-3,1,3,-2,49,1,0,0,0,2,0,0,1,36,Match Report
962,Le Havre,2025-01-19,2,@,Reims,fr Ligue 1,D 1-1,1,1,0,45,1,0,0,0,2,0,0,0,42,Match Report
963,Le Havre,2024-12-07,2,@,Nice,fr Ligue 1,L 1-2,1,2,-1,49,1,0,0,0,2,0,1,0,50,Match Report
964,Le Havre,2024-11-24,2,@,Nantes,fr Ligue 1,W 2-0,2,0,+2,30,1,0,0,0,2,0,0,0,40,Match Report
965,Le Havre,2024-10-25,2,@,Rennes,fr Ligue 1,L 0-1,0,1,-1,40,0,0,0,0,2,0,0,0,49,Match Report
966,Le Havre,2024-10-06,2,@,Brest,fr Ligue 1,L 0-2,0,2,-2,47,0,0,0,0,2,0,0,0,45,Match Report
967,Werder Bremen,2025-02-21,2,@,Freiburg,de Bundesliga,L 0-5,0,5,-5,63,0,0,1,1,2,0,0,0,42,Match Report
968,Werder Bremen,2025-01-12,2,@,RB Leipzig,de Bundesliga,L 2-4,2,4,-2,51,2,0,0,0,2,0,0,0,50,Match Report
969,Werder Bremen,2024-08-24,2,@,Augsburg,de Bundesliga,D 2-2,2,2,0,54,2,0,0,0,2,0,0,0,30,Match Report
970,Genoa,2025-03-29,2,@,Juventus,it Serie A,L 0-1,0,1,-1,51,0,0,0,0,2,0,0,0,40,Match Report
971,Genoa,2025-03-07,2,@,Cagliari,it Serie A,D 1-1,1,1,0,53,1,0,0,0,2,0,0,0,48,Match Report
972,Genoa,2025-01-12,2,,Parma,it Serie A,W 1-0,1,0,+1,61,1,0,0,0,2,0,0,0,43,Match Report
973,Genoa,2024-12-15,2,@,Milan,it Serie A,D 0-0,0,0,0,43,0,0,0,0,2,0,0,0,36,Match Report
974,Genoa,2024-11-24,2,,Cagliari,it Serie A,D 2-2,2,2,0,52,2,0,0,0,2,0,2,0,32,Match Report
975,Genoa,2024-11-04,2,@,Parma,it Serie A,W 1-0,1,0,+1,45,1,0,0,0,2,0,0,0,32,Match Report
976,Angers,2024-11-01,2,@,Monaco,fr Ligue 1,W 1-0,1,0,+1,37,1,0,0,0,2,0,0,0,43,Match Report
977,Angers,2024-09-29,2,,Reims,fr Ligue 1,L 1-3,1,3,-2,53,1,0,0,0,2,0,0,0,48,Match Report
978,Lazio,2025-03-16,2,@,Bologna,it Serie A,L 0-5,0,5,-5,49,0,0,0,0,2,0,0,0,31,Match Report
979,Lazio,2025-02-09,2,,Monza,it Serie A,W 5-1,5,1,+4,61,5,0,0,0,2,0,1,0,37,Match Report
980,Lazio,2025-02-03,2,@,Cagliari,it Serie A,W 2-1,2,1,+1,60,2,0,0,0,2,0,0,0,30,Match Report
981,Lazio,2025-01-05,2,@,Roma,it Serie A,L 0-2,0,2,-2,67,0,0,0,0,2,0,0,0,40,Match Report
982,Lazio,2024-12-01,2,@,Parma,it Serie A,L 1-3,1,3,-2,72,1,0,0,0,2,0,0,0,44,Match Report
