Rk,Team,Date,Off,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Off,PKwon,PKcon,OG,Recov,Match Report
46,Girona,2025-02-03,6,,Las Palmas,es La Liga,W 2-1,2,1,+1,47,2,0,1,1,6,1,0,0,37,Match Report
47,Atalanta,2024-11-23,6,@,Parma,it Serie A,W 3-1,3,1,+2,55,3,0,0,0,6,0,0,0,64,Match Report
48,Rayo Vallecano,2024-12-01,6,,Athletic Club,es La Liga,L 1-2,1,2,-1,48,1,0,0,0,6,0,0,0,51,Match Report
49,Mainz 05,2025-02-22,6,,St. Pauli,de Bundesliga,W 2-0,2,0,+2,53,2,0,0,0,6,0,0,0,35,Match Report
50,Espanyol,2024-11-03,6,@,Barcelona,es La Liga,L 1-3,1,3,-2,24,1,0,0,0,6,0,0,0,42,Match Report
51,Newcastle Utd,2024-09-21,6,@,Fulham,eng Premier League,L 1-3,1,3,-2,61,1,0,0,0,6,0,0,0,37,Match Report
52,Rennes,2025-01-11,6,,Marseille,fr Ligue 1,L 1-2,1,2,-1,36,1,0,1,1,6,0,0,0,47,Match Report
53,Brentford,2025-01-18,6,,Liverpool,eng Premier League,L 0-2,0,2,-2,40,0,0,0,0,6,0,0,0,38,Match Report
54,Roma,2024-12-29,6,@,Milan,it Serie A,D 1-1,1,1,0,54,1,0,0,0,6,0,0,0,36,Match Report
55,Chelsea,2024-09-28,6,,Brighton,eng Premier League,W 4-2,4,2,+2,41,3,1,1,0,6,1,0,0,53,Match Report
56,Inter,2024-12-28,6,@,Cagliari,it Serie A,W 3-0,3,0,+3,65,2,1,1,0,6,0,0,0,45,Match Report
57,Inter,2024-08-17,6,@,Genoa,it Serie A,D 2-2,2,2,0,68,2,0,0,0,6,0,1,0,31,Match Report
58,Atlético Madrid,2024-08-28,6,,Espanyol,es La Liga,D 0-0,0,0,0,63,0,0,0,0,6,0,0,0,39,Match Report
59,Betis,2024-11-23,6,@,Valencia,es La Liga,L 2-4,2,4,-2,52,1,0,0,0,6,0,0,0,49,Match Report
60,Lens,2024-08-25,6,,Brest,fr Ligue 1,W 2-0,2,0,+2,52,1,0,0,0,6,0,0,0,50,Match Report
61,Monaco,2024-12-14,6,@,Reims,fr Ligue 1,D 0-0,0,0,0,64,0,0,0,0,6,0,0,0,60,Match Report
62,Las Palmas,2025-04-06,5,,Real Sociedad,es La Liga,L 1-3,1,3,-2,51,1,0,0,0,5,0,0,0,41,Match Report
63,Las Palmas,2024-11-30,5,@,Barcelona,es La Liga,W 2-1,2,1,+1,31,2,0,0,0,5,0,0,0,42,Match Report
64,Hoffenheim,2025-01-15,5,@,Bayern Munich,de Bundesliga,L 0-5,0,5,-5,35,0,0,0,0,5,0,1,0,50,Match Report
65,Bayern Munich,2024-10-06,5,@,Eint Frankfurt,de Bundesliga,D 3-3,3,3,0,74,3,0,0,0,5,0,0,0,53,Match Report
66,Augsburg,2024-12-14,5,,Leverkusen,de Bundesliga,L 0-2,0,2,-2,35,0,0,0,0,5,0,0,0,44,Match Report
67,Nice,2024-09-14,5,@,Marseille,fr Ligue 1,L 0-2,0,2,-2,44,0,0,0,0,5,0,0,0,47,Match Report
68,Arsenal,2025-04-01,5,,Fulham,eng Premier League,W 2-1,2,1,+1,51,2,0,0,0,5,0,0,0,34,Match Report
69,Arsenal,2024-12-14,5,,Everton,eng Premier League,D 0-0,0,0,0,76,0,0,0,0,5,0,0,0,47,Match Report
70,Barcelona,2024-09-25,5,,Getafe,es La Liga,W 1-0,1,0,+1,76,1,0,0,0,5,0,0,0,31,Match Report
71,Monza,2024-12-28,5,@,Parma,it Serie A,L 1-2,1,2,-1,56,1,0,0,0,5,0,1,0,40,Match Report
72,Como,2024-12-30,5,,Lecce,it Serie A,W 2-0,2,0,+2,56,2,0,1,1,5,1,0,0,50,Match Report
73,Como,2024-12-23,5,@,Inter,it Serie A,L 0-2,0,2,-2,38,0,0,0,0,5,0,0,0,38,Match Report
74,Villarreal,2025-02-08,5,@,Las Palmas,es La Liga,W 2-1,2,1,+1,44,2,0,0,0,5,0,0,0,42,Match Report
