Rk,Team,Date,Cmp,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Match Report
822,Sevilla,2025-02-16,457,@,Valladolid,es La Liga,W 4-0,4,0,+4,48,4,0,0,0,457,543,84.2,10,21,5,2,34,7806,2594,219,233,94.0,207,223,92.8,28,73,38.4,Match Report
823,Inter,2024-08-17,457,@,Genoa,it Serie A,D 2-2,2,2,0,68,2,0,0,0,457,541,84.5,11,35,8,3,51,8053,2510,190,210,90.5,237,265,89.4,27,52,51.9,Match Report
824,Eint Frankfurt,2024-12-01,457,@,Heidenheim,de Bundesliga,W 4-0,4,0,+4,54,4,0,0,0,457,558,81.9,13,52,10,0,57,7931,2928,210,238,88.2,209,240,87.1,37,62,59.7,Match Report
825,Brest,2024-11-10,457,@,Montpellier,fr Ligue 1,L 1-3,1,3,-2,67,1,0,0,0,457,557,82.0,11,35,3,1,44,7610,2369,218,239,91.2,184,214,86.0,43,73,58.9,Match Report
826,Mallorca,2024-12-06,456,@,Celta Vigo,es La Liga,L 0-2,0,2,-2,50,0,0,0,0,456,552,82.6,8,26,4,3,32,7939,2298,209,232,90.1,197,221,89.1,39,74,52.7,Match Report
827,Southampton,2024-12-07,456,@,Aston Villa,eng Premier League,L 0-1,0,1,-1,53,0,0,0,0,456,524,87.0,3,24,5,0,32,7615,2022,238,256,93.0,181,197,91.9,33,58,56.9,Match Report
828,St. Pauli,2025-02-15,456,,Freiburg,de Bundesliga,L 0-1,0,1,-1,54,0,0,0,0,456,566,80.6,5,21,4,3,23,7438,2538,206,230,89.6,198,228,86.8,29,63,46.0,Match Report
829,Mainz 05,2025-03-30,456,@,Dortmund,de Bundesliga,L 1-3,1,3,-2,56,1,0,0,0,456,588,77.6,9,25,14,6,46,7756,3288,211,249,84.7,190,228,83.3,40,72,55.6,Match Report
830,Ipswich Town,2024-12-03,456,,Crystal Palace,eng Premier League,L 0-1,0,1,-1,54,0,0,0,0,456,563,81.0,7,35,5,3,26,8471,3022,178,203,87.7,213,244,87.3,54,84,64.3,Match Report
831,Las Palmas,2024-12-22,455,,Espanyol,es La Liga,W 1-0,1,0,+1,57,1,0,0,0,455,531,85.7,8,37,7,2,39,8015,2618,188,201,93.5,214,237,90.3,37,61,60.7,Match Report
832,Arsenal,2025-02-26,455,@,Nott'ham Forest,eng Premier League,D 0-0,0,0,0,64,0,0,0,0,455,544,83.6,12,44,13,2,60,7145,2343,244,268,91.0,179,209,85.6,23,51,45.1,Match Report
833,Bologna,2024-10-29,455,@,Cagliari,it Serie A,W 2-0,2,0,+2,58,2,0,0,0,455,547,83.2,6,35,6,2,45,8223,3018,213,235,90.6,190,215,88.4,49,86,57.0,Match Report
834,Monza,2024-11-10,455,,Lazio,it Serie A,L 0-1,0,1,-1,51,0,0,0,0,455,527,86.3,8,29,10,7,35,8127,2680,184,204,90.2,216,233,92.7,45,63,71.4,Match Report
835,Leicester City,2025-03-16,455,,Manchester Utd,eng Premier League,L 0-3,0,3,-3,53,0,0,0,0,455,575,79.1,8,28,5,1,38,7798,2649,194,224,86.6,228,263,86.7,27,56,48.2,Match Report
836,Celta Vigo,2024-09-15,455,,Valladolid,es La Liga,W 3-1,3,1,+2,54,3,0,0,0,455,532,85.5,11,25,8,1,31,7824,2808,192,212,90.6,211,223,94.6,38,61,62.3,Match Report
837,Arsenal,2025-04-01,454,,Fulham,eng Premier League,W 2-1,2,1,+1,51,2,0,0,0,454,528,86.0,11,37,10,4,50,7483,2208,208,225,92.4,208,226,92.0,25,51,49.0,Match Report
838,Southampton,2024-10-26,454,@,Manchester City,eng Premier League,L 0-1,0,1,-1,43,0,0,0,0,454,503,90.3,5,9,4,0,21,7201,2391,231,245,94.3,180,194,92.8,28,43,65.1,Match Report
839,Stuttgart,2025-02-15,454,,Wolfsburg,de Bundesliga,L 1-2,1,2,-1,57,1,0,0,0,454,547,83.0,9,53,10,0,50,8186,2960,210,233,90.1,196,229,85.6,45,70,64.3,Match Report
840,Atalanta,2024-12-06,454,,Milan,it Serie A,W 2-1,2,1,+1,52,2,0,0,0,454,529,85.8,14,43,8,2,58,7624,2296,210,227,92.5,196,217,90.3,38,62,61.3,Match Report
841,Napoli,2024-12-01,454,@,Torino,it Serie A,W 1-0,1,0,+1,52,1,0,0,0,454,533,85.2,14,36,8,4,38,8242,2816,184,203,90.6,216,234,92.3,44,70,62.9,Match Report
842,Nice,2024-11-24,453,,Strasbourg,fr Ligue 1,W 2-1,2,1,+1,54,1,0,0,0,453,549,82.5,10,28,9,2,49,8405,2908,190,219,86.8,211,238,88.7,50,77,64.9,Match Report
843,Manchester Utd,2024-09-01,453,,Liverpool,eng Premier League,L 0-3,0,3,-3,53,0,0,0,0,453,556,81.5,7,31,6,3,33,7103,2494,215,243,88.5,185,212,87.3,28,55,50.9,Match Report
844,Bournemouth,2025-04-02,453,,Ipswich Town,eng Premier League,L 1-2,1,2,-1,63,1,0,0,0,453,581,78.0,14,64,12,5,54,8091,2716,200,232,86.2,194,226,85.8,50,102,49.0,Match Report
845,West Ham,2025-02-15,453,,Brentford,eng Premier League,L 0-1,0,1,-1,58,0,0,0,0,453,559,81.0,7,34,6,0,41,7860,2931,206,234,88.0,211,239,88.3,30,68,44.1,Match Report
846,Reims,2024-10-20,453,@,Auxerre,fr Ligue 1,L 1-2,1,2,-1,65,1,0,0,0,453,555,81.6,10,48,11,5,48,8010,2801,202,219,92.2,203,229,88.6,40,73,54.8,Match Report
847,Liverpool,2024-12-22,453,@,Tottenham,eng Premier League,W 6-3,6,3,+3,48,6,0,0,0,453,540,83.9,16,34,19,6,55,7570,2860,220,241,91.3,173,190,91.1,39,69,56.5,Match Report
848,Sevilla,2025-03-16,453,,Athletic Club,es La Liga,L 0-1,0,1,-1,61,0,0,0,0,453,560,80.9,9,27,2,0,30,8578,2769,177,195,90.8,229,257,89.1,44,92,47.8,Match Report
849,Sevilla,2024-09-20,453,@,Alavés,es La Liga,L 1-2,1,2,-1,65,1,0,0,0,453,553,81.9,7,23,4,1,33,7632,2700,229,257,89.1,175,206,85.0,38,66,57.6,Match Report
850,Newcastle Utd,2024-11-10,453,@,Nott'ham Forest,eng Premier League,W 3-1,3,1,+2,56,3,0,0,0,453,546,83.0,13,42,10,1,56,7361,2550,229,257,89.1,190,221,86.0,27,53,50.9,Match Report
851,Manchester City,2024-12-15,453,,Manchester Utd,eng Premier League,L 1-2,1,2,-1,52,1,0,0,0,453,538,84.2,5,42,5,1,30,7540,2474,236,252,93.7,175,203,86.2,36,65,55.4,Match Report
852,Hoffenheim,2024-11-23,452,,RB Leipzig,de Bundesliga,W 4-3,4,3,+1,59,4,0,0,0,452,554,81.6,15,25,10,6,39,8194,2917,176,199,88.4,217,246,88.2,48,78,61.5,Match Report
853,Werder Bremen,2025-03-01,452,,Wolfsburg,de Bundesliga,L 1-2,1,2,-1,56,1,0,0,0,452,576,78.5,10,48,10,1,56,7689,3104,222,268,82.8,177,203,87.2,41,72,56.9,Match Report
854,West Ham,2024-10-05,452,,Ipswich Town,eng Premier League,W 4-1,4,1,+3,52,4,0,0,0,452,528,85.6,15,32,7,2,36,8209,2825,196,218,89.9,205,226,90.7,42,69,60.9,Match Report
855,Leicester City,2024-10-19,452,@,Southampton,eng Premier League,W 3-2,3,2,+1,58,2,1,1,0,452,546,82.8,17,51,15,2,55,7867,2763,200,225,88.9,190,213,89.2,46,71,64.8,Match Report
856,Leverkusen,2025-02-22,452,@,Holstein Kiel,de Bundesliga,W 2-0,2,0,+2,62,2,0,0,0,452,585,77.3,13,46,13,1,60,7728,2863,195,219,89.0,179,225,79.6,49,87,56.3,Match Report
857,Roma,2024-10-20,452,,Inter,it Serie A,L 0-1,0,1,-1,55,0,0,0,0,452,530,85.3,12,27,13,6,41,8497,2451,164,186,88.2,221,248,89.1,52,77,67.5,Match Report
858,Napoli,2024-10-26,452,,Lecce,it Serie A,W 1-0,1,0,+1,64,1,0,0,0,452,543,83.2,16,49,12,2,59,7319,2392,218,237,92.0,183,214,85.5,35,55,63.6,Match Report
859,Celta Vigo,2024-12-06,452,,Mallorca,es La Liga,W 2-0,2,0,+2,50,2,0,0,0,452,543,83.2,8,35,5,1,33,7323,2612,216,240,90.0,174,199,87.4,40,59,67.8,Match Report
860,Celta Vigo,2024-08-23,452,,Valencia,es La Liga,W 3-1,3,1,+2,49,3,0,1,1,452,526,85.9,5,27,8,3,26,8103,2846,167,184,90.8,229,250,91.6,42,65,64.6,Match Report
861,Las Palmas,2024-12-07,451,,Valladolid,es La Liga,W 2-1,2,1,+1,58,2,0,0,0,451,545,82.8,8,28,8,1,32,7550,2882,193,212,91.0,204,238,85.7,35,64,54.7,Match Report
862,Hoffenheim,2024-12-08,451,,Freiburg,de Bundesliga,D 1-1,1,1,0,50,1,0,0,0,451,562,80.2,12,23,6,3,33,7411,2735,212,244,86.9,197,226,87.2,27,65,41.5,Match Report
863,Arsenal,2025-01-18,451,,Aston Villa,eng Premier League,D 2-2,2,2,0,66,2,0,0,0,451,543,83.1,11,55,16,3,69,7579,2422,215,235,91.5,191,218,87.6,35,63,55.6,Match Report
864,Monza,2025-03-02,451,,Torino,it Serie A,L 0-2,0,2,-2,53,0,0,0,0,451,534,84.5,7,27,7,4,38,8243,3266,176,198,88.9,222,238,93.3,43,72,59.7,Match Report
865,Tottenham,2025-04-06,451,,Southampton,eng Premier League,W 3-1,3,1,+2,51,2,1,1,0,451,520,86.7,12,41,8,1,48,7727,2783,183,199,92.0,215,234,91.9,36,59,61.0,Match Report
866,Leverkusen,2025-02-02,451,,Hoffenheim,de Bundesliga,W 3-1,3,1,+2,48,3,0,0,0,451,535,84.3,7,42,5,0,33,8304,2931,205,225,91.1,188,205,91.7,52,84,61.9,Match Report
867,Valencia,2024-08-23,451,@,Celta Vigo,es La Liga,L 1-3,1,3,-2,51,1,0,0,0,451,552,81.7,11,35,7,3,45,7364,2419,244,270,90.4,170,191,89.0,31,63,49.2,Match Report
868,Arsenal,2025-02-15,450,@,Leicester City,eng Premier League,W 2-0,2,0,+2,60,2,0,0,0,450,542,83.0,8,37,11,1,71,6948,2665,248,283,87.6,168,189,88.9,21,40,52.5,Match Report
869,Como,2024-12-30,450,,Lecce,it Serie A,W 2-0,2,0,+2,56,2,0,1,1,450,537,83.8,10,26,7,2,45,7536,2456,207,223,92.8,187,215,87.0,33,54,61.1,Match Report
870,Tottenham,2024-09-01,450,@,Newcastle Utd,eng Premier League,L 1-2,1,2,-1,65,0,0,0,0,450,557,80.8,13,38,14,2,48,6707,1912,250,276,90.6,167,194,86.1,17,44,38.6,Match Report
871,St. Pauli,2024-10-05,450,,Mainz 05,de Bundesliga,L 0-3,0,3,-3,56,0,0,0,0,450,577,78.0,15,49,10,4,49,8052,2476,181,210,86.2,226,263,85.9,36,79,45.6,Match Report
872,Atlético Madrid,2024-11-10,450,@,Mallorca,es La Liga,W 1-0,1,0,+1,47,1,0,0,0,450,515,87.4,7,31,3,0,31,7232,2538,237,252,94.0,155,176,88.1,42,61,68.9,Match Report
873,Atlético Madrid,2024-10-27,450,@,Betis,es La Liga,L 0-1,0,1,-1,58,0,0,0,0,450,591,76.1,7,27,9,2,48,7856,3182,199,243,81.9,194,234,82.9,43,73,58.9,Match Report
874,Valencia,2024-08-31,450,,Villarreal,es La Liga,D 1-1,1,1,0,58,1,0,0,0,450,549,82.0,12,51,8,4,51,8712,2554,174,200,87.0,226,253,89.3,50,80,62.5,Match Report
875,Monaco,2024-08-24,450,@,Lyon,fr Ligue 1,W 2-0,2,0,+2,60,2,0,0,0,450,542,83.0,15,30,10,3,50,7196,2613,227,251,90.4,165,199,82.9,38,60,63.3,Match Report
876,Osasuna,2024-12-14,449,@,Espanyol,es La Liga,D 0-0,0,0,0,58,0,0,0,0,449,549,81.8,5,23,5,0,31,8460,3072,177,206,85.9,217,240,90.4,44,77,57.1,Match Report
877,Tottenham,2024-12-01,449,,Fulham,eng Premier League,D 1-1,1,1,0,51,1,0,0,0,449,532,84.4,5,47,9,1,40,7438,2621,202,222,91.0,207,236,87.7,28,52,53.8,Match Report
878,Liverpool,2025-01-18,449,@,Brentford,eng Premier League,W 2-0,2,0,+2,60,2,0,0,0,449,532,84.4,33,43,23,4,77,7618,2867,209,224,93.3,191,221,86.4,39,59,66.1,Match Report
879,Ipswich Town,2024-10-19,449,,Everton,eng Premier League,L 0-2,0,2,-2,55,0,0,0,0,449,539,83.3,11,31,8,3,48,7678,2548,208,226,92.0,203,229,88.6,33,67,49.3,Match Report
880,Cagliari,2024-11-29,449,,Hellas Verona,it Serie A,W 1-0,1,0,+1,63,1,0,0,0,449,557,80.6,13,36,8,4,44,7309,3109,212,243,87.2,189,227,83.3,33,58,56.9,Match Report
881,Brentford,2024-09-28,448,,West Ham,eng Premier League,D 1-1,1,1,0,57,1,0,0,0,448,578,77.5,4,43,9,3,37,7843,2607,211,244,86.5,189,227,83.3,44,86,51.2,Match Report
882,Roma,2024-09-01,448,@,Juventus,it Serie A,D 0-0,0,0,0,51,0,0,0,0,448,524,85.5,5,29,8,2,36,7748,2094,186,202,92.1,230,252,91.3,25,50,50.0,Match Report
883,Milan,2024-11-02,448,@,Monza,it Serie A,W 1-0,1,0,+1,56,1,0,0,0,448,511,87.7,14,24,7,3,40,7894,2736,191,205,93.2,227,244,93.0,29,54,53.7,Match Report
884,Nice,2025-02-23,447,,Montpellier,fr Ligue 1,W 2-0,2,0,+2,56,2,0,0,0,447,539,82.9,13,30,13,1,44,7160,2645,233,255,91.4,181,209,86.6,27,56,48.2,Match Report
885,Bologna,2024-11-30,447,,Venezia,it Serie A,W 3-0,3,0,+3,60,1,2,2,0,447,530,84.3,12,38,8,1,41,7678,2464,213,231,92.2,186,209,89.0,40,66,60.6,Match Report
886,Como,2024-09-01,447,@,Udinese,it Serie A,L 0-1,0,1,-1,56,0,0,1,1,447,540,82.8,13,30,8,4,49,7445,2550,217,238,91.2,187,215,87.0,34,55,61.8,Match Report
887,Stuttgart,2024-09-22,447,,Dortmund,de Bundesliga,W 5-1,5,1,+4,52,5,0,0,0,447,527,84.8,14,35,7,3,29,7469,2633,225,241,93.4,176,200,88.0,36,64,56.3,Match Report
888,Freiburg,2024-12-08,447,@,Hoffenheim,de Bundesliga,D 1-1,1,1,0,50,1,0,0,0,447,566,79.0,8,26,6,1,43,8134,3062,184,211,87.2,223,254,87.8,36,68,52.9,Match Report
889,RB Leipzig,2025-01-12,447,,Werder Bremen,de Bundesliga,W 4-2,4,2,+2,49,4,0,0,0,447,552,81.0,15,27,6,1,28,7796,2661,209,237,88.2,190,221,86.0,43,66,65.2,Match Report
890,Hoffenheim,2025-03-29,446,,Augsburg,de Bundesliga,D 1-1,1,1,0,56,0,1,1,0,446,576,77.4,8,30,13,7,37,6659,2218,254,282,90.1,148,190,77.9,25,64,39.1,Match Report
891,Nice,2024-08-18,446,@,Auxerre,fr Ligue 1,L 1-2,1,2,-1,55,1,0,0,0,446,530,84.2,8,32,12,3,56,7287,2716,216,230,93.9,206,232,88.8,23,50,46.0,Match Report
892,Manchester Utd,2024-11-10,446,,Leicester City,eng Premier League,W 3-0,3,0,+3,51,2,0,0,0,446,534,83.5,12,30,7,2,48,7136,2325,220,245,89.8,195,219,89.0,22,49,44.9,Match Report
893,Marseille,2024-09-14,446,,Nice,fr Ligue 1,W 2-0,2,0,+2,56,2,0,0,0,446,530,84.2,8,32,3,0,25,6978,2484,241,268,89.9,175,191,91.6,20,50,40.0,Match Report
894,Angers,2024-09-29,446,,Reims,fr Ligue 1,L 1-3,1,3,-2,53,1,0,0,0,446,545,81.8,10,35,4,0,46,7986,3025,179,206,86.9,231,269,85.9,34,57,59.6,Match Report
895,Girona,2025-03-01,446,,Celta Vigo,es La Liga,D 2-2,2,2,0,51,2,0,0,0,446,525,85.0,6,23,7,2,34,7740,2495,196,209,93.8,211,224,94.2,31,66,47.0,Match Report
896,Everton,2025-03-15,446,,West Ham,eng Premier League,D 1-1,1,1,0,54,1,0,0,0,446,550,81.1,11,38,13,6,45,7746,2670,216,246,87.8,166,192,86.5,51,83,61.4,Match Report
897,Inter,2024-11-10,446,,Napoli,it Serie A,D 1-1,1,1,0,53,1,0,1,1,446,544,82.0,7,39,6,3,38,8491,2281,176,201,87.6,215,254,84.6,53,76,69.7,Match Report
898,Milan,2025-01-26,446,,Parma,it Serie A,W 3-2,3,2,+1,61,2,1,1,0,446,532,83.8,9,52,15,2,74,8275,2836,172,197,87.3,219,244,89.8,48,65,73.8,Match Report
899,Tottenham,2024-10-27,445,@,Crystal Palace,eng Premier League,L 0-1,0,1,-1,66,0,0,0,0,445,571,77.9,6,32,16,4,55,7625,3071,189,227,83.3,204,240,85.0,33,60,55.0,Match Report
900,Wolfsburg,2024-11-23,445,,Union Berlin,de Bundesliga,W 1-0,1,0,+1,55,1,0,0,0,445,555,80.2,5,37,9,0,54,8328,2908,157,190,82.6,241,262,92.0,36,72,50.0,Match Report
901,Reims,2025-01-19,445,,Le Havre,fr Ligue 1,D 1-1,1,1,0,55,1,0,0,0,445,535,83.2,6,56,7,2,51,7853,2514,183,206,88.8,216,243,88.9,34,64,53.1,Match Report
902,Chelsea,2024-08-25,445,@,Wolves,eng Premier League,W 6-2,6,2,+4,60,6,0,0,0,445,525,84.8,12,26,7,0,32,7681,2530,206,227,90.7,189,207,91.3,37,63,58.7,Match Report
903,Monaco,2024-11-09,445,@,Strasbourg,fr Ligue 1,W 3-1,3,1,+2,57,2,1,1,0,445,537,82.9,13,35,13,1,42,7490,2795,210,228,92.1,195,222,87.8,33,64,51.6,Match Report
904,Bologna,2025-03-02,444,,Cagliari,it Serie A,W 2-1,2,1,+1,61,1,1,1,0,444,546,81.3,12,32,12,5,44,8180,2731,191,211,90.5,195,217,89.9,51,99,51.5,Match Report
905,Holstein Kiel,2025-02-16,444,@,Eint Frankfurt,de Bundesliga,L 1-3,1,3,-2,49,1,0,0,0,444,529,83.9,7,33,6,2,29,8183,2715,185,200,92.5,211,233,90.6,42,74,56.8,Match Report
906,Atalanta,2025-01-11,444,@,Udinese,it Serie A,D 0-0,0,0,0,54,0,0,0,0,444,547,81.2,2,27,3,1,47,7275,2362,221,252,87.7,178,209,85.2,31,57,54.4,Match Report
907,Mainz 05,2025-03-01,444,@,RB Leipzig,de Bundesliga,W 2-1,2,1,+1,51,2,0,0,0,444,582,76.3,11,37,10,3,45,7130,2872,240,267,89.9,156,192,81.3,37,79,46.8,Match Report
908,Juventus,2024-09-01,444,,Roma,it Serie A,D 0-0,0,0,0,49,0,0,0,0,444,511,86.9,5,31,7,3,33,7729,2229,186,194,95.9,220,248,88.7,30,49,61.2,Match Report
909,Real Sociedad,2025-01-19,444,@,Valencia,es La Liga,L 0-1,0,1,-1,64,0,0,0,0,444,576,77.1,6,45,9,1,56,8131,3071,188,217,86.6,209,254,82.3,45,77,58.4,Match Report
910,Monaco,2024-09-22,444,,Le Havre,fr Ligue 1,W 3-1,3,1,+2,61,3,0,0,0,444,538,82.5,11,42,5,0,44,7464,2813,209,237,88.2,197,218,90.4,30,58,51.7,Match Report
911,Torino,2024-09-29,443,,Lazio,it Serie A,L 2-3,2,3,-1,57,2,0,0,0,443,540,82.0,10,22,7,3,29,8155,2552,184,211,87.2,199,232,85.8,49,77,63.6,Match Report
912,Barcelona,2024-09-15,443,@,Girona,es La Liga,W 4-1,4,1,+3,55,4,0,0,0,443,522,84.9,14,35,10,0,47,8299,2994,175,195,89.7,211,227,93.0,51,72,70.8,Match Report
913,Villarreal,2025-04-06,443,,Athletic Club,es La Liga,D 0-0,0,0,0,56,0,0,0,0,443,543,81.6,10,39,11,4,38,8243,2773,177,205,86.3,217,244,88.9,45,77,58.4,Match Report
914,Tottenham,2024-10-19,443,,West Ham,eng Premier League,W 4-1,4,1,+3,57,3,0,0,0,443,527,84.1,19,48,14,2,62,7522,2425,201,228,88.2,198,222,89.2,33,54,61.1,Match Report
915,Wolves,2024-12-14,443,,Ipswich Town,eng Premier League,L 1-2,1,2,-1,54,1,0,0,0,443,549,80.7,13,37,15,3,39,7589,2578,215,239,90.0,179,207,86.5,41,83,49.4,Match Report
916,Rennes,2025-03-15,443,@,Lens,fr Ligue 1,L 0-1,0,1,-1,54,0,0,0,0,443,558,79.4,6,43,8,1,57,8629,2801,150,184,81.5,232,272,85.3,54,77,70.1,Match Report
917,Rennes,2024-10-05,443,,Monaco,fr Ligue 1,L 1-2,1,2,-1,58,1,0,0,0,443,566,78.3,11,41,9,1,55,7410,2611,212,244,86.9,187,231,81.0,33,63,52.4,Match Report
918,Manchester City,2025-03-15,443,,Brighton,eng Premier League,D 2-2,2,2,0,60,1,1,1,0,443,535,82.8,8,31,12,2,36,7591,2270,211,234,90.2,202,224,90.2,26,54,48.1,Match Report
919,Chelsea,2024-12-26,443,,Fulham,eng Premier League,L 1-2,1,2,-1,47,1,0,0,0,443,543,81.6,9,39,4,2,41,7618,2444,193,215,89.8,213,243,87.7,28,60,46.7,Match Report
920,Napoli,2025-03-30,443,,Milan,it Serie A,W 2-1,2,1,+1,51,2,0,0,0,443,517,85.7,7,21,5,1,31,7465,2544,195,212,92.0,200,217,92.2,32,59,54.2,Match Report
921,Napoli,2025-03-01,443,,Inter,it Serie A,D 1-1,1,1,0,62,1,0,0,0,443,541,81.9,10,35,11,0,48,7646,2386,209,234,89.3,186,204,91.2,40,73,54.8,Match Report
922,Brest,2024-09-27,443,@,Auxerre,fr Ligue 1,L 0-3,0,3,-3,61,0,0,0,0,443,550,80.5,7,22,3,1,27,8313,3004,181,208,87.0,197,227,86.8,55,90,61.1,Match Report
923,Augsburg,2024-12-21,442,@,Holstein Kiel,de Bundesliga,L 1-5,1,5,-4,63,1,0,0,0,442,544,81.3,13,36,9,2,46,8062,2698,165,178,92.7,233,275,84.7,39,68,57.4,Match Report
924,Torino,2024-10-20,442,@,Cagliari,it Serie A,L 2-3,2,3,-1,59,2,0,0,0,442,525,84.2,12,25,5,4,33,7560,2454,201,219,91.8,195,222,87.8,35,63,55.6,Match Report
925,Bournemouth,2024-11-23,442,,Brighton,eng Premier League,L 1-2,1,2,-1,55,1,0,0,0,442,542,81.5,16,51,14,4,56,8064,2736,179,196,91.3,216,242,89.3,42,84,50.0,Match Report
926,Real Madrid,2025-02-15,442,@,Osasuna,es La Liga,D 1-1,1,1,0,55,1,0,0,0,442,510,86.7,13,31,10,1,40,7352,2562,233,246,94.7,155,171,90.6,42,69,60.9,Match Report
927,Genoa,2024-12-01,442,@,Udinese,it Serie A,W 2-0,2,0,+2,54,1,0,0,0,442,515,85.8,10,40,10,4,44,8706,2543,146,160,91.3,236,254,92.9,54,82,65.9,Match Report
928,Union Berlin,2025-01-26,442,@,St. Pauli,de Bundesliga,L 0-3,0,3,-3,56,0,0,0,0,442,545,81.1,11,31,8,2,31,7694,2876,191,220,86.8,184,207,88.9,42,77,54.5,Match Report
929,Girona,2024-11-02,442,,Leganés,es La Liga,W 4-3,4,3,+1,54,2,1,1,0,442,528,83.7,11,36,12,5,47,7885,2557,194,209,92.8,198,222,89.2,41,76,53.9,Match Report
930,Rayo Vallecano,2024-09-22,442,,Atlético Madrid,es La Liga,D 1-1,1,1,0,54,1,0,0,0,442,558,79.2,9,43,4,2,43,8329,2707,172,199,86.4,222,253,87.7,44,94,46.8,Match Report
931,Manchester City,2025-02-02,442,@,Arsenal,eng Premier League,L 1-5,1,5,-4,54,1,0,0,0,442,505,87.5,5,35,8,1,39,7094,1817,231,243,95.1,164,184,89.1,35,55,63.6,Match Report
932,Napoli,2025-03-09,442,,Fiorentina,it Serie A,W 2-1,2,1,+1,49,2,0,0,0,442,526,84.0,16,38,18,2,54,7886,2638,191,211,90.5,205,232,88.4,39,64,60.9,Match Report
933,Brest,2024-08-17,442,,Marseille,fr Ligue 1,L 1-5,1,5,-4,50,1,0,1,1,442,534,82.8,6,40,3,1,33,8470,2693,178,204,87.3,213,248,85.9,51,72,70.8,Match Report
934,Lazio,2024-08-24,441,@,Udinese,it Serie A,L 1-2,1,2,-1,66,1,0,0,0,441,547,80.6,11,46,10,5,44,8154,2510,168,185,90.8,212,245,86.5,49,80,61.3,Match Report
935,Aston Villa,2025-02-22,441,,Chelsea,eng Premier League,W 2-1,2,1,+1,52,2,0,0,0,441,518,85.1,9,39,9,3,46,7299,2311,217,239,90.8,200,223,89.7,21,43,48.8,Match Report
936,Freiburg,2024-09-21,441,@,Heidenheim,de Bundesliga,W 3-0,3,0,+3,58,3,0,0,0,441,562,78.5,13,34,14,2,54,9014,3637,149,175,85.1,216,255,84.7,69,114,60.5,Match Report
937,Nott'ham Forest,2024-12-14,441,,Aston Villa,eng Premier League,W 2-1,2,1,+1,50,2,0,0,0,441,501,88.0,13,43,6,1,38,6455,2292,265,280,94.6,125,146,85.6,28,41,68.3,Match Report
938,Parma,2024-11-23,441,,Atalanta,it Serie A,L 1-3,1,3,-2,45,1,0,0,0,441,535,82.4,6,29,4,0,26,7814,2797,189,218,86.7,199,225,88.4,40,62,64.5,Match Report
939,Villarreal,2024-11-24,440,@,Osasuna,es La Liga,D 2-2,2,2,0,59,1,1,1,0,440,552,79.7,12,44,17,4,58,8096,3315,193,223,86.5,194,233,83.3,49,71,69.0,Match Report
940,Toulouse,2025-02-02,440,,Nice,fr Ligue 1,D 1-1,1,1,0,54,1,0,0,0,440,538,81.8,12,32,10,4,41,7593,2451,169,190,88.9,216,239,90.4,34,74,45.9,Match Report
941,RB Leipzig,2024-08-24,440,,Bochum,de Bundesliga,W 1-0,1,0,+1,62,1,0,0,0,440,554,79.4,12,32,13,2,45,8007,3111,172,212,81.1,211,241,87.6,46,70,65.7,Match Report
942,Everton,2024-12-29,440,,Nott'ham Forest,eng Premier League,L 0-2,0,2,-2,64,0,0,0,0,440,564,78.0,11,62,15,6,58,8107,3131,203,230,88.3,183,207,88.4,51,106,48.1,Match Report
943,Everton,2024-11-23,440,,Brentford,eng Premier League,D 0-0,0,0,0,59,0,0,0,0,440,533,82.6,22,55,16,8,58,8161,2769,198,212,93.4,184,207,88.9,54,93,58.1,Match Report
944,Atlético Madrid,2024-12-15,440,,Getafe,es La Liga,W 1-0,1,0,+1,57,1,0,0,0,440,550,80.0,8,30,10,5,42,7391,2507,205,229,89.5,177,215,82.3,41,74,55.4,Match Report
945,Juventus,2024-11-09,440,,Torino,it Serie A,W 2-0,2,0,+2,54,2,0,0,0,440,512,85.9,9,22,4,0,28,7958,2361,197,214,92.1,198,220,90.0,40,66,60.6,Match Report
946,Celta Vigo,2025-04-05,440,@,Mallorca,es La Liga,W 2-1,2,1,+1,55,2,0,0,0,440,521,84.5,6,35,6,1,49,8435,3050,152,175,86.9,229,256,89.5,52,74,70.3,Match Report
947,Monaco,2024-08-17,440,,Saint-Étienne,fr Ligue 1,W 1-0,1,0,+1,61,1,0,0,0,440,526,83.7,15,45,11,2,47,7126,2802,218,249,87.6,177,194,91.2,27,51,52.9,Match Report
948,Augsburg,2025-03-02,439,,Freiburg,de Bundesliga,D 0-0,0,0,0,51,0,0,0,0,439,526,83.5,10,31,19,7,34,7952,2905,183,206,88.8,214,236,90.7,35,61,57.4,Match Report
949,Villarreal,2025-03-15,439,,Real Madrid,es La Liga,L 1-2,1,2,-1,46,1,0,0,0,439,535,82.1,17,35,22,6,57,7300,2643,212,238,89.1,171,204,83.8,38,58,65.5,Match Report
950,Southampton,2025-01-19,439,@,Nott'ham Forest,eng Premier League,L 2-3,2,3,-1,55,2,0,0,0,439,515,85.2,9,32,6,5,39,7788,2104,175,191,91.6,227,242,93.8,31,64,48.4,Match Report
