Rk,Team,Date,Cmp,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Match Report
116,Tottenham,2024-08-19,631,@,Leicester City,eng Premier League,D 1-1,1,1,0,70,1,0,0,0,631,724,87.2,12,59,19,5,69,10258,3287,305,332,91.9,274,301,91.0,36,54,66.7,Match Report
117,Girona,2024-12-01,630,@,Villarreal,es La Liga,D 2-2,2,2,0,64,2,0,0,0,630,705,89.4,9,52,7,2,58,10855,2997,282,297,94.9,301,324,92.9,39,68,57.4,Match Report
118,Saint-Étienne,2025-03-01,629,,Nice,fr Ligue 1,L 1-3,1,3,-2,62,1,0,0,0,629,729,86.3,11,60,11,2,49,9116,2832,367,388,94.6,227,253,89.7,21,55,38.2,Match Report
119,Aston Villa,2024-09-14,628,,Everton,eng Premier League,W 3-2,3,2,+1,72,3,0,0,0,628,709,88.6,12,72,13,2,52,10146,2986,309,329,93.9,271,291,93.1,33,60,55.0,Match Report
120,Manchester City,2025-02-23,627,,Liverpool,eng Premier League,L 0-2,0,2,-2,66,0,0,0,0,627,704,89.1,13,62,10,2,72,9989,2715,320,334,95.8,285,314,90.8,18,38,47.4,Match Report
121,Lille,2025-03-15,627,@,Nantes,fr Ligue 1,L 0-1,0,1,-1,68,0,0,0,0,627,704,89.1,13,52,19,3,67,10340,3242,284,305,93.1,280,297,94.3,38,59,64.4,Match Report
122,Paris S-G,2025-02-23,627,@,Lyon,fr Ligue 1,W 3-2,3,2,+1,65,3,0,0,0,627,691,90.7,14,41,12,1,49,10550,2788,295,310,95.2,282,298,94.6,43,67,64.2,Match Report
123,Juventus,2025-03-03,626,,Hellas Verona,it Serie A,W 2-0,2,0,+2,75,2,0,0,0,626,729,85.9,19,81,20,2,92,10928,3775,282,309,91.3,288,318,90.6,47,71,66.2,Match Report
124,Arsenal,2024-12-27,624,,Ipswich Town,eng Premier League,W 1-0,1,0,+1,68,1,0,0,0,624,707,88.3,12,45,9,1,39,9566,2226,334,361,92.5,250,268,93.3,23,47,48.9,Match Report
125,Werder Bremen,2025-01-19,624,,Augsburg,de Bundesliga,L 0-2,0,2,-2,71,0,0,0,0,624,744,83.9,18,42,14,7,59,10991,3417,260,282,92.2,307,350,87.7,47,74,63.5,Match Report
126,Leverkusen,2024-12-21,624,,Freiburg,de Bundesliga,W 5-1,5,1,+4,67,5,0,1,1,624,709,88.0,18,53,11,3,56,9672,3321,336,361,93.1,217,246,88.2,46,68,67.6,Match Report
127,Juventus,2024-09-14,624,@,Empoli,it Serie A,D 0-0,0,0,0,65,0,0,0,0,624,700,89.1,14,38,8,2,42,11407,3315,237,253,93.7,329,351,93.7,48,77,62.3,Match Report
128,Liverpool,2025-03-08,623,,Southampton,eng Premier League,W 3-1,3,1,+2,71,1,2,2,0,623,700,89.0,22,55,14,2,80,10615,3411,303,329,92.1,256,276,92.8,50,73,68.5,Match Report
129,Aston Villa,2025-02-15,622,,Ipswich Town,eng Premier League,D 1-1,1,1,0,75,1,0,0,0,622,715,87.0,17,57,22,4,65,9771,2673,310,334,92.8,260,287,90.6,25,49,51.0,Match Report
130,Paris S-G,2025-03-01,622,,Lille,fr Ligue 1,W 4-1,4,1,+3,58,4,0,0,0,622,691,90.0,21,32,11,1,53,10537,2909,266,280,95.0,293,314,93.3,43,56,76.8,Match Report
131,Wolfsburg,2025-01-24,621,,Holstein Kiel,de Bundesliga,D 2-2,2,2,0,69,2,0,0,0,621,716,86.7,16,62,16,9,55,10945,3087,259,285,90.9,301,316,95.3,49,84,58.3,Match Report
132,Liverpool,2024-12-26,621,,Leicester City,eng Premier League,W 3-1,3,1,+2,68,3,0,0,0,621,721,86.1,16,70,28,7,94,10445,3041,295,321,91.9,278,318,87.4,36,58,62.1,Match Report
133,Lyon,2025-03-09,621,@,Nice,fr Ligue 1,W 2-0,2,0,+2,63,2,0,0,0,621,714,87.0,6,30,5,1,27,9624,3029,328,348,94.3,242,261,92.7,33,70,47.1,Match Report
134,Nice,2025-04-04,620,,Nantes,fr Ligue 1,L 1-2,1,2,-1,76,1,0,0,0,620,748,82.9,11,71,21,6,84,10037,3432,313,361,86.7,258,280,92.1,37,74,50.0,Match Report
135,Arsenal,2024-09-28,620,,Leicester City,eng Premier League,W 4-2,4,2,+2,74,3,0,0,0,620,723,85.8,25,45,23,3,91,10367,2747,311,342,90.9,268,297,90.2,35,62,56.5,Match Report
136,Real Madrid,2024-08-18,620,@,Mallorca,es La Liga,D 1-1,1,1,0,66,1,0,0,0,620,701,88.4,10,45,9,0,66,9785,2873,310,329,94.2,248,270,91.9,38,60,63.3,Match Report
137,Marseille,2025-01-11,619,@,Rennes,fr Ligue 1,W 2-1,2,1,+1,64,2,0,0,0,619,691,89.6,10,28,10,1,43,10169,2717,294,316,93.0,282,302,93.4,33,56,58.9,Match Report
138,Southampton,2024-08-24,618,,Nott'ham Forest,eng Premier League,L 0-1,0,1,-1,64,0,0,0,0,618,691,89.4,4,31,9,2,49,9663,2830,306,325,94.2,279,307,90.9,19,37,51.4,Match Report
139,Marseille,2024-11-08,618,,Auxerre,fr Ligue 1,L 1-3,1,3,-2,74,0,1,1,0,618,716,86.3,16,80,12,4,68,10204,2989,281,309,90.9,283,311,91.0,37,61,60.7,Match Report
140,Girona,2024-09-25,618,,Rayo Vallecano,es La Liga,D 0-0,0,0,0,71,0,0,0,0,618,711,86.9,7,62,7,1,70,10115,3064,296,317,93.4,254,283,89.8,53,77,68.8,Match Report
141,Real Madrid,2024-08-25,617,,Valladolid,es La Liga,W 3-0,3,0,+3,63,3,0,0,0,617,689,89.6,15,81,13,2,76,10660,3185,274,294,93.2,284,305,93.1,45,62,72.6,Match Report
142,Hoffenheim,2024-12-21,616,,Gladbach,de Bundesliga,L 1-2,1,2,-1,65,0,1,1,0,616,725,85.0,14,49,28,11,65,10197,3568,295,316,93.4,265,299,88.6,46,80,57.5,Match Report
143,Barcelona,2024-10-06,616,@,Alavés,es La Liga,W 3-0,3,0,+3,71,3,0,0,0,616,688,89.5,11,30,7,1,33,10419,3260,293,314,93.3,251,269,93.3,51,74,68.9,Match Report
144,Bayern Munich,2025-01-11,615,@,Gladbach,de Bundesliga,W 1-0,1,0,+1,67,0,1,1,0,615,715,86.0,16,47,18,5,55,10249,3041,278,300,92.7,284,318,89.3,37,60,61.7,Match Report
145,Barcelona,2024-09-28,615,@,Osasuna,es La Liga,L 2-4,2,4,-2,73,2,0,0,0,615,713,86.3,11,66,14,3,58,10165,3299,295,323,91.3,266,296,89.9,40,67,59.7,Match Report
146,Manchester City,2024-12-26,615,,Everton,eng Premier League,D 1-1,1,1,0,66,1,0,1,1,615,689,89.3,16,54,19,3,69,9779,2943,334,358,93.3,245,267,91.8,32,50,64.0,Match Report
147,Atalanta,2025-02-01,613,,Torino,it Serie A,D 1-1,1,1,0,65,1,0,1,1,613,711,86.2,18,49,18,6,57,10344,2898,270,295,91.5,287,310,92.6,45,69,65.2,Match Report
148,Manchester City,2024-11-09,613,@,Brighton,eng Premier League,L 1-2,1,2,-1,60,1,0,0,0,613,689,89.0,13,45,8,2,52,10469,3218,284,312,91.0,295,312,94.6,33,51,64.7,Match Report
149,Barcelona,2025-01-18,612,@,Getafe,es La Liga,D 1-1,1,1,0,77,1,0,0,0,612,734,83.4,11,64,20,3,89,10500,3180,252,289,87.2,308,342,90.1,37,58,63.8,Match Report
