Rk,Team,Date,Rec,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Rec,PrgR,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Match Report
788,Lazio,2024-09-16,459,,Hellas Verona,it Serie A,W 2-1,2,1,+1,55,2,0,0,0,459,40,420,2550,1421,29,16,7,13,4,Match Report
789,Leganés,2024-10-04,459,,Valencia,es La Liga,D 0-0,0,0,0,59,0,0,0,0,459,38,446,2026,1054,19,14,4,14,10,Match Report
790,Chelsea,2024-08-18,459,,Manchester City,eng Premier League,L 0-2,0,2,-2,48,0,0,0,0,459,26,370,1673,827,16,6,2,10,9,Match Report
791,Eint Frankfurt,2025-02-16,459,,Holstein Kiel,de Bundesliga,W 3-1,3,1,+2,51,3,0,1,1,459,38,445,1924,1028,15,9,4,16,7,Match Report
792,Torino,2024-08-30,458,@,Venezia,it Serie A,W 1-0,1,0,+1,58,1,0,0,0,458,30,414,1941,848,9,15,0,12,11,Match Report
793,Crystal Palace,2025-04-02,458,@,Southampton,eng Premier League,D 1-1,1,1,0,57,1,0,0,0,458,40,411,1963,928,15,9,2,19,9,Match Report
794,West Ham,2025-01-18,458,,Crystal Palace,eng Premier League,L 0-2,0,2,-2,53,0,0,0,0,458,24,303,1458,761,10,6,2,11,10,Match Report
795,Brest,2024-12-15,458,,Nantes,fr Ligue 1,W 4-1,4,1,+3,51,4,0,0,0,458,27,306,1912,918,17,6,7,18,5,Match Report
796,Barcelona,2025-02-09,457,@,Sevilla,es La Liga,W 4-1,4,1,+3,60,4,0,0,0,457,45,387,2130,1132,20,7,2,13,7,Match Report
797,Espanyol,2024-09-26,457,,Villarreal,es La Liga,L 1-2,1,2,-1,56,1,0,0,0,457,47,390,1921,1000,14,14,5,11,8,Match Report
798,Celta Vigo,2025-02-02,457,@,Valencia,es La Liga,L 1-2,1,2,-1,54,1,0,0,0,457,38,477,2167,1074,14,12,5,18,7,Match Report
799,Real Madrid,2024-09-14,456,@,Real Sociedad,es La Liga,W 2-0,2,0,+2,52,0,2,2,0,456,34,403,2219,1062,14,13,6,20,6,Match Report
800,Girona,2025-04-05,456,,Alavés,es La Liga,L 0-1,0,1,-1,64,0,0,0,0,456,43,344,2380,1466,25,18,4,15,13,Match Report
801,Atalanta,2025-04-06,456,,Lazio,it Serie A,L 0-1,0,1,-1,58,0,0,0,0,456,69,346,2095,1239,29,19,9,15,11,Match Report
802,Roma,2025-03-02,456,,Como,it Serie A,W 2-1,2,1,+1,48,2,0,0,0,456,31,415,2492,939,21,21,7,17,10,Match Report
803,Lyon,2025-01-04,456,,Montpellier,fr Ligue 1,W 1-0,1,0,+1,57,0,0,0,0,456,54,427,2541,1568,20,15,2,17,11,Match Report
804,Atlético Madrid,2025-03-09,456,@,Getafe,es La Liga,L 1-2,1,2,-1,61,0,1,1,0,456,36,387,1869,1017,13,6,1,19,6,Match Report
805,Atlético Madrid,2024-08-31,456,@,Athletic Club,es La Liga,W 1-0,1,0,+1,47,1,0,0,0,456,46,368,1854,996,17,10,5,12,4,Match Report
806,Crystal Palace,2024-09-28,455,@,Everton,eng Premier League,L 1-2,1,2,-1,59,1,0,0,0,455,51,383,1713,927,17,12,4,14,12,Match Report
807,Atalanta,2025-03-01,455,,Venezia,it Serie A,D 0-0,0,0,0,60,0,0,0,0,455,67,477,2782,1521,28,19,7,23,14,Match Report
808,Atalanta,2024-12-14,455,@,Cagliari,it Serie A,W 1-0,1,0,+1,56,1,0,0,0,455,34,483,2754,1270,24,23,6,28,10,Match Report
809,Sevilla,2025-02-16,455,@,Valladolid,es La Liga,W 4-0,4,0,+4,48,4,0,0,0,455,34,381,2045,1084,21,15,2,17,2,Match Report
810,Inter,2024-08-17,455,@,Genoa,it Serie A,D 2-2,2,2,0,68,2,0,0,0,455,50,438,2234,1135,16,18,6,13,4,Match Report
811,Eint Frankfurt,2024-12-01,455,@,Heidenheim,de Bundesliga,W 4-0,4,0,+4,54,4,0,0,0,455,57,441,2164,1120,27,16,8,22,10,Match Report
812,Brest,2024-11-10,455,@,Montpellier,fr Ligue 1,L 1-3,1,3,-2,67,1,0,0,0,455,44,453,2549,1322,15,11,4,13,12,Match Report
813,Fulham,2025-02-15,455,,Nott'ham Forest,eng Premier League,W 2-1,2,1,+1,55,2,0,0,0,455,48,447,2208,1377,26,20,5,15,4,Match Report
814,Mallorca,2024-12-06,454,@,Celta Vigo,es La Liga,L 0-2,0,2,-2,50,0,0,0,0,454,32,426,2258,1021,20,13,3,11,16,Match Report
815,Fiorentina,2025-03-09,454,@,Napoli,it Serie A,L 1-2,1,2,-1,51,1,0,0,0,454,24,479,2328,978,14,11,0,10,11,Match Report
816,Mainz 05,2025-03-30,454,@,Dortmund,de Bundesliga,L 1-3,1,3,-2,56,1,0,0,0,454,45,381,1710,832,15,18,1,10,9,Match Report
817,Freiburg,2025-02-08,454,,Heidenheim,de Bundesliga,W 1-0,1,0,+1,53,1,0,0,0,454,38,285,2000,1085,20,11,3,13,9,Match Report
818,Venezia,2024-11-25,454,,Lecce,it Serie A,L 0-1,0,1,-1,61,0,0,0,0,454,44,348,1805,817,13,9,6,15,12,Match Report
819,Brighton,2025-03-08,454,,Fulham,eng Premier League,W 2-1,2,1,+1,53,1,1,1,0,454,39,441,2490,1381,26,18,5,24,10,Match Report
820,Bologna,2024-10-29,453,@,Cagliari,it Serie A,W 2-0,2,0,+2,58,2,0,0,0,453,44,328,1952,868,21,7,5,16,9,Match Report
821,Como,2024-11-24,453,,Fiorentina,it Serie A,L 0-2,0,2,-2,57,0,0,0,0,453,38,456,2417,1339,29,9,5,9,4,Match Report
822,St. Pauli,2025-02-15,453,,Freiburg,de Bundesliga,L 0-1,0,1,-1,54,0,0,0,0,453,23,437,2087,940,14,10,4,9,10,Match Report
823,Stuttgart,2024-08-31,453,,Mainz 05,de Bundesliga,D 3-3,3,3,0,63,3,0,0,0,453,50,351,1315,598,13,9,5,10,13,Match Report
824,Le Havre,2024-12-01,453,,Angers,fr Ligue 1,L 0-1,0,1,-1,55,0,0,0,0,453,47,361,2150,1130,22,17,2,14,15,Match Report
825,Atalanta,2024-12-06,453,,Milan,it Serie A,W 2-1,2,1,+1,52,2,0,0,0,453,58,372,2001,947,23,15,9,12,5,Match Report
826,Sevilla,2024-09-29,453,@,Athletic Club,es La Liga,D 1-1,1,1,0,61,0,0,0,0,453,24,402,2121,1083,25,20,7,9,12,Match Report
827,Juventus,2024-12-29,453,,Fiorentina,it Serie A,D 2-2,2,2,0,62,2,0,0,0,453,37,435,2558,1332,32,15,9,11,5,Match Report
828,Betis,2025-03-30,453,,Sevilla,es La Liga,W 2-1,2,1,+1,55,2,0,0,0,453,42,422,2126,1061,19,23,5,20,6,Match Report
829,Monza,2024-11-10,452,,Lazio,it Serie A,L 0-1,0,1,-1,51,0,0,0,0,452,35,455,2481,1297,19,13,2,11,12,Match Report
830,Gladbach,2025-01-18,452,@,Leverkusen,de Bundesliga,L 1-3,1,3,-2,45,1,0,0,0,452,25,442,2081,924,16,13,1,18,6,Match Report
831,Toulouse,2024-09-15,452,,Le Havre,fr Ligue 1,W 2-0,2,0,+2,54,2,0,0,0,452,41,438,1998,914,12,10,3,19,15,Match Report
832,Leicester City,2025-03-16,452,,Manchester Utd,eng Premier League,L 0-3,0,3,-3,53,0,0,0,0,452,38,319,1785,840,12,16,2,23,12,Match Report
833,Stuttgart,2025-02-15,451,,Wolfsburg,de Bundesliga,L 1-2,1,2,-1,57,1,0,0,0,451,50,335,1799,894,24,12,8,17,6,Match Report
834,West Ham,2025-02-15,451,,Brentford,eng Premier League,L 0-1,0,1,-1,58,0,0,0,0,451,41,411,1978,1049,22,16,5,16,11,Match Report
835,West Ham,2024-10-05,451,,Ipswich Town,eng Premier League,W 4-1,4,1,+3,52,4,0,0,0,451,36,364,1704,866,19,6,10,17,7,Match Report
836,Liverpool,2024-12-22,451,@,Tottenham,eng Premier League,W 6-3,6,3,+3,48,6,0,0,0,451,54,361,1827,959,19,16,9,12,13,Match Report
837,Napoli,2024-12-01,451,@,Torino,it Serie A,W 1-0,1,0,+1,52,1,0,0,0,451,37,303,1549,854,18,7,5,13,6,Match Report
838,Las Palmas,2024-12-22,450,,Espanyol,es La Liga,W 1-0,1,0,+1,57,1,0,0,0,450,39,355,1965,1118,17,7,4,14,7,Match Report
839,Southampton,2024-10-26,450,@,Manchester City,eng Premier League,L 0-1,0,1,-1,43,0,0,0,0,450,21,406,1925,943,15,10,5,8,3,Match Report
840,Tottenham,2025-04-06,450,,Southampton,eng Premier League,W 3-1,3,1,+2,51,2,1,1,0,450,48,446,2111,896,13,4,5,10,15,Match Report
841,Bournemouth,2025-04-02,450,,Ipswich Town,eng Premier League,L 1-2,1,2,-1,63,1,0,0,0,450,54,392,2301,1335,30,13,5,17,5,Match Report
842,Werder Bremen,2025-03-01,450,,Wolfsburg,de Bundesliga,L 1-2,1,2,-1,56,1,0,0,0,450,56,388,1887,913,20,10,7,15,8,Match Report
843,Reims,2024-10-20,450,@,Auxerre,fr Ligue 1,L 1-2,1,2,-1,65,1,0,0,0,450,48,416,2338,1204,20,11,5,18,14,Match Report
844,Celta Vigo,2024-09-15,450,,Valladolid,es La Liga,W 3-1,3,1,+2,54,3,0,0,0,450,31,441,2108,988,15,13,7,13,10,Match Report
845,Celta Vigo,2024-08-23,450,,Valencia,es La Liga,W 3-1,3,1,+2,49,3,0,1,1,450,26,307,1499,645,11,5,4,13,12,Match Report
846,Las Palmas,2024-12-07,449,,Valladolid,es La Liga,W 2-1,2,1,+1,58,2,0,0,0,449,32,299,1486,704,14,8,2,12,9,Match Report
847,Sevilla,2025-03-16,449,,Athletic Club,es La Liga,L 0-1,0,1,-1,61,0,0,0,0,449,30,296,1459,734,14,6,7,19,9,Match Report
848,Manchester City,2024-12-15,449,,Manchester Utd,eng Premier League,L 1-2,1,2,-1,52,1,0,0,0,449,30,322,1620,822,20,14,5,7,12,Match Report
849,Roma,2024-10-20,449,,Inter,it Serie A,L 0-1,0,1,-1,55,0,0,0,0,449,41,410,2307,1243,24,21,4,15,10,Match Report
850,Atlético Madrid,2024-11-10,449,@,Mallorca,es La Liga,W 1-0,1,0,+1,47,1,0,0,0,449,31,420,1816,970,19,9,1,11,10,Match Report
851,Valencia,2024-08-31,449,,Villarreal,es La Liga,D 1-1,1,1,0,58,1,0,0,0,449,51,313,1663,1059,24,16,6,8,6,Match Report
852,Celta Vigo,2024-12-06,449,,Mallorca,es La Liga,W 2-0,2,0,+2,50,2,0,0,0,449,33,405,2049,999,20,12,9,23,5,Match Report
853,Monza,2025-03-02,448,,Torino,it Serie A,L 0-2,0,2,-2,53,0,0,0,0,448,38,422,1755,748,13,8,1,17,8,Match Report
854,Tottenham,2024-12-01,448,,Fulham,eng Premier League,D 1-1,1,1,0,51,1,0,0,0,448,40,409,2194,994,14,19,5,13,9,Match Report
855,Valencia,2024-08-23,448,@,Celta Vigo,es La Liga,L 1-3,1,3,-2,51,1,0,0,0,448,45,424,1961,953,15,18,3,16,9,Match Report
856,Monaco,2024-08-24,448,@,Lyon,fr Ligue 1,W 2-0,2,0,+2,60,2,0,0,0,448,50,347,2274,1177,32,20,7,11,13,Match Report
857,Hoffenheim,2024-12-08,447,,Freiburg,de Bundesliga,D 1-1,1,1,0,50,1,0,0,0,447,31,323,1572,691,12,12,3,14,10,Match Report
858,Hoffenheim,2024-11-23,447,,RB Leipzig,de Bundesliga,W 4-3,4,3,+1,59,4,0,0,0,447,39,440,1894,782,14,11,4,14,6,Match Report
859,Nice,2024-11-24,447,,Strasbourg,fr Ligue 1,W 2-1,2,1,+1,54,1,0,0,0,447,47,368,2117,1071,27,17,10,14,19,Match Report
860,Como,2024-12-30,447,,Lecce,it Serie A,W 2-0,2,0,+2,56,2,0,1,1,447,45,382,2172,1180,23,13,9,22,11,Match Report
861,Leicester City,2024-10-19,447,@,Southampton,eng Premier League,W 3-2,3,2,+1,58,2,1,1,0,447,55,338,1834,957,22,11,7,6,8,Match Report
862,Sevilla,2024-09-20,447,@,Alavés,es La Liga,L 1-2,1,2,-1,65,1,0,0,0,447,33,400,2059,1026,17,12,5,19,13,Match Report
863,Newcastle Utd,2024-11-10,447,@,Nott'ham Forest,eng Premier League,W 3-1,3,1,+2,56,3,0,0,0,447,56,421,2303,1318,25,17,6,19,17,Match Report
864,Ipswich Town,2024-12-03,447,,Crystal Palace,eng Premier League,L 0-1,0,1,-1,54,0,0,0,0,447,26,314,1341,626,13,10,2,16,9,Match Report
865,Cagliari,2024-11-29,447,,Hellas Verona,it Serie A,W 1-0,1,0,+1,63,1,0,0,0,447,44,391,1883,893,19,9,9,23,18,Match Report
866,Napoli,2024-10-26,447,,Lecce,it Serie A,W 1-0,1,0,+1,64,1,0,0,0,447,59,416,2182,1271,25,11,6,9,6,Match Report
867,Arsenal,2025-04-01,446,,Fulham,eng Premier League,W 2-1,2,1,+1,51,2,0,0,0,446,50,348,2276,1308,33,16,12,14,8,Match Report
868,Arsenal,2025-02-26,446,@,Nott'ham Forest,eng Premier League,D 0-0,0,0,0,64,0,0,0,0,446,59,372,2128,1214,24,16,5,18,7,Match Report
869,Arsenal,2025-02-15,446,@,Leicester City,eng Premier League,W 2-0,2,0,+2,60,2,0,0,0,446,70,403,2048,1086,23,15,11,16,15,Match Report
870,Manchester Utd,2024-09-01,446,,Liverpool,eng Premier League,L 0-3,0,3,-3,53,0,0,0,0,446,31,407,2038,916,12,5,8,19,11,Match Report
871,Southampton,2024-12-07,446,@,Aston Villa,eng Premier League,L 0-1,0,1,-1,53,0,0,0,0,446,31,345,1915,1043,22,16,7,8,13,Match Report
872,RB Leipzig,2025-01-12,446,,Werder Bremen,de Bundesliga,W 4-2,4,2,+2,49,4,0,0,0,446,28,346,2091,1128,27,18,11,12,10,Match Report
873,Ipswich Town,2024-10-19,446,,Everton,eng Premier League,L 0-2,0,2,-2,55,0,0,0,0,446,48,359,2035,1072,12,16,5,12,7,Match Report
874,Leverkusen,2025-02-02,446,,Hoffenheim,de Bundesliga,W 3-1,3,1,+2,48,3,0,0,0,446,32,306,1527,717,13,15,4,13,4,Match Report
875,Atlético Madrid,2024-10-27,446,@,Betis,es La Liga,L 0-1,0,1,-1,58,0,0,0,0,446,48,391,1720,710,8,7,3,14,10,Match Report
876,Osasuna,2024-12-14,445,@,Espanyol,es La Liga,D 0-0,0,0,0,58,0,0,0,0,445,31,422,2518,1339,26,19,3,12,6,Match Report
877,Nice,2025-02-23,445,,Montpellier,fr Ligue 1,W 2-0,2,0,+2,56,2,0,0,0,445,44,361,1669,967,19,19,3,23,9,Match Report
878,Nice,2024-08-18,445,@,Auxerre,fr Ligue 1,L 1-2,1,2,-1,55,1,0,0,0,445,55,380,2055,1284,22,12,4,15,9,Match Report
879,Bologna,2024-11-30,445,,Venezia,it Serie A,W 3-0,3,0,+3,60,1,2,2,0,445,40,397,1965,924,20,17,6,21,7,Match Report
880,Tottenham,2024-09-01,445,@,Newcastle Utd,eng Premier League,L 1-2,1,2,-1,65,0,0,0,0,445,48,377,2179,1176,29,26,11,14,4,Match Report
881,Leverkusen,2025-02-22,445,@,Holstein Kiel,de Bundesliga,W 2-0,2,0,+2,62,2,0,0,0,445,60,440,1870,825,18,8,8,16,1,Match Report
882,Roma,2024-09-01,444,@,Juventus,it Serie A,D 0-0,0,0,0,51,0,0,0,0,444,36,381,2256,1171,18,22,0,16,3,Match Report
883,Como,2024-09-01,443,@,Udinese,it Serie A,L 0-1,0,1,-1,56,0,0,1,1,443,49,385,1927,928,25,20,7,13,18,Match Report
884,Everton,2025-03-15,443,,West Ham,eng Premier League,D 1-1,1,1,0,54,1,0,0,0,443,44,413,2073,1019,14,13,2,16,15,Match Report
885,Hoffenheim,2025-03-29,442,,Augsburg,de Bundesliga,D 1-1,1,1,0,56,0,1,1,0,442,37,398,2244,877,19,23,2,11,6,Match Report
886,Arsenal,2025-01-18,442,,Aston Villa,eng Premier League,D 2-2,2,2,0,66,2,0,0,0,442,64,386,1984,981,18,9,3,15,7,Match Report
887,Manchester Utd,2024-11-10,442,,Leicester City,eng Premier League,W 3-0,3,0,+3,51,2,0,0,0,442,47,430,2102,1138,18,17,7,16,15,Match Report
888,Bologna,2025-03-02,442,,Cagliari,it Serie A,W 2-1,2,1,+1,61,1,1,1,0,442,44,401,2212,953,22,16,5,23,12,Match Report
889,Bournemouth,2024-11-23,442,,Brighton,eng Premier League,L 1-2,1,2,-1,55,1,0,0,0,442,56,459,2548,1360,23,17,9,13,9,Match Report
890,Wolfsburg,2024-11-23,442,,Union Berlin,de Bundesliga,W 1-0,1,0,+1,55,1,0,0,0,442,54,434,1977,959,13,10,1,19,2,Match Report
891,St. Pauli,2024-10-05,442,,Mainz 05,de Bundesliga,L 0-3,0,3,-3,56,0,0,0,0,442,48,321,1777,927,18,15,4,12,14,Match Report
892,Angers,2024-09-29,442,,Reims,fr Ligue 1,L 1-3,1,3,-2,53,1,0,0,0,442,45,385,1991,1146,19,16,5,15,13,Match Report
893,Reims,2025-01-19,442,,Le Havre,fr Ligue 1,D 1-1,1,1,0,55,1,0,0,0,442,51,323,2111,1168,22,16,8,18,7,Match Report
894,Wolves,2024-12-14,442,,Ipswich Town,eng Premier League,L 1-2,1,2,-1,54,1,0,0,0,442,38,359,2363,1228,19,13,3,14,9,Match Report
895,Girona,2025-03-01,442,,Celta Vigo,es La Liga,D 2-2,2,2,0,51,2,0,0,0,442,34,462,2473,1084,11,18,2,9,11,Match Report
896,Napoli,2025-03-30,442,,Milan,it Serie A,W 2-1,2,1,+1,51,2,0,0,0,442,30,333,1707,935,14,7,3,9,8,Match Report
897,Monaco,2024-11-09,442,@,Strasbourg,fr Ligue 1,W 3-1,3,1,+2,57,2,1,1,0,442,42,293,1550,719,14,11,5,25,8,Match Report
898,Holstein Kiel,2025-02-16,441,@,Eint Frankfurt,de Bundesliga,L 1-3,1,3,-2,49,1,0,0,0,441,29,344,1637,780,18,10,0,17,4,Match Report
899,Tottenham,2024-10-27,441,@,Crystal Palace,eng Premier League,L 0-1,0,1,-1,66,0,0,0,0,441,55,428,2488,1245,20,17,2,7,16,Match Report
900,Atalanta,2025-01-11,441,@,Udinese,it Serie A,D 0-0,0,0,0,54,0,0,0,0,441,46,339,1652,833,12,13,3,20,15,Match Report
901,Mainz 05,2025-03-01,441,@,RB Leipzig,de Bundesliga,W 2-1,2,1,+1,51,2,0,0,0,441,43,401,1654,758,14,12,4,17,5,Match Report
902,Milan,2025-01-26,441,,Parma,it Serie A,W 3-2,3,2,+1,61,2,1,1,0,441,73,419,2408,1358,28,24,6,13,10,Match Report
903,Juventus,2024-09-01,441,,Roma,it Serie A,D 0-0,0,0,0,49,0,0,0,0,441,33,327,1959,1070,19,14,5,18,7,Match Report
904,Brest,2024-09-27,441,@,Auxerre,fr Ligue 1,L 0-3,0,3,-3,61,0,0,0,0,441,27,447,2401,1107,15,11,5,13,8,Match Report
905,Real Madrid,2025-02-15,440,@,Osasuna,es La Liga,D 1-1,1,1,0,55,1,0,0,0,440,40,388,2056,1032,24,17,12,15,3,Match Report
906,Union Berlin,2025-01-26,440,@,St. Pauli,de Bundesliga,L 0-3,0,3,-3,56,0,0,0,0,440,31,365,1729,805,12,9,4,21,8,Match Report
907,Brentford,2024-09-28,440,,West Ham,eng Premier League,D 1-1,1,1,0,57,1,0,0,0,440,36,402,2181,1062,18,10,3,17,8,Match Report
908,Chelsea,2024-12-26,440,,Fulham,eng Premier League,L 1-2,1,2,-1,47,1,0,0,0,440,41,348,2250,1335,26,18,10,9,4,Match Report
909,Chelsea,2024-08-25,440,@,Wolves,eng Premier League,W 6-2,6,2,+4,60,6,0,0,0,440,32,406,2221,1197,26,17,8,13,10,Match Report
910,Napoli,2025-03-01,440,,Inter,it Serie A,D 1-1,1,1,0,62,1,0,0,0,440,48,401,1839,901,27,14,8,12,5,Match Report
911,Brest,2024-08-17,440,,Marseille,fr Ligue 1,L 1-5,1,5,-4,50,1,0,1,1,440,33,385,1914,934,20,15,6,13,5,Match Report
912,Stuttgart,2024-09-22,439,,Dortmund,de Bundesliga,W 5-1,5,1,+4,52,5,0,0,0,439,29,274,1555,763,16,13,6,14,8,Match Report
913,Genoa,2024-12-01,439,@,Udinese,it Serie A,W 2-0,2,0,+2,54,1,0,0,0,439,43,321,1504,814,13,6,7,17,6,Match Report
914,Everton,2024-11-23,439,,Brentford,eng Premier League,D 0-0,0,0,0,59,0,0,0,0,439,58,329,2198,1354,31,29,7,12,13,Match Report
915,Napoli,2025-03-09,439,,Fiorentina,it Serie A,W 2-1,2,1,+1,49,2,0,0,0,439,54,355,1560,868,21,7,3,12,3,Match Report
916,Atlético Madrid,2024-12-15,439,,Getafe,es La Liga,W 1-0,1,0,+1,57,1,0,0,0,439,42,390,1910,1004,14,11,2,16,9,Match Report
917,Real Sociedad,2025-01-19,439,@,Valencia,es La Liga,L 0-1,0,1,-1,64,0,0,0,0,439,56,307,1855,995,20,10,2,15,8,Match Report
918,Nott'ham Forest,2024-12-14,439,,Aston Villa,eng Premier League,W 2-1,2,1,+1,50,2,0,0,0,439,38,389,2137,1073,21,14,7,19,6,Match Report
919,Torino,2024-10-20,438,@,Cagliari,it Serie A,L 2-3,2,3,-1,59,2,0,0,0,438,33,344,1981,922,16,11,5,11,9,Match Report
920,Torino,2024-09-29,438,,Lazio,it Serie A,L 2-3,2,3,-1,57,2,0,0,0,438,29,416,2167,960,19,8,1,13,9,Match Report
921,Monza,2025-02-16,438,,Lecce,it Serie A,D 0-0,0,0,0,56,0,0,0,0,438,42,375,1634,717,8,13,2,22,7,Match Report
922,Villarreal,2025-04-06,438,,Athletic Club,es La Liga,D 0-0,0,0,0,56,0,0,0,0,438,38,357,1933,1002,14,12,2,12,12,Match Report
923,Tottenham,2024-10-19,438,,West Ham,eng Premier League,W 4-1,4,1,+3,57,3,0,0,0,438,62,433,2398,1206,22,18,5,12,15,Match Report
924,Toulouse,2025-02-02,438,,Nice,fr Ligue 1,D 1-1,1,1,0,54,1,0,0,0,438,41,349,1647,768,20,12,5,14,14,Match Report
925,Liverpool,2025-01-18,438,@,Brentford,eng Premier League,W 2-0,2,0,+2,60,2,0,0,0,438,77,356,1869,1210,29,17,11,8,3,Match Report
926,Freiburg,2024-12-08,438,@,Hoffenheim,de Bundesliga,D 1-1,1,1,0,50,1,0,0,0,438,43,282,1615,750,11,11,4,17,9,Match Report
927,RB Leipzig,2024-08-24,438,,Bochum,de Bundesliga,W 1-0,1,0,+1,62,1,0,0,0,438,45,303,1801,843,20,7,4,15,11,Match Report
928,Rennes,2024-10-05,438,,Monaco,fr Ligue 1,L 1-2,1,2,-1,58,1,0,0,0,438,55,415,1734,715,17,9,7,23,9,Match Report
929,Manchester City,2025-03-15,438,,Brighton,eng Premier League,D 2-2,2,2,0,60,1,1,1,0,438,36,379,2174,1134,24,17,8,8,13,Match Report
930,Brighton,2024-11-29,438,,Southampton,eng Premier League,D 1-1,1,1,0,53,1,0,0,0,438,52,366,2027,1220,24,21,6,15,8,Match Report
931,Inter,2024-11-10,438,,Napoli,it Serie A,D 1-1,1,1,0,53,1,0,1,1,438,38,280,1309,654,9,9,1,12,7,Match Report
932,Milan,2024-11-02,438,@,Monza,it Serie A,W 1-0,1,0,+1,56,1,0,0,0,438,40,384,2401,1416,30,22,10,17,8,Match Report
933,Celta Vigo,2025-04-05,438,@,Mallorca,es La Liga,W 2-1,2,1,+1,55,2,0,0,0,438,49,305,1534,788,14,9,5,23,13,Match Report
934,Celta Vigo,2025-03-01,438,@,Girona,es La Liga,D 2-2,2,2,0,49,1,1,1,0,438,26,348,1805,981,14,6,5,14,10,Match Report
935,Monaco,2024-09-22,438,,Le Havre,fr Ligue 1,W 3-1,3,1,+2,61,3,0,0,0,438,44,402,2215,1158,19,18,5,16,4,Match Report
936,Lazio,2024-08-24,437,@,Udinese,it Serie A,L 1-2,1,2,-1,66,1,0,0,0,437,44,363,2265,1113,18,14,3,13,12,Match Report
937,Rayo Vallecano,2024-09-22,437,,Atlético Madrid,es La Liga,D 1-1,1,1,0,54,1,0,0,0,437,43,335,1723,690,10,8,2,17,5,Match Report
938,Atlético Madrid,2025-03-01,437,,Athletic Club,es La Liga,W 1-0,1,0,+1,50,1,0,0,0,437,37,420,2017,1121,19,12,6,16,6,Match Report
939,Juventus,2024-11-09,437,,Torino,it Serie A,W 2-0,2,0,+2,54,2,0,0,0,437,28,410,2118,972,17,12,4,19,6,Match Report
940,Las Palmas,2025-02-03,436,@,Girona,es La Liga,L 1-2,1,2,-1,53,1,0,0,0,436,27,251,1086,448,3,4,1,11,4,Match Report
941,Augsburg,2024-12-21,436,@,Holstein Kiel,de Bundesliga,L 1-5,1,5,-4,63,1,0,0,0,436,43,366,1955,934,15,9,5,20,8,Match Report
942,Valladolid,2024-11-30,436,,Atlético Madrid,es La Liga,L 0-5,0,5,-5,45,0,0,0,0,436,31,413,2214,1021,12,10,3,12,5,Match Report
943,Villarreal,2025-03-15,436,,Real Madrid,es La Liga,L 1-2,1,2,-1,46,1,0,0,0,436,56,413,2037,1220,34,25,9,17,8,Match Report
944,Southampton,2024-09-21,436,,Ipswich Town,eng Premier League,D 1-1,1,1,0,53,1,0,0,0,436,24,310,1630,777,14,9,4,3,12,Match Report
945,Southampton,2024-09-14,436,,Manchester Utd,eng Premier League,L 0-3,0,3,-3,44,0,0,1,1,436,22,349,1736,947,21,8,9,11,9,Match Report
946,Marseille,2024-09-14,436,,Nice,fr Ligue 1,W 2-0,2,0,+2,56,2,0,0,0,436,25,411,1893,829,12,16,4,6,10,Match Report
947,Rennes,2025-03-15,436,@,Lens,fr Ligue 1,L 0-1,0,1,-1,54,0,0,0,0,436,57,379,1887,935,18,11,7,16,17,Match Report
948,Monaco,2024-08-17,436,,Saint-Étienne,fr Ligue 1,W 1-0,1,0,+1,61,1,0,0,0,436,46,414,2333,1227,18,16,9,29,8,Match Report
949,Augsburg,2025-03-02,435,,Freiburg,de Bundesliga,D 0-0,0,0,0,51,0,0,0,0,435,34,429,2232,1126,20,15,2,18,8,Match Report
950,Southampton,2025-01-19,435,@,Nott'ham Forest,eng Premier League,L 2-3,2,3,-1,55,2,0,0,0,435,39,328,2157,1219,26,23,4,18,12,Match Report
951,Angers,2024-11-24,435,@,Auxerre,fr Ligue 1,L 0-1,0,1,-1,52,0,0,0,0,435,30,367,1879,911,17,10,4,13,8,Match Report
952,Betis,2024-11-03,435,@,Athletic Club,es La Liga,D 1-1,1,1,0,50,1,0,0,0,435,27,369,1587,815,13,10,3,19,13,Match Report
953,Barcelona,2024-09-15,434,@,Girona,es La Liga,W 4-1,4,1,+3,55,4,0,0,0,434,46,353,1720,923,15,7,6,13,8,Match Report
954,Villarreal,2024-11-24,434,@,Osasuna,es La Liga,D 2-2,2,2,0,59,1,1,1,0,434,58,369,1737,915,18,13,7,26,11,Match Report
955,Atalanta,2024-10-20,434,@,Venezia,it Serie A,W 2-0,2,0,+2,57,2,0,0,0,434,49,327,1632,729,22,9,7,18,6,Match Report
956,Manchester City,2025-02-02,434,@,Arsenal,eng Premier League,L 1-5,1,5,-4,54,1,0,0,0,434,38,385,2225,1122,19,17,2,9,12,Match Report
957,Everton,2024-12-29,434,,Nott'ham Forest,eng Premier League,L 0-2,0,2,-2,64,0,0,0,0,434,55,346,2118,1145,20,14,2,23,10,Match Report
958,Monaco,2025-02-01,434,,Auxerre,fr Ligue 1,W 4-2,4,2,+2,57,4,0,0,0,434,54,308,1799,995,15,19,4,20,12,Match Report
959,Fulham,2025-01-26,434,,Manchester Utd,eng Premier League,L 0-1,0,1,-1,51,0,0,0,0,434,34,408,1988,1065,27,18,6,7,8,Match Report
