Rk,Team,Date,Won,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Won,Lost,Won%,Match Report
689,Arsenal,2025-04-05,17,@,Everton,eng Premier League,D 1-1,1,1,0,69,1,0,0,0,17,7,70.8,Match Report
690,Arsenal,2025-02-22,17,,West Ham,eng Premier League,L 0-1,0,1,-1,68,0,0,0,0,17,19,47.2,Match Report
691,Arsenal,2024-10-19,17,@,Bournemouth,eng Premier League,L 0-2,0,2,-2,51,0,0,0,0,17,12,58.6,Match Report
692,Arsenal,2024-08-17,17,,Wolves,eng Premier League,W 2-0,2,0,+2,53,2,0,0,0,17,13,56.7,Match Report
693,Heidenheim,2025-02-16,17,,Mainz 05,de Bundesliga,L 0-2,0,2,-2,56,0,0,0,0,17,22,43.6,Match Report
694,Heidenheim,2025-02-08,17,@,Freiburg,de Bundesliga,L 0-1,0,1,-1,47,0,0,0,0,17,31,35.4,Match Report
695,Bologna,2025-03-29,17,@,Venezia,it Serie A,W 1-0,1,0,+1,59,1,0,0,0,17,13,56.7,Match Report
696,Bologna,2025-03-02,17,,Cagliari,it Serie A,W 2-1,2,1,+1,61,1,1,1,0,17,15,53.1,Match Report
697,Bologna,2025-02-27,17,,Milan,it Serie A,W 2-1,2,1,+1,57,2,0,0,0,17,17,50.0,Match Report
698,Bologna,2024-12-30,17,,Hellas Verona,it Serie A,L 2-3,2,3,-1,67,2,0,0,0,17,29,37.0,Match Report
699,Barcelona,2025-02-02,17,,Alavés,es La Liga,W 1-0,1,0,+1,69,1,0,0,0,17,18,48.6,Match Report
700,Monza,2024-12-28,17,@,Parma,it Serie A,L 1-2,1,2,-1,56,1,0,0,0,17,13,56.7,Match Report
701,Monza,2024-12-22,17,,Juventus,it Serie A,L 1-2,1,2,-1,45,1,0,0,0,17,12,58.6,Match Report
702,Monza,2024-12-09,17,,Udinese,it Serie A,L 1-2,1,2,-1,67,1,0,0,0,17,30,36.2,Match Report
703,Como,2025-02-23,17,,Napoli,it Serie A,W 2-1,2,1,+1,42,1,0,0,0,17,13,56.7,Match Report
704,Villarreal,2025-02-08,17,@,Las Palmas,es La Liga,W 2-1,2,1,+1,44,2,0,0,0,17,18,48.6,Match Report
705,Villarreal,2024-10-20,17,,Getafe,es La Liga,D 1-1,1,1,0,56,1,0,0,0,17,28,37.8,Match Report
706,Villarreal,2024-09-26,17,@,Espanyol,es La Liga,W 2-1,2,1,+1,44,2,0,0,0,17,8,68.0,Match Report
707,Villarreal,2024-08-23,17,@,Sevilla,es La Liga,W 2-1,2,1,+1,41,2,0,0,0,17,13,56.7,Match Report
708,Mallorca,2025-02-10,17,,Osasuna,es La Liga,D 1-1,1,1,0,46,0,1,1,0,17,20,45.9,Match Report
709,Mallorca,2025-02-01,17,@,Atlético Madrid,es La Liga,L 0-2,0,2,-2,47,0,0,0,0,17,11,60.7,Match Report
710,Mallorca,2024-11-29,17,,Valencia,es La Liga,W 2-1,2,1,+1,48,2,0,0,0,17,11,60.7,Match Report
711,Mallorca,2024-11-23,17,@,Las Palmas,es La Liga,W 3-2,3,2,+1,39,3,0,0,0,17,13,56.7,Match Report
712,Holstein Kiel,2025-01-24,17,@,Wolfsburg,de Bundesliga,D 2-2,2,2,0,31,2,0,0,0,17,10,63.0,Match Report
713,Holstein Kiel,2024-11-29,17,@,St. Pauli,de Bundesliga,L 1-3,1,3,-2,51,1,0,1,1,17,13,56.7,Match Report
714,Athletic Club,2024-08-15,17,,Getafe,es La Liga,D 1-1,1,1,0,68,1,0,0,0,17,18,48.6,Match Report
715,Gladbach,2025-03-01,17,@,Heidenheim,de Bundesliga,W 3-0,3,0,+3,55,3,0,0,0,17,10,63.0,Match Report
716,Gladbach,2024-12-14,17,,Holstein Kiel,de Bundesliga,W 4-1,4,1,+3,56,4,0,0,0,17,8,68.0,Match Report
717,Toulouse,2025-03-02,17,@,Angers,fr Ligue 1,W 4-0,4,0,+4,54,4,0,0,0,17,11,60.7,Match Report
718,Fiorentina,2025-02-02,17,,Genoa,it Serie A,W 2-1,2,1,+1,41,2,0,0,0,17,9,65.4,Match Report
719,Fiorentina,2024-12-15,17,@,Bologna,it Serie A,L 0-1,0,1,-1,50,0,0,0,0,17,13,56.7,Match Report
720,Fiorentina,2024-09-15,17,@,Atalanta,it Serie A,L 2-3,2,3,-1,49,2,0,0,0,17,22,43.6,Match Report
721,Fiorentina,2024-08-25,17,,Venezia,it Serie A,D 0-0,0,0,0,54,0,0,0,0,17,15,53.1,Match Report
722,Crystal Palace,2024-12-29,17,,Southampton,eng Premier League,W 2-1,2,1,+1,47,2,0,0,0,17,24,41.5,Match Report
723,Bournemouth,2024-08-31,17,@,Everton,eng Premier League,W 3-2,3,2,+1,53,3,0,0,0,17,22,43.6,Match Report
724,Wolfsburg,2024-12-08,17,,Mainz 05,de Bundesliga,W 4-3,4,3,+1,44,4,0,0,0,17,26,39.5,Match Report
725,St. Pauli,2024-10-05,17,,Mainz 05,de Bundesliga,L 0-3,0,3,-3,56,0,0,0,0,17,19,47.2,Match Report
726,St. Pauli,2024-08-25,17,,Heidenheim,de Bundesliga,L 0-2,0,2,-2,60,0,0,0,0,17,25,40.5,Match Report
727,Stuttgart,2025-01-12,17,@,Augsburg,de Bundesliga,W 1-0,1,0,+1,57,1,0,0,0,17,14,54.8,Match Report
728,Stuttgart,2024-11-23,17,,Bochum,de Bundesliga,W 2-0,2,0,+2,58,2,0,0,0,17,13,56.7,Match Report
729,Auxerre,2025-03-09,17,@,Reims,fr Ligue 1,W 2-0,2,0,+2,43,2,0,0,0,17,8,68.0,Match Report
730,Le Havre,2025-03-30,17,,Nantes,fr Ligue 1,W 3-2,3,2,+1,52,1,2,2,0,17,11,60.7,Match Report
731,Le Havre,2025-02-23,17,,Toulouse,fr Ligue 1,L 1-4,1,4,-3,54,1,0,0,0,17,12,58.6,Match Report
732,Le Havre,2024-09-01,17,,Auxerre,fr Ligue 1,W 3-1,3,1,+2,50,1,1,1,0,17,8,68.0,Match Report
733,Werder Bremen,2024-10-26,17,,Leverkusen,de Bundesliga,D 2-2,2,2,0,43,2,0,0,0,17,15,53.1,Match Report
734,Genoa,2025-02-22,17,@,Inter,it Serie A,L 0-1,0,1,-1,38,0,0,0,0,17,35,32.7,Match Report
735,Genoa,2024-12-21,17,,Napoli,it Serie A,L 1-2,1,2,-1,38,1,0,0,0,17,18,48.6,Match Report
736,Genoa,2024-12-15,17,@,Milan,it Serie A,D 0-0,0,0,0,43,0,0,0,0,17,15,53.1,Match Report
737,Genoa,2024-09-21,17,@,Venezia,it Serie A,L 0-2,0,2,-2,51,0,0,0,0,17,15,53.1,Match Report
738,Lazio,2024-10-31,17,@,Como,it Serie A,W 5-1,5,1,+4,49,4,1,1,0,17,12,58.6,Match Report
739,Getafe,2025-03-09,17,,Atlético Madrid,es La Liga,W 2-1,2,1,+1,39,2,0,0,0,17,15,53.1,Match Report
740,Getafe,2025-02-01,17,,Sevilla,es La Liga,D 0-0,0,0,0,45,0,0,0,0,17,22,43.6,Match Report
741,Union Berlin,2025-02-01,17,,RB Leipzig,de Bundesliga,D 0-0,0,0,0,47,0,0,0,0,17,23,42.5,Match Report
742,Union Berlin,2024-11-08,17,,Freiburg,de Bundesliga,D 0-0,0,0,0,41,0,0,0,0,17,24,41.5,Match Report
743,Union Berlin,2024-11-02,17,@,Bayern Munich,de Bundesliga,L 0-3,0,3,-3,23,0,0,0,0,17,12,58.6,Match Report
744,Union Berlin,2024-10-20,17,@,Holstein Kiel,de Bundesliga,W 2-0,2,0,+2,52,2,0,0,0,17,24,41.5,Match Report
745,West Ham,2025-01-18,17,,Crystal Palace,eng Premier League,L 0-2,0,2,-2,53,0,0,0,0,17,10,63.0,Match Report
746,West Ham,2024-12-21,17,,Brighton,eng Premier League,D 1-1,1,1,0,47,1,0,0,0,17,21,44.7,Match Report
747,West Ham,2024-11-30,17,,Arsenal,eng Premier League,L 2-5,2,5,-3,40,2,0,0,0,17,10,63.0,Match Report
748,West Ham,2024-09-28,17,@,Brentford,eng Premier League,D 1-1,1,1,0,43,1,0,0,0,17,16,51.5,Match Report
749,Leganés,2025-03-08,17,@,Celta Vigo,es La Liga,L 1-2,1,2,-1,44,1,0,0,0,17,17,50.0,Match Report
750,Leganés,2025-02-15,17,,Alavés,es La Liga,D 3-3,3,3,0,43,1,2,2,0,17,17,50.0,Match Report
751,Leganés,2025-02-09,17,@,Valencia,es La Liga,L 0-2,0,2,-2,56,0,0,0,0,17,15,53.1,Match Report
752,Leganés,2025-01-11,17,@,Espanyol,es La Liga,D 1-1,1,1,0,47,1,0,0,0,17,16,51.5,Match Report
753,Leganés,2024-08-31,17,,Mallorca,es La Liga,L 0-1,0,1,-1,54,0,0,0,0,17,26,39.5,Match Report
754,Reims,2024-10-26,17,,Brest,fr Ligue 1,L 1-2,1,2,-1,53,1,0,0,0,17,14,54.8,Match Report
755,Wolves,2025-02-22,17,@,Bournemouth,eng Premier League,W 1-0,1,0,+1,54,1,0,0,0,17,16,51.5,Match Report
756,Alavés,2025-02-15,17,@,Leganés,es La Liga,D 3-3,3,3,0,57,2,1,1,0,17,17,50.0,Match Report
757,Alavés,2025-01-18,17,@,Betis,es La Liga,W 3-1,3,1,+2,50,2,1,1,0,17,22,43.6,Match Report
758,Alavés,2024-12-15,17,,Athletic Club,es La Liga,D 1-1,1,1,0,52,1,0,0,0,17,16,51.5,Match Report
759,Alavés,2024-11-23,17,@,Atlético Madrid,es La Liga,L 1-2,1,2,-1,30,0,1,1,0,17,13,56.7,Match Report
760,Girona,2024-11-10,17,@,Getafe,es La Liga,W 1-0,1,0,+1,53,1,0,0,0,17,16,51.5,Match Report
761,Girona,2024-10-06,17,,Athletic Club,es La Liga,W 2-1,2,1,+1,66,1,1,1,0,17,9,65.4,Match Report
762,Atalanta,2025-01-14,17,,Juventus,it Serie A,D 1-1,1,1,0,60,1,0,0,0,17,13,56.7,Match Report
763,Atalanta,2024-08-25,17,@,Torino,it Serie A,L 1-2,1,2,-1,58,1,0,1,1,17,9,65.4,Match Report
764,Mainz 05,2025-03-30,17,@,Dortmund,de Bundesliga,L 1-3,1,3,-2,56,1,0,0,0,17,21,44.7,Match Report
765,Mainz 05,2025-03-15,17,,Freiburg,de Bundesliga,D 2-2,2,2,0,44,2,0,0,0,17,31,35.4,Match Report
766,Leicester City,2025-03-16,17,,Manchester Utd,eng Premier League,L 0-3,0,3,-3,53,0,0,0,0,17,24,41.5,Match Report
767,Leicester City,2024-09-21,17,,Everton,eng Premier League,D 1-1,1,1,0,58,1,0,0,0,17,12,58.6,Match Report
768,Empoli,2024-11-25,17,,Udinese,it Serie A,D 1-1,1,1,0,30,1,0,0,0,17,24,41.5,Match Report
769,Freiburg,2024-11-30,17,,Gladbach,de Bundesliga,W 3-1,3,1,+2,48,3,0,0,0,17,14,54.8,Match Report
770,RB Leipzig,2025-03-15,17,,Dortmund,de Bundesliga,W 2-0,2,0,+2,34,2,0,0,0,17,13,56.7,Match Report
771,RB Leipzig,2024-09-14,17,,Union Berlin,de Bundesliga,D 0-0,0,0,0,67,0,0,1,1,17,5,77.3,Match Report
772,Sevilla,2025-03-16,17,,Athletic Club,es La Liga,L 0-1,0,1,-1,61,0,0,0,0,17,14,54.8,Match Report
773,Sevilla,2025-02-24,17,,Mallorca,es La Liga,D 1-1,1,1,0,53,1,0,0,0,17,14,54.8,Match Report
774,Sevilla,2024-10-06,17,,Betis,es La Liga,W 1-0,1,0,+1,51,0,1,1,0,17,13,56.7,Match Report
775,Dortmund,2025-02-01,17,@,Heidenheim,de Bundesliga,W 2-1,2,1,+1,63,2,0,0,0,17,11,60.7,Match Report
776,Dortmund,2024-10-05,17,@,Union Berlin,de Bundesliga,L 1-2,1,2,-1,67,1,0,0,0,17,16,51.5,Match Report
777,Dortmund,2024-09-27,17,,Bochum,de Bundesliga,W 4-2,4,2,+2,66,3,1,1,0,17,18,48.6,Match Report
778,Dortmund,2024-08-24,17,,Eint Frankfurt,de Bundesliga,W 2-0,2,0,+2,69,2,0,0,0,17,3,85.0,Match Report
779,Venezia,2025-04-06,17,@,Lecce,it Serie A,D 1-1,1,1,0,50,0,0,0,0,17,41,29.3,Match Report
780,Venezia,2025-02-09,17,,Roma,it Serie A,L 0-1,0,1,-1,62,0,0,0,0,17,10,63.0,Match Report
781,Bochum,2025-03-08,17,@,Bayern Munich,de Bundesliga,W 3-2,3,2,+1,27,3,0,0,0,17,21,44.7,Match Report
782,Ipswich Town,2024-11-30,17,@,Nott'ham Forest,eng Premier League,L 0-1,0,1,-1,55,0,0,0,0,17,16,51.5,Match Report
783,Manchester City,2025-01-14,17,@,Brentford,eng Premier League,D 2-2,2,2,0,55,2,0,0,0,17,16,51.5,Match Report
784,Strasbourg,2024-08-18,17,@,Montpellier,fr Ligue 1,D 1-1,1,1,0,58,1,0,0,0,17,7,70.8,Match Report
785,Cagliari,2025-01-19,17,,Lecce,it Serie A,W 4-1,4,1,+3,50,4,0,0,0,17,22,43.6,Match Report
786,Cagliari,2025-01-11,17,@,Milan,it Serie A,D 1-1,1,1,0,32,1,0,0,0,17,9,65.4,Match Report
787,Cagliari,2024-12-08,17,@,Fiorentina,it Serie A,L 0-1,0,1,-1,51,0,0,0,0,17,7,70.8,Match Report
788,Cagliari,2024-11-09,17,,Milan,it Serie A,D 3-3,3,3,0,45,3,0,0,0,17,8,68.0,Match Report
789,Leverkusen,2025-02-02,17,,Hoffenheim,de Bundesliga,W 3-1,3,1,+2,48,3,0,0,0,17,7,70.8,Match Report
790,Brentford,2024-12-21,17,,Nott'ham Forest,eng Premier League,L 0-2,0,2,-2,64,0,0,0,0,17,20,45.9,Match Report
791,Roma,2025-03-16,17,,Cagliari,it Serie A,W 1-0,1,0,+1,61,1,0,0,0,17,8,68.0,Match Report
792,Roma,2024-12-02,17,,Atalanta,it Serie A,L 0-2,0,2,-2,48,0,0,0,0,17,14,54.8,Match Report
793,Roma,2024-11-10,17,,Bologna,it Serie A,L 2-3,2,3,-1,54,2,0,0,0,17,14,54.8,Match Report
794,Chelsea,2024-11-03,17,@,Manchester Utd,eng Premier League,D 1-1,1,1,0,54,1,0,0,0,17,8,68.0,Match Report
795,Brighton,2024-09-14,17,,Ipswich Town,eng Premier League,D 0-0,0,0,0,68,0,0,0,0,17,18,48.6,Match Report
796,Saint-Étienne,2025-02-22,17,,Angers,fr Ligue 1,D 3-3,3,3,0,61,3,0,0,0,17,8,68.0,Match Report
797,Napoli,2025-01-25,17,,Juventus,it Serie A,W 2-1,2,1,+1,49,1,1,1,0,17,8,68.0,Match Report
798,Napoli,2024-12-29,17,,Venezia,it Serie A,W 1-0,1,0,+1,66,1,0,1,1,17,8,68.0,Match Report
799,Nantes,2025-04-04,17,@,Nice,fr Ligue 1,W 2-1,2,1,+1,24,2,0,0,0,17,24,41.5,Match Report
800,Nantes,2025-02-07,17,,Brest,fr Ligue 1,L 0-2,0,2,-2,58,0,0,0,0,17,22,43.6,Match Report
801,Nantes,2025-01-10,17,,Monaco,fr Ligue 1,D 2-2,2,2,0,32,2,0,0,0,17,13,56.7,Match Report
802,Nantes,2024-12-08,17,,Rennes,fr Ligue 1,W 1-0,1,0,+1,47,1,0,0,0,17,13,56.7,Match Report
803,Nantes,2024-11-24,17,,Le Havre,fr Ligue 1,L 0-2,0,2,-2,70,0,0,0,0,17,14,54.8,Match Report
804,Atlético Madrid,2024-08-28,17,,Espanyol,es La Liga,D 0-0,0,0,0,63,0,0,0,0,17,15,53.1,Match Report
805,Milan,2025-02-27,17,@,Bologna,it Serie A,L 1-2,1,2,-1,43,1,0,0,0,17,17,50.0,Match Report
806,Milan,2025-01-26,17,,Parma,it Serie A,W 3-2,3,2,+1,61,2,1,1,0,17,19,47.2,Match Report
807,Milan,2024-10-06,17,@,Fiorentina,it Serie A,L 1-2,1,2,-1,59,1,0,2,2,17,11,60.7,Match Report
808,Valencia,2025-03-08,17,,Valladolid,es La Liga,W 2-1,2,1,+1,62,2,0,0,0,17,10,63.0,Match Report
809,Valencia,2024-12-07,17,,Rayo Vallecano,es La Liga,L 0-1,0,1,-1,60,0,0,0,0,17,13,56.7,Match Report
810,Real Sociedad,2024-12-08,17,@,Leganés,es La Liga,W 3-0,3,0,+3,44,3,0,0,0,17,16,51.5,Match Report
811,Parma,2025-01-12,17,@,Genoa,it Serie A,L 0-1,0,1,-1,39,0,0,0,0,17,15,53.1,Match Report
812,Eint Frankfurt,2025-04-05,17,@,Werder Bremen,de Bundesliga,L 0-2,0,2,-2,62,0,0,0,0,17,5,77.3,Match Report
813,Celta Vigo,2025-03-08,17,,Leganés,es La Liga,W 2-1,2,1,+1,56,2,0,0,0,17,17,50.0,Match Report
814,Celta Vigo,2024-12-06,17,,Mallorca,es La Liga,W 2-0,2,0,+2,50,2,0,0,0,17,23,42.5,Match Report
815,Brest,2025-01-11,17,,Lyon,fr Ligue 1,W 2-1,2,1,+1,33,2,0,0,0,17,20,45.9,Match Report
816,Lens,2025-03-01,17,,Le Havre,fr Ligue 1,L 3-4,3,4,-1,69,2,1,1,0,17,18,48.6,Match Report
817,Lens,2025-01-26,17,,Angers,fr Ligue 1,W 1-0,1,0,+1,64,1,0,0,0,17,6,73.9,Match Report
818,Monaco,2024-09-22,17,,Le Havre,fr Ligue 1,W 3-1,3,1,+2,61,3,0,0,0,17,9,65.4,Match Report
819,Fulham,2024-11-09,17,@,Crystal Palace,eng Premier League,W 2-0,2,0,+2,64,2,0,0,0,17,13,56.7,Match Report
820,Las Palmas,2025-02-16,16,@,Mallorca,es La Liga,L 1-3,1,3,-2,51,1,0,0,0,16,23,41.0,Match Report
821,Las Palmas,2024-11-08,16,@,Rayo Vallecano,es La Liga,W 3-1,3,1,+2,36,2,0,0,0,16,16,50.0,Match Report
822,Udinese,2024-12-14,16,,Napoli,it Serie A,L 1-3,1,3,-2,30,1,0,1,1,16,9,64.0,Match Report
823,Udinese,2024-10-19,16,@,Milan,it Serie A,L 0-1,0,1,-1,56,0,0,0,0,16,15,51.6,Match Report
824,Bayern Munich,2024-08-25,16,@,Wolfsburg,de Bundesliga,W 3-2,3,2,+1,70,2,0,0,0,16,12,57.1,Match Report
825,Augsburg,2025-03-02,16,,Freiburg,de Bundesliga,D 0-0,0,0,0,51,0,0,0,0,16,11,59.3,Match Report
826,Augsburg,2024-11-02,16,@,Wolfsburg,de Bundesliga,D 1-1,1,1,0,31,1,0,0,0,16,10,61.5,Match Report
827,Augsburg,2024-09-01,16,@,Heidenheim,de Bundesliga,L 0-4,0,4,-4,64,0,0,0,0,16,19,45.7,Match Report
828,Hellas Verona,2025-03-31,16,,Parma,it Serie A,D 0-0,0,0,0,42,0,0,0,0,16,11,59.3,Match Report
829,Torino,2025-04-06,16,,Hellas Verona,it Serie A,D 1-1,1,1,0,61,1,0,1,1,16,19,45.7,Match Report
830,Torino,2025-02-08,16,,Genoa,it Serie A,D 1-1,1,1,0,57,0,0,0,0,16,20,44.4,Match Report
831,Torino,2024-11-09,16,@,Juventus,it Serie A,L 0-2,0,2,-2,46,0,0,0,0,16,8,66.7,Match Report
832,Nice,2024-10-27,16,,Monaco,fr Ligue 1,W 2-1,2,1,+1,41,2,0,0,0,16,18,47.1,Match Report
833,Valladolid,2024-09-24,16,@,Sevilla,es La Liga,L 1-2,1,2,-1,46,1,0,0,0,16,10,61.5,Match Report
834,Arsenal,2025-02-26,16,@,Nott'ham Forest,eng Premier League,D 0-0,0,0,0,64,0,0,0,0,16,14,53.3,Match Report
835,Heidenheim,2025-01-15,16,@,Werder Bremen,de Bundesliga,D 3-3,3,3,0,48,3,0,0,0,16,22,42.1,Match Report
836,Heidenheim,2024-09-21,16,,Freiburg,de Bundesliga,L 0-3,0,3,-3,42,0,0,0,0,16,12,57.1,Match Report
837,Manchester Utd,2025-01-26,16,@,Fulham,eng Premier League,W 1-0,1,0,+1,49,1,0,0,0,16,13,55.2,Match Report
838,Bologna,2024-10-06,16,,Parma,it Serie A,D 0-0,0,0,0,71,0,0,0,0,16,15,51.6,Match Report
839,Bologna,2024-08-18,16,,Udinese,it Serie A,D 1-1,1,1,0,73,0,1,1,0,16,10,61.5,Match Report
840,Montpellier,2025-03-30,16,@,Auxerre,fr Ligue 1,L 0-1,0,1,-1,47,0,0,0,0,16,19,45.7,Match Report
841,Como,2024-12-23,16,@,Inter,it Serie A,L 0-2,0,2,-2,38,0,0,0,0,16,14,53.3,Match Report
842,Como,2024-09-29,16,,Hellas Verona,it Serie A,W 3-2,3,2,+1,71,3,0,0,0,16,15,51.6,Match Report
843,Villarreal,2025-03-30,16,@,Getafe,es La Liga,W 2-1,2,1,+1,45,2,0,0,0,16,20,44.4,Match Report
844,Villarreal,2024-12-22,16,@,Leganés,es La Liga,W 5-2,5,2,+3,64,3,2,2,0,16,8,66.7,Match Report
845,Holstein Kiel,2025-04-05,16,@,Mainz 05,de Bundesliga,D 1-1,1,1,0,42,1,0,0,0,16,26,38.1,Match Report
846,Athletic Club,2024-12-15,16,@,Alavés,es La Liga,D 1-1,1,1,0,48,1,0,0,0,16,17,48.5,Match Report
847,Gladbach,2025-02-08,16,,Eint Frankfurt,de Bundesliga,D 1-1,1,1,0,53,1,0,0,0,16,10,61.5,Match Report
848,Southampton,2025-04-02,16,,Crystal Palace,eng Premier League,D 1-1,1,1,0,43,1,0,0,0,16,13,55.2,Match Report
849,Southampton,2024-09-30,16,@,Bournemouth,eng Premier League,L 1-3,1,3,-2,60,1,0,0,0,16,9,64.0,Match Report
850,Tottenham,2025-02-02,16,@,Brentford,eng Premier League,W 2-0,2,0,+2,46,1,0,0,0,16,19,45.7,Match Report
851,Toulouse,2024-12-13,16,,Saint-Étienne,fr Ligue 1,W 2-1,2,1,+1,39,2,0,0,0,16,15,51.6,Match Report
852,Fiorentina,2024-11-10,16,,Hellas Verona,it Serie A,W 3-1,3,1,+2,61,3,0,0,0,16,14,53.3,Match Report
853,Fiorentina,2024-09-29,16,@,Empoli,it Serie A,D 0-0,0,0,0,62,0,0,0,0,16,10,61.5,Match Report
854,Crystal Palace,2024-11-30,16,,Newcastle Utd,eng Premier League,D 1-1,1,1,0,49,1,0,0,0,16,16,50.0,Match Report
855,Bournemouth,2025-02-22,16,,Wolves,eng Premier League,L 0-1,0,1,-1,46,0,0,0,0,16,17,48.5,Match Report
856,Bournemouth,2024-10-05,16,@,Leicester City,eng Premier League,L 0-1,0,1,-1,55,0,0,0,0,16,21,43.2,Match Report
857,Wolfsburg,2025-02-15,16,@,Stuttgart,de Bundesliga,W 2-1,2,1,+1,43,1,1,1,0,16,22,42.1,Match Report
858,Wolfsburg,2024-09-28,16,,Stuttgart,de Bundesliga,D 2-2,2,2,0,31,2,0,0,0,16,15,51.6,Match Report
859,St. Pauli,2024-12-21,16,@,Stuttgart,de Bundesliga,W 1-0,1,0,+1,28,1,0,1,1,16,13,55.2,Match Report
860,St. Pauli,2024-09-22,16,,RB Leipzig,de Bundesliga,D 0-0,0,0,0,31,0,0,0,0,16,26,38.1,Match Report
861,Marseille,2024-10-04,16,,Angers,fr Ligue 1,D 1-1,1,1,0,76,1,0,0,0,16,6,72.7,Match Report
862,Auxerre,2024-09-27,16,,Brest,fr Ligue 1,W 3-0,3,0,+3,39,2,1,1,0,16,23,41.0,Match Report
863,Le Havre,2025-01-12,16,,Lens,fr Ligue 1,L 1-2,1,2,-1,31,1,0,0,0,16,27,37.2,Match Report
864,Le Havre,2024-10-06,16,@,Brest,fr Ligue 1,L 0-2,0,2,-2,47,0,0,0,0,16,18,47.1,Match Report
865,Werder Bremen,2024-09-29,16,@,Hoffenheim,de Bundesliga,W 4-3,4,3,+1,64,4,0,0,0,16,11,59.3,Match Report
866,Genoa,2025-03-29,16,@,Juventus,it Serie A,L 0-1,0,1,-1,51,0,0,0,0,16,24,40.0,Match Report
867,Genoa,2025-03-14,16,,Lecce,it Serie A,W 2-1,2,1,+1,44,2,0,0,0,16,28,36.4,Match Report
868,Genoa,2024-10-27,16,@,Lazio,it Serie A,L 0-3,0,3,-3,39,0,0,0,0,16,18,47.1,Match Report
869,Genoa,2024-09-15,16,,Roma,it Serie A,D 1-1,1,1,0,48,1,0,0,0,16,12,57.1,Match Report
870,Lazio,2025-02-03,16,@,Cagliari,it Serie A,W 2-1,2,1,+1,60,2,0,0,0,16,6,72.7,Match Report
871,Lazio,2024-12-21,16,@,Lecce,it Serie A,W 2-1,2,1,+1,59,1,1,1,0,16,9,64.0,Match Report
872,Lazio,2024-11-24,16,,Bologna,it Serie A,W 3-0,3,0,+3,70,3,0,0,0,16,11,59.3,Match Report
873,Lazio,2024-10-19,16,@,Juventus,it Serie A,L 0-1,0,1,-1,31,0,0,0,0,16,10,61.5,Match Report
874,Getafe,2025-03-02,16,@,Leganés,es La Liga,L 0-1,0,1,-1,43,0,0,0,0,16,16,50.0,Match Report
875,Getafe,2024-12-15,16,@,Atlético Madrid,es La Liga,L 0-1,0,1,-1,43,0,0,0,0,16,18,47.1,Match Report
876,Getafe,2024-11-10,16,,Girona,es La Liga,L 0-1,0,1,-1,47,0,0,0,0,16,17,48.5,Match Report
877,Union Berlin,2024-10-05,16,,Dortmund,de Bundesliga,W 2-1,2,1,+1,33,1,1,1,0,16,17,48.5,Match Report
878,Union Berlin,2024-09-28,16,@,Gladbach,de Bundesliga,L 0-1,0,1,-1,38,0,0,0,0,16,22,42.1,Match Report
879,West Ham,2025-03-10,16,,Newcastle Utd,eng Premier League,L 0-1,0,1,-1,51,0,0,0,0,16,13,55.2,Match Report
880,West Ham,2025-02-27,16,,Leicester City,eng Premier League,W 2-0,2,0,+2,58,1,0,0,0,16,15,51.6,Match Report
881,West Ham,2025-02-15,16,,Brentford,eng Premier League,L 0-1,0,1,-1,58,0,0,0,0,16,21,43.2,Match Report
882,Leganés,2025-03-02,16,,Getafe,es La Liga,W 1-0,1,0,+1,57,1,0,0,0,16,16,50.0,Match Report
883,Leganés,2024-12-08,16,,Real Sociedad,es La Liga,L 0-3,0,3,-3,56,0,0,0,0,16,17,48.5,Match Report
884,Leganés,2024-11-09,16,,Sevilla,es La Liga,W 1-0,1,0,+1,43,0,1,1,0,16,27,37.2,Match Report
885,Aston Villa,2025-03-08,16,@,Brentford,eng Premier League,W 1-0,1,0,+1,41,1,0,0,0,16,23,41.0,Match Report
886,Wolves,2024-12-26,16,,Manchester Utd,eng Premier League,W 2-0,2,0,+2,51,2,0,0,0,16,9,64.0,Match Report
887,Wolves,2024-08-31,16,@,Nott'ham Forest,eng Premier League,D 1-1,1,1,0,48,1,0,0,0,16,14,53.3,Match Report
888,Atalanta,2025-03-01,16,,Venezia,it Serie A,D 0-0,0,0,0,60,0,0,0,0,16,12,57.1,Match Report
889,Atalanta,2024-10-20,16,@,Venezia,it Serie A,W 2-0,2,0,+2,57,2,0,0,0,16,13,55.2,Match Report
890,Rayo Vallecano,2024-11-08,16,,Las Palmas,es La Liga,L 1-3,1,3,-2,64,0,0,0,0,16,16,50.0,Match Report
891,Leicester City,2024-11-30,16,@,Brentford,eng Premier League,L 1-4,1,4,-3,40,1,0,0,0,16,19,45.7,Match Report
892,Empoli,2024-08-31,16,@,Bologna,it Serie A,D 1-1,1,1,0,31,1,0,0,0,16,19,45.7,Match Report
893,Empoli,2024-08-17,16,,Monza,it Serie A,D 0-0,0,0,0,39,0,0,0,0,16,22,42.1,Match Report
894,Freiburg,2025-04-05,16,,Dortmund,de Bundesliga,L 1-4,1,4,-3,54,1,0,0,0,16,14,53.3,Match Report
895,Freiburg,2025-01-11,16,,Holstein Kiel,de Bundesliga,W 3-2,3,2,+1,51,2,0,0,0,16,20,44.4,Match Report
