Rk,Team,Date,Won,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Won,Lost,Won%,Match Report
47,Heidenheim,2024-11-10,29,,Wolfsburg,de Bundesliga,L 1-3,1,3,-2,65,1,0,0,0,29,18,61.7,Match Report
48,Genoa,2025-03-07,29,@,Cagliari,it Serie A,D 1-1,1,1,0,53,1,0,0,0,29,23,55.8,Match Report
49,West Ham,2024-12-03,29,@,Leicester City,eng Premier League,L 1-3,1,3,-2,61,1,0,0,0,29,20,59.2,Match Report
50,Alavés,2025-02-22,29,,Espanyol,es La Liga,L 0-1,0,1,-1,62,0,0,0,0,29,20,59.2,Match Report
51,Alavés,2025-02-09,29,,Getafe,es La Liga,L 0-1,0,1,-1,65,0,0,0,0,29,24,54.7,Match Report
52,Atalanta,2025-01-11,29,@,Udinese,it Serie A,D 0-0,0,0,0,54,0,0,0,0,29,11,72.5,Match Report
53,Mainz 05,2024-09-28,29,,Heidenheim,de Bundesliga,L 0-2,0,2,-2,50,0,0,0,0,29,32,47.5,Match Report
54,Rennes,2025-01-18,29,,Brest,fr Ligue 1,L 1-2,1,2,-1,68,1,0,0,0,29,14,67.4,Match Report
55,Bochum,2024-09-14,29,@,Freiburg,de Bundesliga,L 1-2,1,2,-1,46,1,0,0,0,29,21,58.0,Match Report
56,Brest,2025-01-26,29,@,Le Havre,fr Ligue 1,W 1-0,1,0,+1,55,1,0,0,0,29,21,58.0,Match Report
57,Valladolid,2024-09-21,28,,Real Sociedad,es La Liga,D 0-0,0,0,0,36,0,0,0,0,28,14,66.7,Match Report
58,St. Pauli,2025-01-15,28,@,Bochum,de Bundesliga,L 0-1,0,1,-1,49,0,0,0,0,28,33,45.9,Match Report
59,Getafe,2024-10-27,28,,Valencia,es La Liga,D 1-1,1,1,0,64,0,1,1,0,28,20,58.3,Match Report
60,Getafe,2024-10-20,28,@,Villarreal,es La Liga,D 1-1,1,1,0,44,0,1,1,0,28,17,62.2,Match Report
