Rk,Team,Date,PSxG,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,PSxG,PSxG/SoT,PSxG+/-,Match Report
741,Celta Vigo,2024-12-06,1.9,,Mallorca,es La Liga,W 2-0,2,0,+2,50,2,0,0,0,1.9,0.46,+1.9,Match Report
742,Celta Vigo,2024-11-10,1.9,@,Betis,es La Liga,D 2-2,2,2,0,44,2,0,0,0,1.9,0.32,-0.1,Match Report
743,Celta Vigo,2024-09-01,1.9,@,Osasuna,es La Liga,L 2-3,2,3,-1,50,1,0,0,0,1.9,0.64,-0.1,Match Report
744,Brest,2025-01-05,1.9,@,Angers,fr Ligue 1,L 0-2,0,2,-2,61,0,0,0,0,1.9,0.96,-0.1,Match Report
745,Lecce,2025-03-29,1.9,,Roma,it Serie A,L 0-1,0,1,-1,45,0,0,0,0,1.9,0.31,+0.9,Match Report
746,Las Palmas,2025-03-31,1.8,@,Celta Vigo,es La Liga,D 1-1,1,1,0,39,1,0,0,0,1.8,0.30,+0.8,Match Report
747,Las Palmas,2025-03-14,1.8,,Alavés,es La Liga,D 2-2,2,2,0,61,1,1,1,0,1.8,0.61,-0.2,Match Report
748,Las Palmas,2024-09-21,1.8,@,Osasuna,es La Liga,L 1-2,1,2,-1,60,1,0,0,0,1.8,0.25,-0.2,Match Report
749,Las Palmas,2024-09-01,1.8,@,Alavés,es La Liga,L 0-2,0,2,-2,70,0,0,0,0,1.8,0.36,-0.2,Match Report
750,Las Palmas,2024-08-25,1.8,@,Leganés,es La Liga,L 1-2,1,2,-1,61,1,0,0,0,1.8,0.25,-0.2,Match Report
751,Hoffenheim,2024-08-24,1.8,,Holstein Kiel,de Bundesliga,W 3-2,3,2,+1,54,2,1,1,0,1.8,0.40,-0.2,Match Report
752,Osasuna,2024-12-21,1.8,,Athletic Club,es La Liga,L 1-2,1,2,-1,53,1,0,0,0,1.8,0.22,-0.2,Match Report
753,Osasuna,2024-12-08,1.8,,Alavés,es La Liga,D 2-2,2,2,0,60,2,0,0,0,1.8,0.62,-0.2,Match Report
754,Bayern Munich,2024-08-25,1.8,@,Wolfsburg,de Bundesliga,W 3-2,3,2,+1,70,2,0,0,0,1.8,0.47,-0.2,Match Report
755,Augsburg,2025-04-04,1.8,,Bayern Munich,de Bundesliga,L 1-3,1,3,-2,31,1,0,0,0,1.8,0.25,-0.2,Match Report
756,Augsburg,2025-02-08,1.8,@,Mainz 05,de Bundesliga,D 0-0,0,0,0,34,0,0,0,0,1.8,0.36,+1.8,Match Report
757,Augsburg,2024-09-20,1.8,,Mainz 05,de Bundesliga,L 2-3,2,3,-1,73,2,0,0,0,1.8,0.60,-1.2,Match Report
758,Torino,2025-03-31,1.8,@,Lazio,it Serie A,D 1-1,1,1,0,42,1,0,0,0,1.8,0.30,+0.8,Match Report
759,Torino,2024-12-29,1.8,@,Udinese,it Serie A,D 2-2,2,2,0,56,2,0,0,0,1.8,0.59,-0.2,Match Report
760,Nice,2024-12-15,1.8,@,Montpellier,fr Ligue 1,D 2-2,2,2,0,48,2,0,0,0,1.8,0.22,-0.2,Match Report
761,Nice,2024-09-14,1.8,@,Marseille,fr Ligue 1,L 0-2,0,2,-2,44,0,0,0,0,1.8,0.35,-0.2,Match Report
762,Arsenal,2024-10-27,1.8,,Liverpool,eng Premier League,D 2-2,2,2,0,45,2,0,0,0,1.8,0.45,-0.2,Match Report
763,Heidenheim,2025-03-01,1.8,,Gladbach,de Bundesliga,L 0-3,0,3,-3,45,0,0,0,0,1.8,0.36,-1.2,Match Report
764,Heidenheim,2025-01-25,1.8,@,Augsburg,de Bundesliga,L 1-2,1,2,-1,40,1,0,0,0,1.8,0.30,-0.2,Match Report
765,Heidenheim,2025-01-15,1.8,@,Werder Bremen,de Bundesliga,D 3-3,3,3,0,48,3,0,0,0,1.8,0.36,-1.2,Match Report
766,Manchester Utd,2025-03-09,1.8,,Arsenal,eng Premier League,D 1-1,1,1,0,32,1,0,0,0,1.8,0.30,+0.8,Match Report
767,Manchester Utd,2025-01-05,1.8,@,Liverpool,eng Premier League,D 2-2,2,2,0,47,2,0,0,0,1.8,0.20,-0.2,Match Report
768,Bologna,2024-12-07,1.8,@,Juventus,it Serie A,D 2-2,2,2,0,46,2,0,0,0,1.8,0.60,-0.2,Match Report
769,Como,2025-02-01,1.8,@,Bologna,it Serie A,L 0-2,0,2,-2,50,0,0,0,0,1.8,0.45,-0.2,Match Report
770,Villarreal,2024-11-24,1.8,@,Osasuna,es La Liga,D 2-2,2,2,0,59,1,1,1,0,1.8,0.28,-0.2,Match Report
771,Holstein Kiel,2024-09-29,1.8,,Eint Frankfurt,de Bundesliga,L 2-4,2,4,-2,47,1,1,1,0,1.8,0.18,-2.2,Match Report
772,Gladbach,2025-02-15,1.8,@,Union Berlin,de Bundesliga,W 2-1,2,1,+1,48,2,0,0,0,1.8,0.30,+0.8,Match Report
773,Gladbach,2025-02-08,1.8,,Eint Frankfurt,de Bundesliga,D 1-1,1,1,0,53,1,0,0,0,1.8,0.32,+0.8,Match Report
774,Tottenham,2025-04-03,1.8,@,Chelsea,eng Premier League,L 0-1,0,1,-1,49,0,0,0,0,1.8,0.36,+0.8,Match Report
775,Tottenham,2025-03-16,1.8,@,Fulham,eng Premier League,L 0-2,0,2,-2,43,0,0,0,0,1.8,0.44,-0.2,Match Report
776,Tottenham,2024-12-05,1.8,@,Bournemouth,eng Premier League,L 0-1,0,1,-1,65,0,0,0,0,1.8,0.26,+0.8,Match Report
777,Toulouse,2025-02-15,1.8,,Paris S-G,fr Ligue 1,L 0-1,0,1,-1,24,0,0,0,0,1.8,0.39,+0.8,Match Report
778,Crystal Palace,2024-10-21,1.8,@,Nott'ham Forest,eng Premier League,L 0-1,0,1,-1,49,0,0,0,0,1.8,0.30,+0.8,Match Report
779,Crystal Palace,2024-09-21,1.8,,Manchester Utd,eng Premier League,D 0-0,0,0,0,33,0,0,0,0,1.8,0.32,+1.8,Match Report
780,Bournemouth,2024-11-09,1.8,@,Brentford,eng Premier League,L 2-3,2,3,-1,49,2,0,0,0,1.8,0.31,-1.2,Match Report
781,Wolfsburg,2024-10-05,1.8,@,Bochum,de Bundesliga,W 3-1,3,1,+2,42,3,0,1,1,1.8,0.37,+0.8,Match Report
782,St. Pauli,2025-01-11,1.8,,Eint Frankfurt,de Bundesliga,L 0-1,0,1,-1,43,0,0,0,0,1.8,0.30,+0.8,Match Report
783,St. Pauli,2024-08-25,1.8,,Heidenheim,de Bundesliga,L 0-2,0,2,-2,60,0,0,0,0,1.8,0.60,-0.2,Match Report
784,Marseille,2024-11-08,1.8,,Auxerre,fr Ligue 1,L 1-3,1,3,-2,74,0,1,1,0,1.8,0.30,-1.2,Match Report
785,Stuttgart,2025-02-15,1.8,,Wolfsburg,de Bundesliga,L 1-2,1,2,-1,57,1,0,0,0,1.8,0.34,-0.2,Match Report
786,Auxerre,2025-03-09,1.8,@,Reims,fr Ligue 1,W 2-0,2,0,+2,43,2,0,0,0,1.8,0.46,+1.8,Match Report
787,Le Havre,2025-01-12,1.8,,Lens,fr Ligue 1,L 1-2,1,2,-1,31,1,0,0,0,1.8,0.30,-0.2,Match Report
788,Werder Bremen,2024-10-20,1.8,@,Wolfsburg,de Bundesliga,W 4-2,4,2,+2,57,4,0,0,0,1.8,0.36,-0.2,Match Report
789,Genoa,2025-02-22,1.8,@,Inter,it Serie A,L 0-1,0,1,-1,38,0,0,0,0,1.8,0.45,+0.8,Match Report
790,Angers,2025-01-05,1.8,,Brest,fr Ligue 1,W 2-0,2,0,+2,39,2,0,0,0,1.8,0.45,+1.8,Match Report
791,Angers,2024-10-20,1.8,@,Toulouse,fr Ligue 1,D 1-1,1,1,0,35,1,0,1,1,1.8,0.37,+0.8,Match Report
792,Union Berlin,2025-01-11,1.8,@,Heidenheim,de Bundesliga,L 0-2,0,2,-2,42,0,0,0,0,1.8,0.23,-0.2,Match Report
793,Union Berlin,2024-10-20,1.8,@,Holstein Kiel,de Bundesliga,W 2-0,2,0,+2,52,2,0,0,0,1.8,0.45,+1.8,Match Report
794,Liverpool,2024-12-14,1.8,,Fulham,eng Premier League,D 2-2,2,2,0,61,2,0,0,0,1.8,0.60,-0.2,Match Report
795,Aston Villa,2025-01-18,1.8,@,Arsenal,eng Premier League,D 2-2,2,2,0,34,2,0,0,0,1.8,0.31,-0.2,Match Report
796,Wolves,2025-03-15,1.8,@,Southampton,eng Premier League,W 2-1,2,1,+1,40,2,0,0,0,1.8,0.62,+0.8,Match Report
797,Wolves,2025-01-15,1.8,@,Newcastle Utd,eng Premier League,L 0-3,0,3,-3,40,0,0,0,0,1.8,0.36,-1.2,Match Report
798,Wolves,2024-10-20,1.8,,Manchester City,eng Premier League,L 1-2,1,2,-1,23,1,0,0,0,1.8,0.26,-0.2,Match Report
799,Wolves,2024-09-21,1.8,@,Aston Villa,eng Premier League,L 1-3,1,3,-2,47,1,0,0,0,1.8,0.59,-1.2,Match Report
800,Alavés,2024-11-09,1.8,@,Villarreal,es La Liga,L 0-3,0,3,-3,38,0,0,0,0,1.8,0.34,-1.2,Match Report
801,Girona,2025-01-26,1.8,@,Rayo Vallecano,es La Liga,L 1-2,1,2,-1,43,1,0,0,0,1.8,0.26,-0.2,Match Report
802,Girona,2024-11-02,1.8,,Leganés,es La Liga,W 4-3,4,3,+1,54,2,1,1,0,1.8,0.36,-1.2,Match Report
803,Atalanta,2025-03-16,1.8,,Inter,it Serie A,L 0-2,0,2,-2,49,0,0,0,0,1.8,0.45,-0.2,Match Report
804,Atalanta,2024-09-15,1.8,,Fiorentina,it Serie A,W 3-2,3,2,+1,51,3,0,0,0,1.8,0.41,-0.2,Match Report
805,Rayo Vallecano,2024-12-18,1.8,@,Villarreal,es La Liga,D 1-1,1,1,0,55,1,0,0,0,1.8,0.36,+0.8,Match Report
806,Leicester City,2025-01-26,1.8,@,Tottenham,eng Premier League,W 2-1,2,1,+1,39,2,0,0,0,1.8,0.30,+0.8,Match Report
807,Leicester City,2024-09-14,1.8,@,Crystal Palace,eng Premier League,D 2-2,2,2,0,34,2,0,0,0,1.8,0.25,-0.2,Match Report
808,Freiburg,2025-03-15,1.8,@,Mainz 05,de Bundesliga,D 2-2,2,2,0,56,2,0,0,0,1.8,0.51,-0.2,Match Report
809,Freiburg,2024-09-14,1.8,,Bochum,de Bundesliga,W 2-1,2,1,+1,54,2,0,0,0,1.8,0.61,+0.8,Match Report
810,Espanyol,2025-01-11,1.8,,Leganés,es La Liga,D 1-1,1,1,0,53,1,0,0,0,1.8,0.30,+0.8,Match Report
811,RB Leipzig,2024-11-02,1.8,@,Dortmund,de Bundesliga,L 1-2,1,2,-1,43,1,0,0,0,1.8,0.32,-0.2,Match Report
812,Sevilla,2024-12-22,1.8,@,Real Madrid,es La Liga,L 2-4,2,4,-2,41,2,0,0,0,1.8,0.26,-2.2,Match Report
813,Venezia,2025-01-19,1.8,@,Parma,it Serie A,D 1-1,1,1,0,41,0,1,1,0,1.8,0.10,+0.8,Match Report
814,Venezia,2025-01-04,1.8,,Empoli,it Serie A,D 1-1,1,1,0,50,1,0,0,0,1.8,0.36,+0.8,Match Report
815,Rennes,2025-01-03,1.8,@,Nice,fr Ligue 1,L 2-3,2,3,-1,53,2,0,0,0,1.8,0.30,-1.2,Match Report
816,Ipswich Town,2024-12-21,1.8,,Newcastle Utd,eng Premier League,L 0-4,0,4,-4,42,0,0,0,0,1.8,0.26,-2.2,Match Report
817,Manchester City,2025-01-25,1.8,,Chelsea,eng Premier League,W 3-1,3,1,+2,56,3,0,0,0,1.8,0.45,+0.8,Match Report
818,Cagliari,2025-01-05,1.8,@,Monza,it Serie A,W 2-1,2,1,+1,47,2,0,0,0,1.8,0.42,+0.8,Match Report
819,Cagliari,2024-10-06,1.8,@,Juventus,it Serie A,D 1-1,1,1,0,27,0,1,1,0,1.8,0.10,+0.8,Match Report
820,Chelsea,2025-02-14,1.8,@,Brighton,eng Premier League,L 0-3,0,3,-3,69,0,0,0,0,1.8,0.37,-1.2,Match Report
821,Chelsea,2024-12-15,1.8,,Brentford,eng Premier League,W 2-1,2,1,+1,62,2,0,0,0,1.8,0.44,+0.8,Match Report
822,Chelsea,2024-12-08,1.8,@,Tottenham,eng Premier League,W 4-3,4,3,+1,61,2,2,2,0,1.8,0.41,-1.2,Match Report
823,Chelsea,2024-12-04,1.8,@,Southampton,eng Premier League,W 5-1,5,1,+4,55,5,0,0,0,1.8,0.46,+0.8,Match Report
824,Brighton,2024-12-08,1.8,@,Leicester City,eng Premier League,D 2-2,2,2,0,44,2,0,0,0,1.8,0.60,-0.2,Match Report
825,Brighton,2024-11-02,1.8,@,Liverpool,eng Premier League,L 1-2,1,2,-1,51,1,0,0,0,1.8,0.23,-0.2,Match Report
826,Everton,2025-02-15,1.8,@,Crystal Palace,eng Premier League,W 2-1,2,1,+1,42,2,0,0,0,1.8,0.30,+0.8,Match Report
827,Lyon,2024-09-22,1.8,,Marseille,fr Ligue 1,L 2-3,2,3,-1,63,2,0,1,1,1.8,0.45,-1.2,Match Report
828,Atlético Madrid,2025-02-08,1.8,@,Real Madrid,es La Liga,D 1-1,1,1,0,40,0,1,1,0,1.8,0.21,+0.8,Match Report
829,Atlético Madrid,2024-12-21,1.8,@,Barcelona,es La Liga,W 2-1,2,1,+1,38,2,0,0,0,1.8,0.27,+0.8,Match Report
830,Valencia,2024-12-22,1.8,,Alavés,es La Liga,D 2-2,2,2,0,62,1,1,1,0,1.8,0.28,-0.2,Match Report
831,Juventus,2025-02-07,1.8,@,Como,it Serie A,W 2-1,2,1,+1,48,1,1,1,0,1.8,0.30,+0.8,Match Report
832,Real Sociedad,2025-04-06,1.8,@,Las Palmas,es La Liga,W 3-1,3,1,+2,49,3,0,0,0,1.8,0.35,+0.8,Match Report
833,Parma,2025-01-05,1.8,@,Torino,it Serie A,D 0-0,0,0,0,38,0,0,0,0,1.8,0.45,+1.8,Match Report
834,Eint Frankfurt,2025-01-26,1.8,@,Hoffenheim,de Bundesliga,D 2-2,2,2,0,49,1,1,1,0,1.8,0.23,-0.2,Match Report
835,Eint Frankfurt,2024-09-21,1.8,,Gladbach,de Bundesliga,W 2-0,2,0,+2,37,2,0,0,0,1.8,0.26,+1.8,Match Report
836,Celta Vigo,2025-02-02,1.8,@,Valencia,es La Liga,L 1-2,1,2,-1,54,1,0,0,0,1.8,0.41,-0.2,Match Report
837,Celta Vigo,2024-09-22,1.8,@,Athletic Club,es La Liga,L 1-3,1,3,-2,67,0,1,1,0,1.8,0.36,-1.2,Match Report
838,Brest,2025-01-18,1.8,@,Rennes,fr Ligue 1,W 2-1,2,1,+1,32,2,0,0,0,1.8,0.20,+0.8,Match Report
839,Brest,2024-08-25,1.8,@,Lens,fr Ligue 1,L 0-2,0,2,-2,48,0,0,0,0,1.8,0.20,+0.8,Match Report
840,Betis,2024-10-19,1.8,@,Osasuna,es La Liga,W 2-1,2,1,+1,45,2,0,0,0,1.8,0.30,+0.8,Match Report
841,Fulham,2025-04-01,1.8,@,Arsenal,eng Premier League,L 1-2,1,2,-1,49,1,0,0,0,1.8,0.46,-0.2,Match Report
842,Fulham,2025-03-08,1.8,@,Brighton,eng Premier League,L 1-2,1,2,-1,47,1,0,0,0,1.8,0.28,-0.2,Match Report
843,Lecce,2025-01-11,1.8,@,Empoli,it Serie A,W 3-1,3,1,+2,50,3,0,0,0,1.8,0.36,+0.8,Match Report
844,Lecce,2024-09-27,1.8,@,Milan,it Serie A,L 0-3,0,3,-3,43,0,0,0,0,1.8,0.31,-1.2,Match Report
845,Lecce,2024-08-24,1.8,@,Inter,it Serie A,L 0-2,0,2,-2,39,0,0,0,0,1.8,0.31,-0.2,Match Report
846,Hoffenheim,2024-10-06,1.7,@,Stuttgart,de Bundesliga,D 1-1,1,1,0,33,1,0,0,0,1.7,0.12,+0.7,Match Report
847,Osasuna,2024-12-02,1.7,@,Sevilla,es La Liga,D 1-1,1,1,0,36,1,0,0,0,1.7,0.34,+0.7,Match Report
848,Udinese,2024-08-24,1.7,,Lazio,it Serie A,W 2-1,2,1,+1,34,2,0,0,0,1.7,0.45,+0.7,Match Report
849,Bayern Munich,2025-03-29,1.7,,St. Pauli,de Bundesliga,W 3-2,3,2,+1,65,3,0,0,0,1.7,0.43,-0.3,Match Report
850,Hellas Verona,2025-04-06,1.7,@,Torino,it Serie A,D 1-1,1,1,0,39,1,0,0,0,1.7,0.36,+0.7,Match Report
851,Hellas Verona,2024-10-21,1.7,,Monza,it Serie A,L 0-3,0,3,-3,59,0,0,0,0,1.7,0.43,-1.3,Match Report
852,Hellas Verona,2024-09-29,1.7,@,Como,it Serie A,L 2-3,2,3,-1,29,1,1,1,0,1.7,0.16,-1.3,Match Report
853,Torino,2024-11-24,1.7,,Monza,it Serie A,D 1-1,1,1,0,54,1,0,0,0,1.7,0.28,+0.7,Match Report
854,Arsenal,2024-12-21,1.7,@,Crystal Palace,eng Premier League,W 5-1,5,1,+4,58,5,0,0,0,1.7,0.28,+0.7,Match Report
855,Manchester Utd,2024-12-30,1.7,,Newcastle Utd,eng Premier League,L 0-2,0,2,-2,52,0,0,0,0,1.7,0.42,-0.3,Match Report
856,Manchester Utd,2024-11-24,1.7,@,Ipswich Town,eng Premier League,D 1-1,1,1,0,60,1,0,0,0,1.7,0.28,+0.7,Match Report
857,Monza,2025-03-02,1.7,,Torino,it Serie A,L 0-2,0,2,-2,53,0,0,0,0,1.7,0.24,-0.3,Match Report
858,Montpellier,2025-02-09,1.7,@,Strasbourg,fr Ligue 1,L 0-2,0,2,-2,41,0,0,0,0,1.7,0.40,-0.3,Match Report
859,Como,2024-12-23,1.7,@,Inter,it Serie A,L 0-2,0,2,-2,38,0,0,0,0,1.7,0.35,-0.3,Match Report
860,Villarreal,2024-10-20,1.7,,Getafe,es La Liga,D 1-1,1,1,0,56,1,0,0,0,1.7,0.19,+0.7,Match Report
861,Mallorca,2025-04-05,1.7,,Celta Vigo,es La Liga,L 1-2,1,2,-1,45,1,0,0,0,1.7,0.42,-0.3,Match Report
862,Holstein Kiel,2025-03-29,1.7,,Werder Bremen,de Bundesliga,L 0-3,0,3,-3,55,0,0,0,0,1.7,0.25,-1.3,Match Report
863,Holstein Kiel,2025-01-18,1.7,,Hoffenheim,de Bundesliga,L 1-3,1,3,-2,53,1,0,0,0,1.7,0.28,-1.3,Match Report
864,Holstein Kiel,2024-11-09,1.7,@,Werder Bremen,de Bundesliga,L 1-2,1,2,-1,40,1,0,0,0,1.7,0.34,-0.3,Match Report
865,Athletic Club,2024-08-24,1.7,@,Barcelona,es La Liga,L 1-2,1,2,-1,36,0,1,1,0,1.7,0.33,-0.3,Match Report
866,Tottenham,2024-12-01,1.7,,Fulham,eng Premier League,D 1-1,1,1,0,51,1,0,0,0,1.7,0.28,+0.7,Match Report
867,Toulouse,2024-10-05,1.7,@,Lille,fr Ligue 1,L 1-2,1,2,-1,43,1,0,0,0,1.7,0.55,-0.3,Match Report
868,Fiorentina,2025-01-04,1.7,,Napoli,it Serie A,L 0-3,0,3,-3,48,0,0,0,0,1.7,0.23,-1.3,Match Report
869,Fiorentina,2024-10-31,1.7,@,Genoa,it Serie A,W 1-0,1,0,+1,67,1,0,0,0,1.7,0.41,+1.7,Match Report
870,Crystal Palace,2025-01-26,1.7,,Brentford,eng Premier League,L 1-2,1,2,-1,47,1,0,0,0,1.7,0.18,-0.3,Match Report
871,Crystal Palace,2024-11-02,1.7,@,Wolves,eng Premier League,D 2-2,2,2,0,43,2,0,0,0,1.7,0.29,-0.3,Match Report
872,Bournemouth,2024-12-08,1.7,@,Ipswich Town,eng Premier League,W 2-1,2,1,+1,56,2,0,0,0,1.7,0.34,+0.7,Match Report
873,Bournemouth,2024-08-17,1.7,@,Nott'ham Forest,eng Premier League,D 1-1,1,1,0,47,1,0,0,0,1.7,0.23,+0.7,Match Report
874,Real Madrid,2024-10-19,1.7,@,Celta Vigo,es La Liga,W 2-1,2,1,+1,53,2,0,0,0,1.7,0.35,+0.7,Match Report
875,St. Pauli,2024-12-14,1.7,,Werder Bremen,de Bundesliga,L 0-2,0,2,-2,56,0,0,0,0,1.7,0.43,-0.3,Match Report
876,St. Pauli,2024-11-29,1.7,,Holstein Kiel,de Bundesliga,W 3-1,3,1,+2,49,3,0,0,0,1.7,0.32,+0.7,Match Report
877,Marseille,2025-04-06,1.7,,Toulouse,fr Ligue 1,W 3-2,3,2,+1,67,2,0,0,0,1.7,0.58,-0.3,Match Report
878,Marseille,2025-03-29,1.7,@,Reims,fr Ligue 1,L 1-3,1,3,-2,80,1,0,0,0,1.7,0.33,-1.3,Match Report
879,Marseille,2024-08-17,1.7,@,Brest,fr Ligue 1,W 5-1,5,1,+4,50,3,2,2,0,1.7,0.15,+0.7,Match Report
880,Stuttgart,2025-03-08,1.7,@,Holstein Kiel,de Bundesliga,D 2-2,2,2,0,48,2,0,0,0,1.7,0.33,-0.3,Match Report
881,Auxerre,2024-11-08,1.7,@,Marseille,fr Ligue 1,W 3-1,3,1,+2,26,3,0,0,0,1.7,0.16,+0.7,Match Report
882,Genoa,2024-12-21,1.7,,Napoli,it Serie A,L 1-2,1,2,-1,38,1,0,0,0,1.7,0.87,-0.3,Match Report
883,Genoa,2024-11-07,1.7,,Como,it Serie A,D 1-1,1,1,0,42,1,0,0,0,1.7,0.22,+0.7,Match Report
884,Genoa,2024-10-19,1.7,,Bologna,it Serie A,D 2-2,2,2,0,39,2,0,0,0,1.7,0.25,-0.3,Match Report
885,Genoa,2024-09-28,1.7,,Juventus,it Serie A,L 0-3,0,3,-3,35,0,0,0,0,1.7,0.25,-1.3,Match Report
886,Lazio,2025-03-10,1.7,,Udinese,it Serie A,D 1-1,1,1,0,49,1,0,0,0,1.7,0.47,+0.7,Match Report
887,Lazio,2024-09-29,1.7,@,Torino,it Serie A,W 3-2,3,2,+1,43,3,0,0,0,1.7,0.24,-0.3,Match Report
888,Getafe,2025-01-12,1.7,@,Las Palmas,es La Liga,W 2-1,2,1,+1,37,2,0,0,0,1.7,0.14,+0.7,Match Report
889,Union Berlin,2024-10-27,1.7,,Eint Frankfurt,de Bundesliga,D 1-1,1,1,0,48,1,0,0,0,1.7,0.36,+0.7,Match Report
890,West Ham,2025-02-15,1.7,,Brentford,eng Premier League,L 0-1,0,1,-1,58,0,0,0,0,1.7,0.39,+0.7,Match Report
891,Reims,2024-11-03,1.7,@,Toulouse,fr Ligue 1,L 0-1,0,1,-1,49,0,0,0,0,1.7,0.34,+0.7,Match Report
892,Liverpool,2024-11-24,1.7,@,Southampton,eng Premier League,W 3-2,3,2,+1,62,2,1,1,0,1.7,0.19,-0.3,Match Report
893,Liverpool,2024-10-27,1.7,@,Arsenal,eng Premier League,D 2-2,2,2,0,55,2,0,0,0,1.7,0.58,-0.3,Match Report
894,Aston Villa,2025-02-01,1.7,@,Wolves,eng Premier League,L 0-2,0,2,-2,68,0,0,0,0,1.7,0.34,-0.3,Match Report
895,Wolves,2025-02-25,1.7,,Fulham,eng Premier League,L 1-2,1,2,-1,60,1,0,0,0,1.7,0.35,-0.3,Match Report
896,Wolves,2024-09-15,1.7,,Newcastle Utd,eng Premier League,L 1-2,1,2,-1,49,1,0,0,0,1.7,0.29,-0.3,Match Report
897,Wolves,2024-08-31,1.7,@,Nott'ham Forest,eng Premier League,D 1-1,1,1,0,48,1,0,0,0,1.7,0.35,+0.7,Match Report
898,Wolves,2024-08-17,1.7,@,Arsenal,eng Premier League,L 0-2,0,2,-2,47,0,0,0,0,1.7,0.28,-0.3,Match Report
899,Alavés,2024-12-22,1.7,@,Valencia,es La Liga,D 2-2,2,2,0,38,1,1,1,0,1.7,0.31,-0.3,Match Report
900,Alavés,2024-08-16,1.7,@,Celta Vigo,es La Liga,L 1-2,1,2,-1,37,1,0,0,0,1.7,0.43,-0.3,Match Report
901,Girona,2025-02-23,1.7,@,Real Madrid,es La Liga,L 0-2,0,2,-2,37,0,0,0,0,1.7,0.35,-0.3,Match Report
902,Girona,2024-12-14,1.7,@,Mallorca,es La Liga,L 1-2,1,2,-1,68,1,0,0,0,1.7,0.87,-0.3,Match Report
903,Atalanta,2024-12-22,1.7,,Empoli,it Serie A,W 3-2,3,2,+1,65,3,0,0,0,1.7,0.24,-0.3,Match Report
904,Rayo Vallecano,2025-01-10,1.7,,Celta Vigo,es La Liga,W 2-1,2,1,+1,50,2,0,0,0,1.7,0.24,+0.7,Match Report
905,Rayo Vallecano,2024-12-01,1.7,,Athletic Club,es La Liga,L 1-2,1,2,-1,48,1,0,0,0,1.7,0.24,-0.3,Match Report
906,Rayo Vallecano,2024-08-27,1.7,,Barcelona,es La Liga,L 1-2,1,2,-1,36,1,0,0,0,1.7,0.34,-0.3,Match Report
907,Mainz 05,2025-01-19,1.7,@,Union Berlin,de Bundesliga,L 1-2,1,2,-1,66,0,1,1,0,1.7,0.18,-0.3,Match Report
908,Mainz 05,2024-10-19,1.7,,RB Leipzig,de Bundesliga,L 0-2,0,2,-2,53,0,0,0,0,1.7,0.34,-0.3,Match Report
909,Mainz 05,2024-09-28,1.7,,Heidenheim,de Bundesliga,L 0-2,0,2,-2,50,0,0,0,0,1.7,0.31,-0.3,Match Report
910,Leicester City,2025-03-16,1.7,,Manchester Utd,eng Premier League,L 0-3,0,3,-3,53,0,0,0,0,1.7,0.33,-1.3,Match Report
911,Leicester City,2024-10-25,1.7,,Nott'ham Forest,eng Premier League,L 1-3,1,3,-2,65,1,0,0,0,1.7,0.34,-1.3,Match Report
912,Empoli,2024-11-30,1.7,@,Milan,it Serie A,L 0-3,0,3,-3,45,0,0,0,0,1.7,0.42,-1.3,Match Report
913,Espanyol,2025-02-09,1.7,@,Real Sociedad,es La Liga,L 1-2,1,2,-1,32,0,1,1,0,1.7,0.56,-0.3,Match Report
914,RB Leipzig,2025-03-01,1.7,,Mainz 05,de Bundesliga,L 1-2,1,2,-1,49,1,0,0,0,1.7,0.56,-0.3,Match Report
915,RB Leipzig,2025-01-12,1.7,,Werder Bremen,de Bundesliga,W 4-2,4,2,+2,49,4,0,0,0,1.7,0.84,-0.3,Match Report
916,RB Leipzig,2024-10-26,1.7,,Freiburg,de Bundesliga,W 3-1,3,1,+2,43,3,0,0,0,1.7,0.34,+0.7,Match Report
917,Sevilla,2025-04-06,1.7,,Atlético Madrid,es La Liga,L 1-2,1,2,-1,44,1,0,0,0,1.7,0.18,-0.3,Match Report
918,Sevilla,2025-03-30,1.7,@,Betis,es La Liga,L 1-2,1,2,-1,45,1,0,0,0,1.7,0.58,-0.3,Match Report
919,Sevilla,2024-09-01,1.7,,Girona,es La Liga,L 0-2,0,2,-2,50,0,0,0,0,1.7,0.24,-0.3,Match Report
920,Dortmund,2024-09-13,1.7,,Heidenheim,de Bundesliga,W 4-2,4,2,+2,60,3,1,1,0,1.7,0.21,-0.3,Match Report
921,Newcastle Utd,2024-10-19,1.7,,Brighton,eng Premier League,L 0-1,0,1,-1,60,0,0,0,0,1.7,0.34,+0.7,Match Report
922,Strasbourg,2025-03-02,1.7,@,Auxerre,fr Ligue 1,W 1-0,1,0,+1,55,1,0,0,0,1.7,0.35,+1.7,Match Report
923,Strasbourg,2025-01-05,1.7,,Auxerre,fr Ligue 1,W 3-1,3,1,+2,60,2,1,1,0,1.7,0.26,+0.7,Match Report
924,Cagliari,2024-10-25,1.7,@,Udinese,it Serie A,L 0-2,0,2,-2,36,0,0,0,0,1.7,0.45,-0.3,Match Report
925,Cagliari,2024-10-20,1.7,,Torino,it Serie A,W 3-2,3,2,+1,41,2,0,0,0,1.7,0.34,-0.3,Match Report
926,Leverkusen,2025-01-18,1.7,,Gladbach,de Bundesliga,W 3-1,3,1,+2,55,2,1,1,0,1.7,0.42,+0.7,Match Report
