Rk,Team,Date,PSxG,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,PSxG,PSxG/SoT,PSxG+/-,Match Report
41,Montpellier,2025-01-12,4.3,,Angers,fr Ligue 1,L 1-3,1,3,-2,58,0,1,1,0,4.3,0.53,+1.3,Match Report
42,Le Havre,2025-03-16,4.3,@,Lyon,fr Ligue 1,L 2-4,2,4,-2,33,1,1,1,0,4.3,0.50,+0.3,Match Report
43,Angers,2024-12-07,4.3,,Lyon,fr Ligue 1,L 0-3,0,3,-3,37,0,0,0,0,4.3,0.43,+1.3,Match Report
44,Leicester City,2024-12-14,4.3,@,Newcastle Utd,eng Premier League,L 0-4,0,4,-4,41,0,0,0,0,4.3,0.39,+0.3,Match Report
45,Brighton,2025-02-01,4.3,@,Nott'ham Forest,eng Premier League,L 0-7,0,7,-7,62,0,0,0,0,4.3,0.43,-1.7,Match Report
46,Saint-Étienne,2025-02-01,4.3,@,Lille,fr Ligue 1,L 1-4,1,4,-3,33,0,1,1,0,4.3,0.27,+0.3,Match Report
47,Hellas Verona,2024-10-26,4.2,@,Atalanta,it Serie A,L 1-6,1,6,-5,31,1,0,0,0,4.2,0.47,-1.8,Match Report
48,Torino,2024-08-25,4.2,,Atalanta,it Serie A,W 2-1,2,1,+1,42,2,0,0,0,4.2,0.42,+3.2,Match Report
49,Valladolid,2024-10-26,4.2,,Villarreal,es La Liga,L 1-2,1,2,-1,45,0,1,1,0,4.2,0.53,+2.2,Match Report
50,Freiburg,2024-10-26,4.2,@,RB Leipzig,de Bundesliga,L 1-3,1,3,-2,57,1,0,0,0,4.2,0.46,+1.2,Match Report
51,Saint-Étienne,2025-03-29,4.2,,Paris S-G,fr Ligue 1,L 1-6,1,6,-5,47,1,0,0,0,4.2,0.32,-1.8,Match Report
52,Lyon,2025-02-02,4.2,@,Marseille,fr Ligue 1,L 2-3,2,3,-1,37,1,1,1,0,4.2,0.40,+1.2,Match Report
53,Parma,2024-12-22,4.2,@,Roma,it Serie A,L 0-5,0,5,-5,41,0,0,0,0,4.2,0.29,-0.8,Match Report
54,Southampton,2024-11-24,4.1,,Liverpool,eng Premier League,L 2-3,2,3,-1,38,2,0,1,1,4.1,0.28,+1.1,Match Report
55,Tottenham,2024-12-08,4.1,,Chelsea,eng Premier League,L 3-4,3,4,-1,39,3,0,0,0,4.1,0.30,+0.1,Match Report
56,Wolfsburg,2024-12-13,4.1,@,Freiburg,de Bundesliga,L 2-3,2,3,-1,47,2,0,0,0,4.1,0.47,+1.1,Match Report
57,Auxerre,2025-02-01,4.1,@,Monaco,fr Ligue 1,L 2-4,2,4,-2,43,1,1,1,0,4.1,0.68,+0.1,Match Report
58,West Ham,2024-12-29,4.1,,Liverpool,eng Premier League,L 0-5,0,5,-5,46,0,0,0,0,4.1,0.31,-0.9,Match Report
59,Aston Villa,2025-02-25,4.1,@,Crystal Palace,eng Premier League,L 1-4,1,4,-3,64,1,0,0,0,4.1,0.69,+0.1,Match Report
60,Newcastle Utd,2025-01-18,4.1,,Bournemouth,eng Premier League,L 1-4,1,4,-3,56,1,0,0,0,4.1,0.41,+0.1,Match Report
61,Valladolid,2024-08-31,4.0,@,Barcelona,es La Liga,L 0-7,0,7,-7,30,0,0,0,0,4.0,0.36,-3.0,Match Report
62,Monza,2025-02-09,4.0,@,Lazio,it Serie A,L 1-5,1,5,-4,39,0,1,1,0,4.0,0.45,-1.0,Match Report
63,Girona,2025-02-08,4.0,@,Athletic Club,es La Liga,L 0-3,0,3,-3,55,0,0,0,0,4.0,0.38,+1.0,Match Report
64,Freiburg,2024-12-21,4.0,@,Leverkusen,de Bundesliga,L 1-5,1,5,-4,33,1,0,0,0,4.0,0.29,-1.0,Match Report
65,Dortmund,2025-01-14,4.0,@,Holstein Kiel,de Bundesliga,L 2-4,2,4,-2,75,2,0,0,0,4.0,0.57,0.0,Match Report
66,Brest,2025-02-01,4.0,,Paris S-G,fr Ligue 1,L 2-5,2,5,-3,35,2,0,0,0,4.0,0.58,-1.0,Match Report
67,St. Pauli,2024-09-15,3.9,@,Augsburg,de Bundesliga,L 1-3,1,3,-2,56,1,0,0,0,3.9,0.48,+0.9,Match Report
68,Alavés,2024-10-06,3.9,,Barcelona,es La Liga,L 0-3,0,3,-3,29,0,0,0,0,3.9,0.46,+0.9,Match Report
69,Dortmund,2024-09-22,3.9,@,Stuttgart,de Bundesliga,L 1-5,1,5,-4,48,1,0,0,0,3.9,0.43,-1.1,Match Report
70,Bochum,2024-10-27,3.9,,Bayern Munich,de Bundesliga,L 0-5,0,5,-5,28,0,0,0,0,3.9,0.39,-1.1,Match Report
71,Montpellier,2024-08-23,3.8,@,Paris S-G,fr Ligue 1,L 0-6,0,6,-6,32,0,0,0,0,3.8,0.34,-2.2,Match Report
72,Holstein Kiel,2024-08-24,3.8,@,Hoffenheim,de Bundesliga,L 2-3,2,3,-1,46,2,0,0,0,3.8,0.37,+0.8,Match Report
73,Gladbach,2025-01-14,3.8,@,Wolfsburg,de Bundesliga,L 1-5,1,5,-4,65,1,0,0,0,3.8,0.61,-1.2,Match Report
74,Bournemouth,2024-09-21,3.8,@,Liverpool,eng Premier League,L 0-3,0,3,-3,42,0,0,0,0,3.8,0.32,+0.8,Match Report
75,Reims,2025-02-28,3.8,@,Monaco,fr Ligue 1,L 0-3,0,3,-3,44,0,0,0,0,3.8,0.43,+0.8,Match Report
76,Bochum,2024-09-14,3.8,@,Freiburg,de Bundesliga,L 1-2,1,2,-1,46,1,0,0,0,3.8,0.49,+1.8,Match Report
77,Ipswich Town,2025-01-19,3.8,,Manchester City,eng Premier League,L 0-6,0,6,-6,33,0,0,0,0,3.8,0.43,-2.2,Match Report
78,Strasbourg,2024-08-30,3.8,@,Lyon,fr Ligue 1,L 3-4,3,4,-1,52,3,0,0,0,3.8,0.32,-0.2,Match Report
79,Juventus,2025-03-09,3.8,,Atalanta,it Serie A,L 0-4,0,4,-4,63,0,0,0,0,3.8,0.34,-0.2,Match Report
80,Nott'ham Forest,2025-01-25,3.8,@,Bournemouth,eng Premier League,L 0-5,0,5,-5,50,0,0,0,0,3.8,0.38,-1.2,Match Report
81,Eint Frankfurt,2024-10-06,3.8,,Bayern Munich,de Bundesliga,D 3-3,3,3,0,26,3,0,0,0,3.8,0.31,+0.8,Match Report
