Rk,Team,Date,Att (GK),,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Att (GK),Thr,Launch%,AvgLen,Match Report
176,Everton,2024-12-01,43,@,Manchester Utd,eng Premier League,L 0-4,0,4,-4,40,0,0,0,0,43,4,39.5,33.6,Match Report
177,Everton,2024-08-17,43,,Brighton,eng Premier League,L 0-3,0,3,-3,40,0,0,0,0,43,4,69.8,47.7,Match Report
178,Inter,2025-04-05,43,@,Parma,it Serie A,D 2-2,2,2,0,63,2,0,0,0,43,8,7.0,25.8,Match Report
179,Inter,2025-03-01,43,@,Napoli,it Serie A,D 1-1,1,1,0,38,1,0,0,0,43,5,41.9,38.1,Match Report
180,Inter,2024-12-28,43,@,Cagliari,it Serie A,W 3-0,3,0,+3,65,2,1,1,0,43,5,7.0,26.1,Match Report
181,Milan,2024-11-30,43,,Empoli,it Serie A,W 3-0,3,0,+3,55,3,0,0,0,43,3,39.5,37.7,Match Report
182,Bayern Munich,2024-09-14,42,@,Holstein Kiel,de Bundesliga,W 6-1,6,1,+5,70,4,1,1,0,42,0,14.3,24.0,Match Report
183,Torino,2024-11-09,42,@,Juventus,it Serie A,L 0-2,0,2,-2,46,0,0,0,0,42,3,47.6,39.3,Match Report
184,Valladolid,2025-03-15,42,,Celta Vigo,es La Liga,L 0-1,0,1,-1,39,0,0,0,0,42,4,54.8,44.4,Match Report
185,Manchester Utd,2024-09-21,42,@,Crystal Palace,eng Premier League,D 0-0,0,0,0,67,0,0,0,0,42,5,16.7,22.5,Match Report
186,Bologna,2024-12-30,42,,Hellas Verona,it Serie A,L 2-3,2,3,-1,67,2,0,0,0,42,3,33.3,34.0,Match Report
187,Barcelona,2025-02-17,42,,Rayo Vallecano,es La Liga,W 1-0,1,0,+1,59,0,1,1,0,42,7,9.5,25.4,Match Report
188,Monza,2025-01-18,42,@,Bologna,it Serie A,L 1-3,1,3,-2,42,1,0,0,0,42,3,42.9,36.5,Match Report
189,Montpellier,2024-12-01,42,,Lille,fr Ligue 1,D 2-2,2,2,0,42,2,0,0,0,42,2,47.6,37.8,Match Report
