Rk,Team,Date,PKA,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,PKatt,PKA,PKsv,PKm,Save%,PKA,FK,CK,OG,Match Report
45,Torino,2025-02-14,1,@,Bologna,it Serie A,L 2-3,2,3,-1,35,2,0,0,0,1,1,0,0,0.0,1,0,0,1,Match Report
46,Nice,2024-12-01,1,@,Lyon,fr Ligue 1,L 1-4,1,4,-3,47,1,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
47,Nice,2024-09-01,1,@,Angers,fr Ligue 1,W 4-1,4,1,+3,46,4,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
48,Valladolid,2025-03-15,1,,Celta Vigo,es La Liga,L 0-1,0,1,-1,39,0,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
49,Valladolid,2025-01-25,1,,Real Madrid,es La Liga,L 0-3,0,3,-3,32,0,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
50,Valladolid,2024-11-02,1,@,Osasuna,es La Liga,L 0-1,0,1,-1,51,0,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
51,Arsenal,2025-04-05,1,@,Everton,eng Premier League,D 1-1,1,1,0,69,1,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
52,Arsenal,2025-01-04,1,@,Brighton,eng Premier League,D 1-1,1,1,0,55,1,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
53,Arsenal,2024-10-19,1,@,Bournemouth,eng Premier League,L 0-2,0,2,-2,51,0,0,0,0,1,1,0,0,0.0,1,0,1,0,Match Report
54,Heidenheim,2025-02-23,1,@,RB Leipzig,de Bundesliga,D 2-2,2,2,0,26,1,1,1,0,1,1,0,0,0.0,1,0,0,0,Match Report
55,Heidenheim,2025-01-18,1,,St. Pauli,de Bundesliga,L 0-2,0,2,-2,60,0,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
56,Heidenheim,2024-12-15,1,,Stuttgart,de Bundesliga,L 1-3,1,3,-2,34,1,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
57,Heidenheim,2024-10-19,1,@,Gladbach,de Bundesliga,L 2-3,2,3,-1,34,1,1,1,0,1,1,0,0,0.0,1,0,1,0,Match Report
58,Heidenheim,2024-09-13,1,@,Dortmund,de Bundesliga,L 2-4,2,4,-2,40,1,1,1,0,1,1,0,0,0.0,1,0,0,0,Match Report
59,Manchester Utd,2025-01-05,1,@,Liverpool,eng Premier League,D 2-2,2,2,0,47,2,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
60,Manchester Utd,2024-12-22,1,,Bournemouth,eng Premier League,L 0-3,0,3,-3,60,0,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
61,Manchester Utd,2024-10-27,1,@,West Ham,eng Premier League,L 1-2,1,2,-1,58,1,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
62,Bologna,2025-02-22,1,@,Parma,it Serie A,L 0-2,0,2,-2,74,0,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
63,Bologna,2025-01-12,1,,Roma,it Serie A,D 2-2,2,2,0,54,1,1,1,0,1,1,0,0,0.0,1,0,0,0,Match Report
64,Barcelona,2024-12-07,1,@,Betis,es La Liga,D 2-2,2,2,0,62,2,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
65,Barcelona,2024-09-28,1,@,Osasuna,es La Liga,L 2-4,2,4,-2,73,2,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
66,Barcelona,2024-08-24,1,,Athletic Club,es La Liga,W 2-1,2,1,+1,64,2,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
67,Monza,2025-01-13,1,,Fiorentina,it Serie A,W 2-1,2,1,+1,35,2,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
68,Monza,2024-12-28,1,@,Parma,it Serie A,L 1-2,1,2,-1,56,1,0,0,0,1,1,0,0,0.0,1,0,1,0,Match Report
69,Montpellier,2024-11-03,1,@,Le Havre,fr Ligue 1,L 0-1,0,1,-1,52,0,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
70,Montpellier,2024-10-06,1,@,Reims,fr Ligue 1,L 2-4,2,4,-2,52,2,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
71,Montpellier,2024-08-31,1,,Nantes,fr Ligue 1,L 1-3,1,3,-2,69,1,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
72,Como,2025-03-08,1,,Venezia,it Serie A,D 1-1,1,1,0,55,1,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
73,Como,2025-02-07,1,,Juventus,it Serie A,L 1-2,1,2,-1,52,1,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
74,Como,2024-11-30,1,,Monza,it Serie A,D 1-1,1,1,0,55,1,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
75,Como,2024-10-31,1,,Lazio,it Serie A,L 1-5,1,5,-4,51,1,0,0,0,1,1,0,0,0.0,1,0,1,0,Match Report
76,Como,2024-10-04,1,@,Napoli,it Serie A,L 1-3,1,3,-2,59,1,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
77,Como,2024-09-29,1,,Hellas Verona,it Serie A,W 3-2,3,2,+1,71,3,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
78,Como,2024-09-24,1,@,Atalanta,it Serie A,W 3-2,3,2,+1,41,2,0,0,0,1,1,0,0,0.0,1,0,1,0,Match Report
79,Villarreal,2024-12-22,1,@,Leganés,es La Liga,W 5-2,5,2,+3,64,3,2,2,0,1,1,0,0,0.0,1,0,0,0,Match Report
80,Villarreal,2024-11-24,1,@,Osasuna,es La Liga,D 2-2,2,2,0,59,1,1,1,0,1,1,0,0,0.0,1,0,0,0,Match Report
81,Villarreal,2024-10-26,1,@,Valladolid,es La Liga,W 2-1,2,1,+1,55,2,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
82,Villarreal,2024-10-20,1,,Getafe,es La Liga,D 1-1,1,1,0,56,1,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
83,Mallorca,2024-12-03,1,,Barcelona,es La Liga,L 1-5,1,5,-4,41,1,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
84,Mallorca,2024-11-29,1,,Valencia,es La Liga,W 2-1,2,1,+1,48,2,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
85,Mallorca,2024-11-23,1,@,Las Palmas,es La Liga,W 3-2,3,2,+1,39,3,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
86,Holstein Kiel,2024-12-07,1,,RB Leipzig,de Bundesliga,L 0-2,0,2,-2,56,0,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
87,Holstein Kiel,2024-11-24,1,,Mainz 05,de Bundesliga,L 0-3,0,3,-3,38,0,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
88,Holstein Kiel,2024-09-14,1,,Bayern Munich,de Bundesliga,L 1-6,1,6,-5,30,1,0,0,0,1,1,0,0,0.0,1,0,0,1,Match Report
89,Holstein Kiel,2024-08-24,1,@,Hoffenheim,de Bundesliga,L 2-3,2,3,-1,46,2,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
90,Athletic Club,2024-10-06,1,@,Girona,es La Liga,L 1-2,1,2,-1,34,1,0,2,2,1,1,0,0,0.0,1,0,0,0,Match Report
91,Athletic Club,2024-09-22,1,,Celta Vigo,es La Liga,W 3-1,3,1,+2,33,3,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
92,Gladbach,2025-03-15,1,@,Werder Bremen,de Bundesliga,W 4-2,4,2,+2,47,3,1,1,0,1,1,0,0,0.0,1,1,0,0,Match Report
93,Gladbach,2025-02-15,1,@,Union Berlin,de Bundesliga,W 2-1,2,1,+1,48,2,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
94,Gladbach,2025-01-18,1,@,Leverkusen,de Bundesliga,L 1-3,1,3,-2,45,1,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
95,Gladbach,2025-01-14,1,@,Wolfsburg,de Bundesliga,L 1-5,1,5,-4,65,1,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
96,Gladbach,2025-01-11,1,,Bayern Munich,de Bundesliga,L 0-1,0,1,-1,33,0,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
97,Gladbach,2024-12-21,1,@,Hoffenheim,de Bundesliga,W 2-1,2,1,+1,35,2,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
98,Gladbach,2024-10-19,1,,Heidenheim,de Bundesliga,W 3-2,3,2,+1,66,2,1,1,0,1,1,0,0,0.0,1,0,0,0,Match Report
99,Southampton,2025-04-06,1,@,Tottenham,eng Premier League,L 1-3,1,3,-2,49,1,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
100,Southampton,2025-01-25,1,,Newcastle Utd,eng Premier League,L 1-3,1,3,-2,53,1,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
101,Southampton,2025-01-04,1,,Brentford,eng Premier League,L 0-5,0,5,-5,50,0,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
102,Southampton,2024-11-24,1,,Liverpool,eng Premier League,L 2-3,2,3,-1,38,2,0,1,1,1,1,0,0,0.0,1,0,0,0,Match Report
103,Southampton,2024-10-19,1,,Leicester City,eng Premier League,L 2-3,2,3,-1,42,2,0,0,0,1,1,0,0,0.0,1,0,1,0,Match Report
104,Toulouse,2025-02-02,1,,Nice,fr Ligue 1,D 1-1,1,1,0,54,1,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
105,Fiorentina,2025-01-04,1,,Napoli,it Serie A,L 0-3,0,3,-3,48,0,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
106,Crystal Palace,2025-01-26,1,,Brentford,eng Premier League,L 1-2,1,2,-1,47,1,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
107,Bournemouth,2025-03-09,1,@,Tottenham,eng Premier League,D 2-2,2,2,0,39,2,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
108,Bournemouth,2025-02-25,1,@,Brighton,eng Premier League,L 1-2,1,2,-1,56,1,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
109,Bournemouth,2025-02-01,1,,Liverpool,eng Premier League,L 0-2,0,2,-2,49,0,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
110,Bournemouth,2024-12-16,1,,West Ham,eng Premier League,D 1-1,1,1,0,52,1,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
111,Wolfsburg,2025-03-29,1,,Heidenheim,de Bundesliga,L 0-1,0,1,-1,61,0,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
112,Wolfsburg,2024-09-14,1,,Eint Frankfurt,de Bundesliga,L 1-2,1,2,-1,60,1,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
113,Real Madrid,2025-03-01,1,@,Betis,es La Liga,L 1-2,1,2,-1,58,1,0,0,0,1,1,0,0,0.0,1,0,1,0,Match Report
114,Real Madrid,2025-02-15,1,@,Osasuna,es La Liga,D 1-1,1,1,0,55,1,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
115,Real Madrid,2025-02-08,1,,Atlético Madrid,es La Liga,D 1-1,1,1,0,60,1,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
116,St. Pauli,2025-03-08,1,@,Wolfsburg,de Bundesliga,D 1-1,1,1,0,43,1,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
117,Marseille,2025-02-22,1,@,Auxerre,fr Ligue 1,L 0-3,0,3,-3,79,0,0,0,0,1,1,0,0,0.0,1,0,1,0,Match Report
118,Marseille,2025-02-02,1,,Lyon,fr Ligue 1,W 3-2,3,2,+1,63,3,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
119,Stuttgart,2025-02-15,1,,Wolfsburg,de Bundesliga,L 1-2,1,2,-1,57,1,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
120,Stuttgart,2024-08-31,1,,Mainz 05,de Bundesliga,D 3-3,3,3,0,63,3,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
121,Auxerre,2025-01-05,1,@,Strasbourg,fr Ligue 1,L 1-3,1,3,-2,40,1,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
122,Auxerre,2024-12-01,1,@,Toulouse,fr Ligue 1,L 0-2,0,2,-2,48,0,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
123,Auxerre,2024-11-08,1,@,Marseille,fr Ligue 1,W 3-1,3,1,+2,26,3,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
124,Auxerre,2024-10-27,1,@,Lyon,fr Ligue 1,D 2-2,2,2,0,38,2,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
125,Auxerre,2024-09-01,1,@,Le Havre,fr Ligue 1,L 1-3,1,3,-2,50,1,0,0,0,1,1,0,0,0.0,1,0,0,1,Match Report
126,Le Havre,2025-03-16,1,@,Lyon,fr Ligue 1,L 2-4,2,4,-2,33,1,1,1,0,1,1,0,0,0.0,1,0,1,0,Match Report
127,Le Havre,2025-03-01,1,@,Lens,fr Ligue 1,W 4-3,4,3,+1,31,3,1,1,0,1,1,0,0,0.0,1,0,0,0,Match Report
128,Le Havre,2025-02-23,1,,Toulouse,fr Ligue 1,L 1-4,1,4,-3,54,1,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
129,Le Havre,2024-12-07,1,@,Nice,fr Ligue 1,L 1-2,1,2,-1,49,1,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
130,Le Havre,2024-08-16,1,,Paris S-G,fr Ligue 1,L 1-4,1,4,-3,24,1,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
131,Werder Bremen,2025-03-15,1,,Gladbach,de Bundesliga,L 2-4,2,4,-2,53,1,1,1,0,1,1,0,0,0.0,1,0,0,0,Match Report
132,Genoa,2025-03-14,1,,Lecce,it Serie A,W 2-1,2,1,+1,44,2,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
133,Genoa,2024-10-05,1,@,Atalanta,it Serie A,L 1-5,1,5,-4,37,1,0,0,0,1,1,0,0,0.0,1,0,1,0,Match Report
134,Genoa,2024-09-28,1,,Juventus,it Serie A,L 0-3,0,3,-3,35,0,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
135,Genoa,2024-09-01,1,,Hellas Verona,it Serie A,L 0-2,0,2,-2,58,0,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
136,Angers,2025-03-15,1,,Monaco,fr Ligue 1,L 0-2,0,2,-2,44,0,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
137,Angers,2025-01-12,1,@,Montpellier,fr Ligue 1,W 3-1,3,1,+2,42,3,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
138,Angers,2024-10-26,1,,Saint-Étienne,fr Ligue 1,W 4-2,4,2,+2,42,3,1,1,0,1,1,0,0,0.0,1,0,0,0,Match Report
139,Lazio,2025-02-09,1,,Monza,it Serie A,W 5-1,5,1,+4,61,5,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
140,Lazio,2024-12-16,1,,Inter,it Serie A,L 0-6,0,6,-6,52,0,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
141,Getafe,2025-03-16,1,@,Osasuna,es La Liga,W 2-1,2,1,+1,39,2,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
142,Getafe,2025-03-09,1,,Atlético Madrid,es La Liga,W 2-1,2,1,+1,39,2,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
143,Getafe,2025-02-23,1,,Betis,es La Liga,L 1-2,1,2,-1,49,1,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
144,Getafe,2024-12-21,1,,Mallorca,es La Liga,L 0-1,0,1,-1,54,0,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
145,Getafe,2024-12-01,1,@,Real Madrid,es La Liga,L 0-2,0,2,-2,31,0,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
146,Getafe,2024-09-18,1,@,Betis,es La Liga,L 1-2,1,2,-1,35,1,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
147,Union Berlin,2025-01-19,1,,Mainz 05,de Bundesliga,W 2-1,2,1,+1,34,1,1,1,0,1,1,0,0,0.0,1,0,0,0,Match Report
148,Union Berlin,2024-11-02,1,@,Bayern Munich,de Bundesliga,L 0-3,0,3,-3,23,0,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
149,West Ham,2025-01-18,1,,Crystal Palace,eng Premier League,L 0-2,0,2,-2,53,0,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
150,Leganés,2025-03-29,1,@,Real Madrid,es La Liga,L 2-3,2,3,-1,30,2,0,0,0,1,1,0,0,0.0,1,1,0,0,Match Report
151,Leganés,2025-03-16,1,,Betis,es La Liga,L 2-3,2,3,-1,36,2,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
152,Leganés,2025-02-15,1,,Alavés,es La Liga,D 3-3,3,3,0,43,1,2,2,0,1,1,0,0,0.0,1,0,0,0,Match Report
153,Leganés,2024-11-02,1,@,Girona,es La Liga,L 3-4,3,4,-1,46,3,0,0,0,1,1,0,0,0.0,1,0,0,1,Match Report
154,Leganés,2024-09-22,1,@,Getafe,es La Liga,D 1-1,1,1,0,41,1,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
155,Reims,2025-02-21,1,@,Rennes,fr Ligue 1,L 0-1,0,1,-1,42,0,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
156,Reims,2025-01-11,1,,Nice,fr Ligue 1,L 2-4,2,4,-2,54,2,0,0,0,1,1,0,0,0.0,1,0,1,0,Match Report
157,Reims,2024-10-26,1,,Brest,fr Ligue 1,L 1-2,1,2,-1,53,1,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
158,Aston Villa,2024-08-17,1,@,West Ham,eng Premier League,W 2-1,2,1,+1,48,2,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
159,Wolves,2025-02-16,1,@,Liverpool,eng Premier League,L 1-2,1,2,-1,50,1,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
160,Wolves,2024-10-05,1,@,Brentford,eng Premier League,L 3-5,3,5,-2,56,3,0,0,0,1,1,0,0,0.0,1,0,1,0,Match Report
161,Wolves,2024-09-28,1,,Liverpool,eng Premier League,L 1-2,1,2,-1,45,1,0,0,0,1,1,0,0,0.0,1,0,1,0,Match Report
162,Alavés,2025-03-14,1,@,Las Palmas,es La Liga,D 2-2,2,2,0,39,2,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
163,Alavés,2025-02-09,1,,Getafe,es La Liga,L 0-1,0,1,-1,65,0,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
164,Alavés,2024-12-22,1,@,Valencia,es La Liga,D 2-2,2,2,0,38,1,1,1,0,1,1,0,0,0.0,1,0,0,0,Match Report
165,Alavés,2024-11-23,1,@,Atlético Madrid,es La Liga,L 1-2,1,2,-1,30,0,1,1,0,1,1,0,0,0.0,1,0,0,0,Match Report
166,Alavés,2024-11-09,1,@,Villarreal,es La Liga,L 0-3,0,3,-3,38,0,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
167,Alavés,2024-09-28,1,@,Getafe,es La Liga,L 0-2,0,2,-2,54,0,0,0,0,1,1,0,0,0.0,1,1,0,0,Match Report
168,Alavés,2024-09-14,1,@,Espanyol,es La Liga,L 2-3,2,3,-1,61,2,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
169,Girona,2025-03-01,1,,Celta Vigo,es La Liga,D 2-2,2,2,0,51,2,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
170,Girona,2025-02-08,1,@,Athletic Club,es La Liga,L 0-3,0,3,-3,55,0,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
171,Atalanta,2024-12-22,1,,Empoli,it Serie A,W 3-2,3,2,+1,65,3,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
172,Rayo Vallecano,2025-04-04,1,,Espanyol,es La Liga,L 0-4,0,4,-4,69,0,0,0,0,1,1,0,0,0.0,1,0,1,0,Match Report
173,Rayo Vallecano,2025-02-17,1,@,Barcelona,es La Liga,L 0-1,0,1,-1,41,0,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
174,Rayo Vallecano,2024-12-22,1,@,Betis,es La Liga,D 1-1,1,1,0,45,1,0,0,0,1,1,0,0,0.0,1,0,0,0,Match Report
