Rk,Team,Date,Att,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Att,Launch%,AvgLen,Match Report
183,Roma,2024-11-24,13,@,Napoli,it Serie A,L 0-1,0,1,-1,37,0,0,0,0,13,92.3,61.2,Match Report
184,Everton,2025-04-05,13,,Arsenal,eng Premier League,D 1-1,1,1,0,31,0,1,1,0,13,53.8,44.4,Match Report
185,Nantes,2025-02-15,13,@,Monaco,fr Ligue 1,L 1-7,1,7,-6,35,1,0,0,0,13,100.0,56.5,Match Report
186,Atlético Madrid,2025-02-15,13,,Celta Vigo,es La Liga,D 1-1,1,1,0,34,1,0,0,0,13,69.2,49.5,Match Report
187,Milan,2025-02-27,13,@,Bologna,it Serie A,L 1-2,1,2,-1,43,1,0,0,0,13,30.8,34.4,Match Report
188,Milan,2025-02-02,13,,Inter,it Serie A,D 1-1,1,1,0,37,1,0,0,0,13,53.8,44.2,Match Report
189,Valencia,2025-02-09,13,,Leganés,es La Liga,W 2-0,2,0,+2,44,2,0,0,0,13,61.5,44.9,Match Report
190,Valencia,2024-09-15,13,@,Atlético Madrid,es La Liga,L 0-3,0,3,-3,47,0,0,0,0,13,76.9,56.2,Match Report
191,Real Sociedad,2024-08-28,13,,Alavés,es La Liga,L 1-2,1,2,-1,53,1,0,0,0,13,76.9,55.1,Match Report
192,Nott'ham Forest,2025-01-14,13,,Liverpool,eng Premier League,D 1-1,1,1,0,30,1,0,0,0,13,76.9,50.1,Match Report
193,Nott'ham Forest,2024-11-23,13,@,Arsenal,eng Premier League,L 0-3,0,3,-3,34,0,0,0,0,13,46.2,40.8,Match Report
194,Nott'ham Forest,2024-08-17,13,,Bournemouth,eng Premier League,D 1-1,1,1,0,53,1,0,0,0,13,23.1,22.5,Match Report
