Rk,Team,Date,Carries,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
15,Paris S-G,2024-11-22,650,,Toulouse,fr Ligue 1,W 3-0,3,0,+3,72,3,0,0,0,650,3306,1568,32,23,13,13,5,707,59,Match Report
16,Bayern Munich,2024-11-09,649,@,St. Pauli,de Bundesliga,W 1-0,1,0,+1,75,1,0,0,0,649,3474,1718,15,19,3,16,8,764,65,Match Report
17,Celta Vigo,2024-11-30,648,@,Espanyol,es La Liga,L 1-3,1,3,-2,78,0,1,1,0,648,3413,1717,29,20,10,21,12,671,64,Match Report
18,Bayern Munich,2024-11-02,643,,Union Berlin,de Bundesliga,W 3-0,3,0,+3,77,2,1,1,0,643,3397,1778,27,19,9,7,4,814,79,Match Report
19,Bayern Munich,2024-09-14,642,@,Holstein Kiel,de Bundesliga,W 6-1,6,1,+5,70,4,1,1,0,642,2669,1154,22,14,10,9,6,755,66,Match Report
20,Real Madrid,2025-02-01,642,@,Espanyol,es La Liga,L 0-1,0,1,-1,76,0,0,0,0,642,3781,2119,40,28,10,8,12,751,85,Match Report
21,Paris S-G,2024-08-23,641,,Montpellier,fr Ligue 1,W 6-0,6,0,+6,68,6,0,0,0,641,3329,1760,37,29,15,17,2,708,61,Match Report
22,Barcelona,2024-11-03,637,,Espanyol,es La Liga,W 3-1,3,1,+2,76,3,0,0,0,637,3529,2072,27,28,5,12,11,715,63,Match Report
23,Marseille,2025-02-09,636,@,Angers,fr Ligue 1,W 2-0,2,0,+2,78,2,0,0,0,636,2830,1573,31,25,5,10,9,849,68,Match Report
24,Inter,2024-10-05,634,,Torino,it Serie A,W 3-2,3,2,+1,80,3,0,0,0,634,2971,1544,28,41,3,14,3,713,72,Match Report
25,Dortmund,2024-10-18,631,,St. Pauli,de Bundesliga,W 2-1,2,1,+1,74,2,0,0,0,631,2820,1505,15,33,3,13,10,738,59,Match Report
26,Inter,2024-10-30,629,@,Empoli,it Serie A,W 3-0,3,0,+3,77,3,0,0,0,629,2778,1331,18,18,7,11,5,706,73,Match Report
27,Strasbourg,2024-11-02,628,@,Saint-Étienne,fr Ligue 1,L 0-2,0,2,-2,64,0,0,0,0,628,2670,1518,22,15,5,13,8,684,62,Match Report
28,Marseille,2024-11-03,626,@,Nantes,fr Ligue 1,W 2-1,2,1,+1,73,2,0,0,0,626,3508,1918,25,16,9,16,12,759,66,Match Report
