Rk,Team,Date,Gls,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Gls,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Match Report
42,Liverpool,2024-12-29,5,@,West Ham,eng Premier League,W 5-0,5,0,+5,54,5,0,0,0,5,22,0.23,0.38,13,59.1,15.8,0,Match Report
43,Atalanta,2025-02-08,5,@,Hellas Verona,it Serie A,W 5-0,5,0,+5,62,5,0,0,0,5,17,0.29,0.71,7,41.2,12.5,0,Match Report
44,Atalanta,2024-10-05,5,,Genoa,it Serie A,W 5-1,5,1,+4,63,4,1,1,0,5,22,0.18,0.57,7,31.8,15.3,0,Match Report
45,Freiburg,2025-02-21,5,,Werder Bremen,de Bundesliga,W 5-0,5,0,+5,37,5,0,0,0,5,13,0.38,0.83,6,46.2,15.2,1,Match Report
46,Dortmund,2025-02-22,5,,Union Berlin,de Bundesliga,W 6-0,6,0,+6,64,5,0,0,0,5,24,0.21,0.63,8,33.3,12.8,0,Match Report
47,Rennes,2024-11-30,5,,Saint-Étienne,fr Ligue 1,W 5-0,5,0,+5,71,3,2,2,0,5,16,0.19,0.43,7,43.8,18.1,0,Match Report
48,Leverkusen,2024-12-21,5,,Freiburg,de Bundesliga,W 5-1,5,1,+4,67,5,0,1,1,5,19,0.26,0.45,11,57.9,15.6,0,Match Report
49,Leverkusen,2024-11-23,5,,Heidenheim,de Bundesliga,W 5-2,5,2,+3,78,5,0,0,0,5,20,0.25,0.50,10,50.0,17.8,0,Match Report
50,Brentford,2025-01-04,5,@,Southampton,eng Premier League,W 5-0,5,0,+5,50,4,1,1,0,5,19,0.21,0.44,9,47.4,13.6,0,Match Report
51,Brentford,2024-10-05,5,,Wolves,eng Premier League,W 5-3,5,3,+2,44,4,1,1,0,5,18,0.22,0.36,11,61.1,13.0,1,Match Report
52,Roma,2024-12-22,5,,Parma,it Serie A,W 5-0,5,0,+5,59,3,2,2,0,5,17,0.18,0.43,7,41.2,13.4,1,Match Report
53,Chelsea,2024-12-04,5,@,Southampton,eng Premier League,W 5-1,5,1,+4,55,5,0,0,0,5,26,0.19,0.45,11,42.3,12.6,1,Match Report
54,Inter,2024-11-23,5,@,Hellas Verona,it Serie A,W 5-0,5,0,+5,69,5,0,0,0,5,12,0.42,0.71,7,58.3,13.8,0,Match Report
55,Atlético Madrid,2024-11-30,5,@,Valladolid,es La Liga,W 5-0,5,0,+5,55,5,0,0,0,5,13,0.38,0.56,9,69.2,13.9,0,Match Report
56,Paris S-G,2025-02-01,5,@,Brest,fr Ligue 1,W 5-2,5,2,+3,65,5,0,0,0,5,14,0.36,0.71,7,50.0,12.4,0,Match Report
57,Hoffenheim,2024-11-23,4,,RB Leipzig,de Bundesliga,W 4-3,4,3,+1,59,4,0,0,0,4,20,0.20,0.57,7,35.0,15.3,1,Match Report
58,Osasuna,2024-09-28,4,,Barcelona,es La Liga,W 4-2,4,2,+2,27,3,1,1,0,4,10,0.30,0.75,4,40.0,19.2,0,Match Report
59,Bayern Munich,2025-02-23,4,,Eint Frankfurt,de Bundesliga,W 4-0,4,0,+4,63,4,0,0,0,4,19,0.21,0.40,10,52.6,13.1,0,Match Report
60,Bayern Munich,2025-02-01,4,,Holstein Kiel,de Bundesliga,W 4-3,4,3,+1,71,4,0,0,0,4,29,0.14,0.36,11,37.9,16.9,1,Match Report
61,Bayern Munich,2024-12-07,4,,Heidenheim,de Bundesliga,W 4-2,4,2,+2,82,4,0,0,0,4,21,0.19,0.40,10,47.6,15.8,0,Match Report
62,Bayern Munich,2024-10-19,4,,Stuttgart,de Bundesliga,W 4-0,4,0,+4,65,4,0,0,0,4,22,0.18,0.40,10,45.5,15.9,0,Match Report
63,Nice,2025-01-11,4,@,Reims,fr Ligue 1,W 4-2,4,2,+2,46,3,1,1,0,4,14,0.21,0.38,8,57.1,15.1,0,Match Report
64,Nice,2024-09-01,4,@,Angers,fr Ligue 1,W 4-1,4,1,+3,46,4,0,0,0,4,14,0.29,0.50,8,57.1,15.3,0,Match Report
65,Heidenheim,2024-09-01,4,,Augsburg,de Bundesliga,W 4-0,4,0,+4,36,3,1,1,0,4,14,0.21,0.43,7,50.0,17.2,0,Match Report
66,Manchester Utd,2024-12-01,4,,Everton,eng Premier League,W 4-0,4,0,+4,60,4,0,0,0,4,11,0.36,0.80,5,45.5,15.1,0,Match Report
67,Barcelona,2025-03-16,4,@,Atlético Madrid,es La Liga,W 4-2,4,2,+2,65,4,0,0,0,4,13,0.31,0.67,6,46.2,17.5,0,Match Report
68,Barcelona,2025-03-02,4,,Real Sociedad,es La Liga,W 4-0,4,0,+4,76,4,0,0,0,4,33,0.12,0.40,10,30.3,17.5,2,Match Report
69,Barcelona,2025-02-09,4,@,Sevilla,es La Liga,W 4-1,4,1,+3,60,4,0,0,0,4,10,0.40,0.67,6,60.0,14.4,0,Match Report
70,Barcelona,2024-10-26,4,@,Real Madrid,es La Liga,W 4-0,4,0,+4,57,4,0,0,0,4,15,0.27,0.57,7,46.7,21.7,0,Match Report
71,Barcelona,2024-09-15,4,@,Girona,es La Liga,W 4-1,4,1,+3,55,4,0,0,0,4,20,0.20,0.44,9,45.0,19.1,0,Match Report
