Rk,Team,Date,#OPA,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,#OPA,AvgDist,Match Report
507,Southampton,2025-02-01,2,@,Ipswich Town,eng Premier League,W 2-1,2,1,+1,43,2,0,0,0,2,11.6,Match Report
508,Southampton,2024-12-07,2,@,Aston Villa,eng Premier League,L 0-1,0,1,-1,53,0,0,0,0,2,13.4,Match Report
509,Southampton,2024-09-30,2,@,Bournemouth,eng Premier League,L 1-3,1,3,-2,60,1,0,0,0,2,19.0,Match Report
510,Southampton,2024-09-14,2,,Manchester Utd,eng Premier League,L 0-3,0,3,-3,44,0,0,1,1,2,15.5,Match Report
511,Tottenham,2025-04-06,2,,Southampton,eng Premier League,W 3-1,3,1,+2,51,2,1,1,0,2,16.3,Match Report
512,Tottenham,2025-01-26,2,,Leicester City,eng Premier League,L 1-2,1,2,-1,61,1,0,0,0,2,13.4,Match Report
513,Tottenham,2025-01-04,2,,Newcastle Utd,eng Premier League,L 1-2,1,2,-1,56,1,0,0,0,2,12.4,Match Report
514,Tottenham,2024-12-15,2,@,Southampton,eng Premier League,W 5-0,5,0,+5,58,5,0,0,0,2,21.3,Match Report
515,Tottenham,2024-11-03,2,,Aston Villa,eng Premier League,W 4-1,4,1,+3,51,4,0,0,0,2,16.4,Match Report
516,Tottenham,2024-10-06,2,@,Brighton,eng Premier League,L 2-3,2,3,-1,59,2,0,0,0,2,12.2,Match Report
517,Tottenham,2024-09-29,2,@,Manchester Utd,eng Premier League,W 3-0,3,0,+3,61,3,0,0,0,2,16.8,Match Report
518,Toulouse,2025-02-09,2,@,Auxerre,fr Ligue 1,D 2-2,2,2,0,47,2,0,0,0,2,18.0,Match Report
519,Toulouse,2025-01-26,2,,Montpellier,fr Ligue 1,L 1-2,1,2,-1,66,1,0,0,0,2,20.7,Match Report
520,Toulouse,2025-01-05,2,@,Lens,fr Ligue 1,W 1-0,1,0,+1,34,0,1,1,0,2,18.3,Match Report
521,Toulouse,2024-12-01,2,,Auxerre,fr Ligue 1,W 2-0,2,0,+2,52,1,1,1,0,2,22.0,Match Report
522,Toulouse,2024-10-20,2,,Angers,fr Ligue 1,D 1-1,1,1,0,65,1,0,0,0,2,22.3,Match Report
523,Toulouse,2024-08-25,2,@,Nice,fr Ligue 1,D 1-1,1,1,0,43,1,0,0,0,2,14.7,Match Report
524,Fiorentina,2025-03-09,2,@,Napoli,it Serie A,L 1-2,1,2,-1,51,1,0,0,0,2,10.0,Match Report
525,Fiorentina,2025-02-02,2,,Genoa,it Serie A,W 2-1,2,1,+1,41,2,0,0,0,2,27.0,Match Report
526,Fiorentina,2024-08-17,2,@,Parma,it Serie A,D 1-1,1,1,0,61,1,0,0,0,2,21.3,Match Report
527,Crystal Palace,2024-12-29,2,,Southampton,eng Premier League,W 2-1,2,1,+1,47,2,0,0,0,2,14.0,Match Report
528,Crystal Palace,2024-12-15,2,@,Brighton,eng Premier League,W 3-1,3,1,+2,36,3,0,0,0,2,15.3,Match Report
529,Crystal Palace,2024-11-09,2,,Fulham,eng Premier League,L 0-2,0,2,-2,36,0,0,0,0,2,46.0,Match Report
530,Crystal Palace,2024-09-14,2,,Leicester City,eng Premier League,D 2-2,2,2,0,66,1,1,1,0,2,17.5,Match Report
531,Crystal Palace,2024-08-18,2,@,Brentford,eng Premier League,L 1-2,1,2,-1,54,0,0,0,0,2,26.0,Match Report
532,Bournemouth,2025-03-15,2,,Brentford,eng Premier League,L 1-2,1,2,-1,58,0,0,0,0,2,29.7,Match Report
533,Bournemouth,2025-02-15,2,@,Southampton,eng Premier League,W 3-1,3,1,+2,56,3,0,0,0,2,22.0,Match Report
534,Bournemouth,2024-11-09,2,@,Brentford,eng Premier League,L 2-3,2,3,-1,49,2,0,0,0,2,18.3,Match Report
535,Bournemouth,2024-10-26,2,@,Aston Villa,eng Premier League,D 1-1,1,1,0,43,1,0,0,0,2,14.2,Match Report
536,Bournemouth,2024-09-21,2,@,Liverpool,eng Premier League,L 0-3,0,3,-3,42,0,0,0,0,2,10.5,Match Report
537,Bournemouth,2024-09-14,2,,Chelsea,eng Premier League,L 0-1,0,1,-1,34,0,0,1,1,2,16.0,Match Report
538,Wolfsburg,2025-03-29,2,,Heidenheim,de Bundesliga,L 0-1,0,1,-1,61,0,0,0,0,2,15.6,Match Report
539,Wolfsburg,2025-03-08,2,,St. Pauli,de Bundesliga,D 1-1,1,1,0,57,0,1,1,0,2,15.8,Match Report
540,Wolfsburg,2025-01-24,2,,Holstein Kiel,de Bundesliga,D 2-2,2,2,0,69,2,0,0,0,2,22.7,Match Report
541,Wolfsburg,2024-10-20,2,,Werder Bremen,de Bundesliga,L 2-4,2,4,-2,43,2,0,0,0,2,13.4,Match Report
542,Wolfsburg,2024-10-05,2,@,Bochum,de Bundesliga,W 3-1,3,1,+2,42,3,0,1,1,2,13.4,Match Report
543,Real Madrid,2025-01-19,2,,Las Palmas,es La Liga,W 4-1,4,1,+3,61,3,1,1,0,2,24.0,Match Report
544,Real Madrid,2024-12-14,2,@,Rayo Vallecano,es La Liga,D 3-3,3,3,0,66,3,0,0,0,2,19.3,Match Report
545,Real Madrid,2024-12-07,2,@,Girona,es La Liga,W 3-0,3,0,+3,58,3,0,0,0,2,17.3,Match Report
546,St. Pauli,2025-02-09,2,@,RB Leipzig,de Bundesliga,L 0-2,0,2,-2,44,0,0,0,0,2,18.5,Match Report
547,St. Pauli,2024-09-15,2,@,Augsburg,de Bundesliga,L 1-3,1,3,-2,56,1,0,0,0,2,23.7,Match Report
548,St. Pauli,2024-08-25,2,,Heidenheim,de Bundesliga,L 0-2,0,2,-2,60,0,0,0,0,2,22.5,Match Report
549,Marseille,2025-02-02,2,,Lyon,fr Ligue 1,W 3-2,3,2,+1,63,3,0,0,0,2,13.8,Match Report
550,Marseille,2024-12-08,2,@,Saint-Étienne,fr Ligue 1,W 2-0,2,0,+2,68,2,0,1,1,2,15.0,Match Report
551,Marseille,2024-11-08,2,,Auxerre,fr Ligue 1,L 1-3,1,3,-2,74,0,1,1,0,2,27.3,Match Report
552,Marseille,2024-10-20,2,@,Montpellier,fr Ligue 1,W 5-0,5,0,+5,65,5,0,0,0,2,23.0,Match Report
553,Stuttgart,2025-04-05,2,@,Bochum,de Bundesliga,W 4-0,4,0,+4,46,4,0,0,0,2,14.3,Match Report
554,Stuttgart,2025-03-08,2,@,Holstein Kiel,de Bundesliga,D 2-2,2,2,0,48,2,0,0,0,2,32.0,Match Report
555,Stuttgart,2025-02-28,2,,Bayern Munich,de Bundesliga,L 1-3,1,3,-2,53,1,0,0,0,2,15.7,Match Report
556,Stuttgart,2025-02-01,2,,Gladbach,de Bundesliga,L 1-2,1,2,-1,54,0,0,0,0,2,17.8,Match Report
557,Stuttgart,2024-09-14,2,@,Gladbach,de Bundesliga,W 3-1,3,1,+2,56,3,0,0,0,2,15.8,Match Report
558,Stuttgart,2024-08-31,2,,Mainz 05,de Bundesliga,D 3-3,3,3,0,63,3,0,0,0,2,21.0,Match Report
559,Auxerre,2025-02-22,2,,Marseille,fr Ligue 1,W 3-0,3,0,+3,21,2,1,1,0,2,15.8,Match Report
560,Auxerre,2025-02-14,2,@,Brest,fr Ligue 1,D 2-2,2,2,0,36,2,0,0,0,2,18.5,Match Report
561,Auxerre,2024-11-08,2,@,Marseille,fr Ligue 1,W 3-1,3,1,+2,26,3,0,0,0,2,16.3,Match Report
562,Auxerre,2024-09-27,2,,Brest,fr Ligue 1,W 3-0,3,0,+3,39,2,1,1,0,2,18.2,Match Report
563,Le Havre,2025-02-02,2,@,Angers,fr Ligue 1,D 1-1,1,1,0,41,1,0,0,0,2,19.3,Match Report
564,Le Havre,2025-01-12,2,,Lens,fr Ligue 1,L 1-2,1,2,-1,31,1,0,0,0,2,19.5,Match Report
565,Werder Bremen,2024-11-09,2,,Holstein Kiel,de Bundesliga,W 2-1,2,1,+1,60,2,0,0,0,2,19.7,Match Report
566,Werder Bremen,2024-10-20,2,@,Wolfsburg,de Bundesliga,W 4-2,4,2,+2,57,4,0,0,0,2,12.6,Match Report
567,Genoa,2025-01-17,2,@,Roma,it Serie A,L 1-3,1,3,-2,48,1,0,0,0,2,19.3,Match Report
568,Genoa,2024-09-15,2,,Roma,it Serie A,D 1-1,1,1,0,48,1,0,0,0,2,22.0,Match Report
569,Angers,2025-02-09,2,,Marseille,fr Ligue 1,L 0-2,0,2,-2,22,0,0,0,0,2,15.0,Match Report
570,Angers,2024-11-24,2,@,Auxerre,fr Ligue 1,L 0-1,0,1,-1,52,0,0,0,0,2,14.6,Match Report
571,Angers,2024-10-26,2,,Saint-Étienne,fr Ligue 1,W 4-2,4,2,+2,42,3,1,1,0,2,22.0,Match Report
572,Angers,2024-10-20,2,@,Toulouse,fr Ligue 1,D 1-1,1,1,0,35,1,0,1,1,2,13.5,Match Report
573,Lazio,2025-03-31,2,,Torino,it Serie A,D 1-1,1,1,0,58,1,0,0,0,2,20.7,Match Report
574,Lazio,2025-01-05,2,@,Roma,it Serie A,L 0-2,0,2,-2,67,0,0,0,0,2,19.0,Match Report
575,Lazio,2024-12-08,2,@,Napoli,it Serie A,W 1-0,1,0,+1,44,1,0,0,0,2,13.6,Match Report
576,Lazio,2024-12-01,2,@,Parma,it Serie A,L 1-3,1,3,-2,72,1,0,0,0,2,19.0,Match Report
577,Lazio,2024-09-22,2,@,Fiorentina,it Serie A,L 1-2,1,2,-1,54,1,0,0,0,2,21.8,Match Report
578,Lazio,2024-09-16,2,,Hellas Verona,it Serie A,W 2-1,2,1,+1,55,2,0,0,0,2,10.3,Match Report
579,Getafe,2025-04-06,2,@,Valladolid,es La Liga,W 4-0,4,0,+4,49,4,0,0,0,2,15.8,Match Report
580,Getafe,2025-03-30,2,,Villarreal,es La Liga,L 1-2,1,2,-1,55,1,0,0,0,2,17.0,Match Report
581,Getafe,2025-03-02,2,@,Leganés,es La Liga,L 0-1,0,1,-1,43,0,0,0,0,2,17.4,Match Report
582,Getafe,2025-02-01,2,,Sevilla,es La Liga,D 0-0,0,0,0,45,0,0,0,0,2,16.5,Match Report
583,Getafe,2024-12-15,2,@,Atlético Madrid,es La Liga,L 0-1,0,1,-1,43,0,0,0,0,2,18.2,Match Report
584,Getafe,2024-09-28,2,,Alavés,es La Liga,W 2-0,2,0,+2,46,1,1,1,0,2,16.6,Match Report
585,Getafe,2024-09-18,2,@,Betis,es La Liga,L 1-2,1,2,-1,35,1,0,0,0,2,12.8,Match Report
586,Getafe,2024-09-14,2,@,Sevilla,es La Liga,L 0-1,0,1,-1,40,0,0,0,0,2,23.5,Match Report
587,Union Berlin,2025-01-19,2,,Mainz 05,de Bundesliga,W 2-1,2,1,+1,34,1,1,1,0,2,26.5,Match Report
588,Union Berlin,2025-01-15,2,,Augsburg,de Bundesliga,L 0-2,0,2,-2,55,0,0,0,0,2,15.0,Match Report
589,Union Berlin,2024-12-14,2,,Bochum,de Bundesliga,L 0-2,0,2,-2,69,1,0,0,0,2,16.8,Match Report
590,Union Berlin,2024-08-30,2,,St. Pauli,de Bundesliga,W 1-0,1,0,+1,39,1,0,0,0,2,17.8,Match Report
591,West Ham,2024-12-29,2,,Liverpool,eng Premier League,L 0-5,0,5,-5,46,0,0,0,0,2,16.0,Match Report
592,West Ham,2024-12-09,2,,Wolves,eng Premier League,W 2-1,2,1,+1,54,2,0,0,0,2,23.0,Match Report
593,West Ham,2024-10-27,2,,Manchester Utd,eng Premier League,W 2-1,2,1,+1,42,1,1,1,0,2,13.2,Match Report
594,West Ham,2024-09-28,2,@,Brentford,eng Premier League,D 1-1,1,1,0,43,1,0,0,0,2,20.0,Match Report
595,Leganés,2025-03-02,2,,Getafe,es La Liga,W 1-0,1,0,+1,57,1,0,0,0,2,14.6,Match Report
596,Leganés,2025-02-23,2,@,Real Sociedad,es La Liga,L 0-3,0,3,-3,45,0,0,0,0,2,17.0,Match Report
597,Leganés,2025-02-09,2,@,Valencia,es La Liga,L 0-2,0,2,-2,56,0,0,0,0,2,19.7,Match Report
598,Leganés,2025-01-26,2,@,Athletic Club,es La Liga,D 0-0,0,0,0,32,0,0,0,0,2,18.3,Match Report
599,Leganés,2024-12-22,2,,Villarreal,es La Liga,L 2-5,2,5,-3,36,1,1,1,0,2,17.6,Match Report
600,Leganés,2024-12-08,2,,Real Sociedad,es La Liga,L 0-3,0,3,-3,56,0,0,0,0,2,20.8,Match Report
601,Leganés,2024-11-24,2,,Real Madrid,es La Liga,L 0-3,0,3,-3,33,0,0,0,0,2,24.0,Match Report
602,Leganés,2024-11-09,2,,Sevilla,es La Liga,W 1-0,1,0,+1,43,0,1,1,0,2,14.7,Match Report
603,Reims,2025-02-28,2,@,Monaco,fr Ligue 1,L 0-3,0,3,-3,44,0,0,0,0,2,18.2,Match Report
604,Reims,2025-01-25,2,@,Paris S-G,fr Ligue 1,D 1-1,1,1,0,22,1,0,0,0,2,13.2,Match Report
605,Reims,2025-01-11,2,,Nice,fr Ligue 1,L 2-4,2,4,-2,54,2,0,0,0,2,22.8,Match Report
606,Reims,2024-11-03,2,@,Toulouse,fr Ligue 1,L 0-1,0,1,-1,49,0,0,0,0,2,17.8,Match Report
607,Liverpool,2025-02-19,2,@,Aston Villa,eng Premier League,D 2-2,2,2,0,48,2,0,0,0,2,14.6,Match Report
608,Liverpool,2025-02-16,2,,Wolves,eng Premier League,W 2-1,2,1,+1,50,1,1,1,0,2,15.0,Match Report
609,Liverpool,2024-11-02,2,,Brighton,eng Premier League,W 2-1,2,1,+1,49,2,0,0,0,2,20.8,Match Report
610,Liverpool,2024-09-28,2,@,Wolves,eng Premier League,W 2-1,2,1,+1,55,1,1,1,0,2,14.6,Match Report
611,Aston Villa,2025-01-15,2,@,Everton,eng Premier League,W 1-0,1,0,+1,50,1,0,0,0,2,15.8,Match Report
612,Aston Villa,2024-12-30,2,,Brighton,eng Premier League,D 2-2,2,2,0,59,1,1,1,0,2,23.5,Match Report
613,Aston Villa,2024-12-04,2,,Brentford,eng Premier League,W 3-1,3,1,+2,49,2,1,1,0,2,20.8,Match Report
614,Aston Villa,2024-11-23,2,,Crystal Palace,eng Premier League,D 2-2,2,2,0,69,2,0,1,1,2,28.3,Match Report
615,Aston Villa,2024-10-26,2,,Bournemouth,eng Premier League,D 1-1,1,1,0,57,1,0,0,0,2,11.9,Match Report
616,Aston Villa,2024-09-21,2,,Wolves,eng Premier League,W 3-1,3,1,+2,53,3,0,0,0,2,16.3,Match Report
617,Aston Villa,2024-09-14,2,,Everton,eng Premier League,W 3-2,3,2,+1,72,3,0,0,0,2,17.2,Match Report
618,Aston Villa,2024-08-31,2,@,Leicester City,eng Premier League,W 2-1,2,1,+1,43,2,0,0,0,2,12.9,Match Report
619,Wolves,2025-04-05,2,@,Ipswich Town,eng Premier League,W 2-1,2,1,+1,55,2,0,0,0,2,25.3,Match Report
620,Wolves,2025-03-08,2,,Everton,eng Premier League,D 1-1,1,1,0,66,1,0,0,0,2,13.6,Match Report
621,Wolves,2024-11-30,2,,Bournemouth,eng Premier League,L 2-4,2,4,-2,60,2,0,0,0,2,17.7,Match Report
622,Wolves,2024-11-23,2,@,Fulham,eng Premier League,W 4-1,4,1,+3,41,4,0,0,0,2,21.8,Match Report
623,Wolves,2024-09-28,2,,Liverpool,eng Premier League,L 1-2,1,2,-1,45,1,0,0,0,2,12.3,Match Report
624,Wolves,2024-08-17,2,@,Arsenal,eng Premier League,L 0-2,0,2,-2,47,0,0,0,0,2,15.8,Match Report
625,Alavés,2025-02-09,2,,Getafe,es La Liga,L 0-1,0,1,-1,65,0,0,0,0,2,17.3,Match Report
626,Alavés,2024-11-30,2,,Leganés,es La Liga,D 1-1,1,1,0,60,1,0,0,0,2,17.5,Match Report
627,Alavés,2024-10-06,2,,Barcelona,es La Liga,L 0-3,0,3,-3,29,0,0,0,0,2,21.4,Match Report
628,Alavés,2024-09-28,2,@,Getafe,es La Liga,L 0-2,0,2,-2,54,0,0,0,0,2,29.0,Match Report
629,Alavés,2024-08-25,2,,Betis,es La Liga,D 0-0,0,0,0,38,0,0,0,0,2,24.0,Match Report
630,Girona,2025-03-15,2,,Valencia,es La Liga,D 1-1,1,1,0,57,1,0,0,0,2,19.3,Match Report
631,Girona,2024-10-06,2,,Athletic Club,es La Liga,W 2-1,2,1,+1,66,1,1,1,0,2,20.7,Match Report
632,Girona,2024-09-29,2,@,Celta Vigo,es La Liga,D 1-1,1,1,0,52,1,0,0,0,2,27.5,Match Report
633,Girona,2024-09-15,2,,Barcelona,es La Liga,L 1-4,1,4,-3,45,1,0,0,0,2,31.5,Match Report
634,Girona,2024-08-29,2,,Osasuna,es La Liga,W 4-0,4,0,+4,60,4,0,0,0,2,24.7,Match Report
635,Girona,2024-08-15,2,@,Betis,es La Liga,D 1-1,1,1,0,61,1,0,0,0,2,15.8,Match Report
636,Atalanta,2025-02-23,2,@,Empoli,it Serie A,W 5-0,5,0,+5,54,4,0,0,0,2,14.5,Match Report
637,Atalanta,2025-01-25,2,@,Como,it Serie A,W 2-1,2,1,+1,46,2,0,0,0,2,13.3,Match Report
638,Atalanta,2025-01-18,2,,Napoli,it Serie A,L 2-3,2,3,-1,56,2,0,0,0,2,22.0,Match Report
639,Atalanta,2025-01-11,2,@,Udinese,it Serie A,D 0-0,0,0,0,54,0,0,0,0,2,10.4,Match Report
640,Atalanta,2024-11-03,2,@,Napoli,it Serie A,W 3-0,3,0,+3,50,3,0,0,0,2,16.3,Match Report
641,Atalanta,2024-10-30,2,,Monza,it Serie A,W 2-0,2,0,+2,53,2,0,0,0,2,15.8,Match Report
642,Atalanta,2024-10-26,2,,Hellas Verona,it Serie A,W 6-1,6,1,+5,69,6,0,0,0,2,11.9,Match Report
643,Atalanta,2024-10-20,2,@,Venezia,it Serie A,W 2-0,2,0,+2,57,2,0,0,0,2,14.7,Match Report
644,Atalanta,2024-10-05,2,,Genoa,it Serie A,W 5-1,5,1,+4,63,4,1,1,0,2,19.0,Match Report
645,Atalanta,2024-09-24,2,,Como,it Serie A,L 2-3,2,3,-1,59,1,1,1,0,2,16.8,Match Report
646,Rayo Vallecano,2025-03-09,2,@,Real Madrid,es La Liga,L 1-2,1,2,-1,54,1,0,0,0,2,16.6,Match Report
647,Rayo Vallecano,2025-02-22,2,,Villarreal,es La Liga,L 0-1,0,1,-1,50,0,0,0,0,2,17.6,Match Report
648,Rayo Vallecano,2025-02-17,2,@,Barcelona,es La Liga,L 0-1,0,1,-1,41,0,0,0,0,2,20.5,Match Report
649,Rayo Vallecano,2025-02-07,2,,Valladolid,es La Liga,W 1-0,1,0,+1,69,1,0,0,0,2,16.6,Match Report
650,Rayo Vallecano,2025-01-26,2,,Girona,es La Liga,W 2-1,2,1,+1,57,2,0,0,0,2,14.2,Match Report
651,Rayo Vallecano,2024-11-24,2,@,Sevilla,es La Liga,L 0-1,0,1,-1,47,0,0,0,0,2,14.4,Match Report
652,Mainz 05,2025-01-14,2,@,Leverkusen,de Bundesliga,L 0-1,0,1,-1,34,0,0,0,0,2,10.6,Match Report
653,Mainz 05,2024-12-21,2,@,Eint Frankfurt,de Bundesliga,W 3-1,3,1,+2,30,2,0,0,0,2,11.2,Match Report
654,Mainz 05,2024-12-08,2,@,Wolfsburg,de Bundesliga,L 3-4,3,4,-1,56,3,0,0,0,2,10.1,Match Report
655,Mainz 05,2024-11-24,2,@,Holstein Kiel,de Bundesliga,W 3-0,3,0,+3,62,2,1,1,0,2,14.8,Match Report
656,Mainz 05,2024-11-03,2,@,Freiburg,de Bundesliga,D 0-0,0,0,0,49,0,0,0,0,2,12.0,Match Report
657,Mainz 05,2024-10-19,2,,RB Leipzig,de Bundesliga,L 0-2,0,2,-2,53,0,0,0,0,2,22.5,Match Report
658,Mainz 05,2024-09-28,2,,Heidenheim,de Bundesliga,L 0-2,0,2,-2,50,0,0,0,0,2,13.0,Match Report
659,Mainz 05,2024-09-20,2,@,Augsburg,de Bundesliga,W 3-2,3,2,+1,27,3,0,0,0,2,11.4,Match Report
660,Leicester City,2025-03-09,2,@,Chelsea,eng Premier League,L 0-1,0,1,-1,44,0,0,0,0,2,28.5,Match Report
661,Leicester City,2024-09-28,2,@,Arsenal,eng Premier League,L 2-4,2,4,-2,26,2,0,0,0,2,11.2,Match Report
662,Empoli,2025-02-16,2,@,Udinese,it Serie A,L 0-3,0,3,-3,44,0,0,0,0,2,14.5,Match Report
663,Empoli,2024-10-20,2,,Napoli,it Serie A,L 0-1,0,1,-1,50,0,0,0,0,2,14.7,Match Report
664,Empoli,2024-08-31,2,@,Bologna,it Serie A,D 1-1,1,1,0,31,1,0,0,0,2,16.4,Match Report
665,Freiburg,2025-03-30,2,,Union Berlin,de Bundesliga,L 1-2,1,2,-1,72,1,0,0,0,2,14.7,Match Report
666,Freiburg,2024-12-13,2,,Wolfsburg,de Bundesliga,W 3-2,3,2,+1,53,3,0,0,0,2,12.8,Match Report
667,Freiburg,2024-10-05,2,@,Werder Bremen,de Bundesliga,W 1-0,1,0,+1,42,1,0,0,0,2,16.4,Match Report
668,Espanyol,2024-12-14,2,,Osasuna,es La Liga,D 0-0,0,0,0,42,0,0,0,0,2,15.8,Match Report
669,Espanyol,2024-09-29,2,@,Betis,es La Liga,L 0-1,0,1,-1,47,0,0,0,0,2,10.2,Match Report
670,Espanyol,2024-08-19,2,@,Valladolid,es La Liga,L 0-1,0,1,-1,54,0,0,0,0,2,16.8,Match Report
671,RB Leipzig,2025-03-15,2,,Dortmund,de Bundesliga,W 2-0,2,0,+2,34,2,0,0,0,2,11.6,Match Report
672,RB Leipzig,2025-02-23,2,,Heidenheim,de Bundesliga,D 2-2,2,2,0,74,1,1,1,0,2,20.5,Match Report
673,RB Leipzig,2025-01-15,2,@,Stuttgart,de Bundesliga,L 1-2,1,2,-1,42,1,0,0,0,2,28.5,Match Report
674,RB Leipzig,2024-12-15,2,,Eint Frankfurt,de Bundesliga,W 2-1,2,1,+1,44,2,0,0,0,2,14.7,Match Report
675,Sevilla,2025-01-18,2,@,Girona,es La Liga,W 2-1,2,1,+1,40,2,0,1,1,2,22.5,Match Report
676,Sevilla,2024-12-08,2,@,Atlético Madrid,es La Liga,L 3-4,3,4,-1,43,3,0,0,0,2,21.8,Match Report
677,Sevilla,2024-10-25,2,@,Espanyol,es La Liga,W 2-0,2,0,+2,57,2,0,0,0,2,12.8,Match Report
678,Sevilla,2024-10-20,2,@,Barcelona,es La Liga,L 1-5,1,5,-4,33,1,0,0,0,2,11.3,Match Report
679,Sevilla,2024-09-20,2,@,Alavés,es La Liga,L 1-2,1,2,-1,65,1,0,0,0,2,20.7,Match Report
680,Sevilla,2024-08-16,2,@,Las Palmas,es La Liga,D 2-2,2,2,0,52,1,0,0,0,2,23.0,Match Report
681,Dortmund,2025-03-30,2,,Mainz 05,de Bundesliga,W 3-1,3,1,+2,44,3,0,0,0,2,12.7,Match Report
682,Dortmund,2025-02-08,2,,Stuttgart,de Bundesliga,L 1-2,1,2,-1,68,1,0,0,0,2,20.3,Match Report
683,Dortmund,2025-02-01,2,@,Heidenheim,de Bundesliga,W 2-1,2,1,+1,63,2,0,0,0,2,15.2,Match Report
684,Dortmund,2024-11-09,2,@,Mainz 05,de Bundesliga,L 1-3,1,3,-2,47,0,1,1,0,2,16.8,Match Report
685,Dortmund,2024-10-26,2,@,Augsburg,de Bundesliga,L 1-2,1,2,-1,75,1,0,0,0,2,17.3,Match Report
686,Venezia,2024-12-14,2,@,Juventus,it Serie A,D 2-2,2,2,0,31,2,0,0,0,2,21.0,Match Report
687,Venezia,2024-11-30,2,@,Bologna,it Serie A,L 0-3,0,3,-3,40,0,0,0,0,2,17.0,Match Report
688,Newcastle Utd,2025-04-02,2,,Brentford,eng Premier League,W 2-1,2,1,+1,49,2,0,0,0,2,14.1,Match Report
689,Newcastle Utd,2025-03-10,2,@,West Ham,eng Premier League,W 1-0,1,0,+1,49,1,0,0,0,2,15.0,Match Report
690,Newcastle Utd,2025-01-25,2,@,Southampton,eng Premier League,W 3-1,3,1,+2,47,2,1,1,0,2,22.0,Match Report
691,Newcastle Utd,2025-01-18,2,,Bournemouth,eng Premier League,L 1-4,1,4,-3,56,1,0,0,0,2,16.3,Match Report
692,Newcastle Utd,2024-12-04,2,,Liverpool,eng Premier League,D 3-3,3,3,0,42,3,0,0,0,2,16.2,Match Report
693,Newcastle Utd,2024-11-30,2,@,Crystal Palace,eng Premier League,D 1-1,1,1,0,51,0,0,0,0,2,15.4,Match Report
694,Newcastle Utd,2024-09-15,2,@,Wolves,eng Premier League,W 2-1,2,1,+1,51,2,0,0,0,2,17.0,Match Report
695,Newcastle Utd,2024-09-01,2,,Tottenham,eng Premier League,W 2-1,2,1,+1,35,2,0,0,0,2,15.7,Match Report
696,Rennes,2025-02-02,2,,Strasbourg,fr Ligue 1,W 1-0,1,0,+1,46,1,0,0,0,2,16.6,Match Report
697,Rennes,2025-01-25,2,@,Monaco,fr Ligue 1,L 2-3,2,3,-1,48,2,0,0,0,2,13.9,Match Report
698,Rennes,2025-01-18,2,,Brest,fr Ligue 1,L 1-2,1,2,-1,68,1,0,0,0,2,23.8,Match Report
699,Rennes,2025-01-03,2,@,Nice,fr Ligue 1,L 2-3,2,3,-1,53,2,0,0,0,2,17.0,Match Report
700,Rennes,2024-10-25,2,,Le Havre,fr Ligue 1,W 1-0,1,0,+1,60,1,0,0,0,2,18.3,Match Report
701,Rennes,2024-10-05,2,,Monaco,fr Ligue 1,L 1-2,1,2,-1,58,1,0,0,0,2,20.3,Match Report
702,Rennes,2024-09-21,2,,Lens,fr Ligue 1,D 1-1,1,1,0,40,0,1,1,0,2,12.2,Match Report
703,Bochum,2025-02-15,2,,Dortmund,de Bundesliga,W 2-0,2,0,+2,31,2,0,0,0,2,13.2,Match Report
704,Bochum,2025-02-09,2,@,Holstein Kiel,de Bundesliga,D 2-2,2,2,0,52,2,0,0,0,2,14.5,Match Report
705,Bochum,2024-12-22,2,,Heidenheim,de Bundesliga,W 2-0,2,0,+2,52,2,0,0,0,2,21.0,Match Report
706,Bochum,2024-11-30,2,@,Augsburg,de Bundesliga,L 0-1,0,1,-1,48,0,0,0,0,2,16.0,Match Report
707,Bochum,2024-10-19,2,@,Hoffenheim,de Bundesliga,L 1-3,1,3,-2,50,1,0,1,1,2,13.9,Match Report
708,Bochum,2024-10-05,2,,Wolfsburg,de Bundesliga,L 1-3,1,3,-2,58,1,0,0,0,2,24.7,Match Report
709,Ipswich Town,2025-04-02,2,@,Bournemouth,eng Premier League,W 2-1,2,1,+1,37,2,0,0,0,2,12.3,Match Report
710,Ipswich Town,2024-12-08,2,,Bournemouth,eng Premier League,L 1-2,1,2,-1,44,1,0,0,0,2,14.8,Match Report
711,Ipswich Town,2024-10-26,2,@,Brentford,eng Premier League,L 3-4,3,4,-1,35,3,0,0,0,2,14.8,Match Report
712,Manchester City,2025-02-15,2,,Newcastle Utd,eng Premier League,W 4-0,4,0,+4,61,4,0,0,0,2,19.7,Match Report
713,Manchester City,2025-01-19,2,@,Ipswich Town,eng Premier League,W 6-0,6,0,+6,67,6,0,0,0,2,13.0,Match Report
714,Manchester City,2024-12-26,2,,Everton,eng Premier League,D 1-1,1,1,0,66,1,0,1,1,2,17.3,Match Report
715,Manchester City,2024-12-04,2,,Nott'ham Forest,eng Premier League,W 3-0,3,0,+3,66,3,0,0,0,2,14.3,Match Report
716,Manchester City,2024-09-22,2,,Arsenal,eng Premier League,D 2-2,2,2,0,77,2,0,0,0,2,23.3,Match Report
717,Manchester City,2024-08-31,2,@,West Ham,eng Premier League,W 3-1,3,1,+2,67,3,0,0,0,2,24.0,Match Report
718,Strasbourg,2025-03-16,2,,Toulouse,fr Ligue 1,W 2-1,2,1,+1,57,2,0,0,0,2,13.2,Match Report
