Rk,Team,Date,Att,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Att,Succ,Succ%,Tkld,Tkld%,Match Report
169,Monaco,2024-10-05,27,@,Rennes,fr Ligue 1,W 2-1,2,1,+1,42,2,0,0,0,27,6,22.2,20,74.1,Match Report
170,Udinese,2024-09-01,26,,Como,it Serie A,W 1-0,1,0,+1,44,1,0,0,0,26,14,53.8,12,46.2,Match Report
171,Nice,2024-12-15,26,@,Montpellier,fr Ligue 1,D 2-2,2,2,0,48,2,0,0,0,26,11,42.3,13,50.0,Match Report
172,Nice,2024-11-02,26,@,Brest,fr Ligue 1,W 1-0,1,0,+1,37,1,0,0,0,26,10,38.5,15,57.7,Match Report
173,Como,2024-11-07,26,@,Genoa,it Serie A,D 1-1,1,1,0,58,1,0,0,0,26,15,57.7,7,26.9,Match Report
174,Villarreal,2024-11-24,26,@,Osasuna,es La Liga,D 2-2,2,2,0,59,1,1,1,0,26,13,50.0,11,42.3,Match Report
175,Athletic Club,2025-03-30,26,,Osasuna,es La Liga,D 0-0,0,0,0,61,0,0,0,0,26,5,19.2,19,73.1,Match Report
176,Athletic Club,2025-03-01,26,@,Atlético Madrid,es La Liga,L 0-1,0,1,-1,50,0,0,0,0,26,12,46.2,14,53.8,Match Report
177,Southampton,2024-11-24,26,,Liverpool,eng Premier League,L 2-3,2,3,-1,38,2,0,1,1,26,9,34.6,13,50.0,Match Report
178,Southampton,2024-11-02,26,,Everton,eng Premier League,W 1-0,1,0,+1,65,1,0,0,0,26,12,46.2,12,46.2,Match Report
179,Tottenham,2024-12-22,26,,Liverpool,eng Premier League,L 3-6,3,6,-3,52,3,0,0,0,26,10,38.5,15,57.7,Match Report
180,Tottenham,2024-10-19,26,,West Ham,eng Premier League,W 4-1,4,1,+3,57,3,0,0,0,26,7,26.9,18,69.2,Match Report
181,Tottenham,2024-09-01,26,@,Newcastle Utd,eng Premier League,L 1-2,1,2,-1,65,0,0,0,0,26,10,38.5,13,50.0,Match Report
182,Tottenham,2024-08-19,26,@,Leicester City,eng Premier League,D 1-1,1,1,0,70,1,0,0,0,26,13,50.0,11,42.3,Match Report
183,Bournemouth,2025-01-18,26,@,Newcastle Utd,eng Premier League,W 4-1,4,1,+3,44,4,0,0,0,26,16,61.5,6,23.1,Match Report
184,Real Madrid,2024-12-14,26,@,Rayo Vallecano,es La Liga,D 3-3,3,3,0,66,3,0,0,0,26,11,42.3,14,53.8,Match Report
