Rk,Team,Date,PKatt,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,PKatt,PKA,PKsv,PKm,Save%,Match Report
30,Brest,2024-08-17,2,,Marseille,fr Ligue 1,L 1-5,1,5,-4,50,1,0,1,1,2,2,0,0,0.0,Match Report
31,Las Palmas,2025-03-09,1,@,Betis,es La Liga,L 0-1,0,1,-1,33,0,0,0,0,1,0,1,0,100.0,Match Report
32,Las Palmas,2025-02-03,1,@,Girona,es La Liga,L 1-2,1,2,-1,53,1,0,0,0,1,0,1,0,100.0,Match Report
33,Las Palmas,2025-01-19,1,@,Real Madrid,es La Liga,L 1-4,1,4,-3,39,1,0,0,0,1,1,0,0,0.0,Match Report
34,Las Palmas,2024-10-21,1,@,Valencia,es La Liga,W 3-2,3,2,+1,52,3,0,0,0,1,1,0,0,0.0,Match Report
35,Las Palmas,2024-09-30,1,@,Villarreal,es La Liga,L 1-3,1,3,-2,57,1,0,0,0,1,0,1,0,100.0,Match Report
36,Las Palmas,2024-09-21,1,@,Osasuna,es La Liga,L 1-2,1,2,-1,60,1,0,0,0,1,1,0,0,0.0,Match Report
37,Las Palmas,2024-09-01,1,@,Alavés,es La Liga,L 0-2,0,2,-2,70,0,0,0,0,1,0,0,1,,Match Report
38,Las Palmas,2024-08-29,1,,Real Madrid,es La Liga,D 1-1,1,1,0,43,1,0,0,0,1,1,0,0,0.0,Match Report
39,Las Palmas,2024-08-25,1,@,Leganés,es La Liga,L 1-2,1,2,-1,61,1,0,0,0,1,0,1,0,100.0,Match Report
40,Hoffenheim,2025-01-26,1,,Eint Frankfurt,de Bundesliga,D 2-2,2,2,0,51,2,0,0,0,1,1,0,0,0.0,Match Report
41,Hoffenheim,2025-01-15,1,@,Bayern Munich,de Bundesliga,L 0-5,0,5,-5,35,0,0,0,0,1,1,0,0,0.0,Match Report
42,Hoffenheim,2024-10-19,1,,Bochum,de Bundesliga,W 3-1,3,1,+2,50,3,0,0,0,1,0,1,0,100.0,Match Report
43,Hoffenheim,2024-10-06,1,@,Stuttgart,de Bundesliga,D 1-1,1,1,0,33,1,0,0,0,1,0,1,0,100.0,Match Report
44,Hoffenheim,2024-09-14,1,,Leverkusen,de Bundesliga,L 1-4,1,4,-3,40,1,0,0,0,1,1,0,0,0.0,Match Report
45,Osasuna,2025-04-07,1,@,Leganés,es La Liga,D 1-1,1,1,0,44,1,0,0,0,1,1,0,0,0.0,Match Report
46,Osasuna,2025-03-27,1,@,Barcelona,es La Liga,L 0-3,0,3,-3,26,0,0,0,0,1,1,0,0,0.0,Match Report
47,Osasuna,2025-02-21,1,@,Celta Vigo,es La Liga,L 0-1,0,1,-1,54,0,0,0,0,1,1,0,0,0.0,Match Report
