Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Comp,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Bologna,Udinese,2024-08-18,D,H,1,1,0,1,0,0,73,1,it Serie A,33,6,15.2,29.0,16,10,61.5,14,6,42.9,4,28.6,501,2324,1141,23,18,12,0,0.0,0,0,0,17,16,2,0,0,0,1,1,0,4,25.0,27.3,21,0.0,0.0,5,23.8,16.8,1,1,1,1,0,44,2,23.5,523,617,84.8,14,42,12,5,51,10053,2932,169,189,89.4,274,307,89.3,60,80,75.0,1,0,1,100.0,0,1,100.0,0,1,0,568,48,16,3,3,31,17,9,1,7,0,1,11,520,18,6,11,11,37,21,6,1,6,2,1,2,0,50.0,718,65,209,309,210,39,717,16,9,7,5,4,10,17,58.8,7,8,2,6,3,19,17,0,3.2,2.4,2.3,2.3,2.0,1.5,-2.2,-2.4,-2.0,0.12,1,0.9,0.0,-0.1
Roma,Cagliari,2024-08-18,D,A,0,0,0,0,0,0,57,0,it Serie A,24,3,20.8,31.5,10,11,47.6,14,5,35.7,8,57.1,354,1996,1040,22,16,13,0,0.0,0,0,0,7,15,0,0,0,0,0,0,0,16,31.3,31.1,15,0.0,0.0,3,20.0,19.8,1,2,0,0,0,37,0,15.0,395,497,79.5,12,33,7,1,42,6925,2710,194,222,87.4,152,186,81.7,41,72,56.9,0,0,0,,0,0,,0,0,0,434,61,17,0,2,22,24,3,3,0,0,2,4,391,16,5,22,5,25,19,2,0,1,3,0,2,2,100.0,606,69,182,252,177,26,606,9,3,2,3,4,3,11,27.3,8,7,3,4,8,17,17,0,0.9,0.9,0.0,0.0,0.8,0.9,-0.9,-0.9,-0.8,0.06,1,0.2,0.11,0.2
Hellas Verona,Napoli,2024-08-18,W,H,3,0,3,0,0,3,33,0,it Serie A,27,1,74.1,49.8,13,23,36.1,11,6,54.5,3,27.3,162,921,390,5,4,17,0,0.0,4,0,0,15,13,5,3,0,0,1,0,1,10,100.0,65.4,9,0.33,0.75,4,44.4,16.1,0,2,0,0,0,44,1,13.5,195,296,65.9,8,13,6,2,18,3478,1407,93,109,85.3,73,101,72.3,20,69,29.0,0,0,0,,0,0,,0,0,0,260,34,13,1,3,9,9,1,0,1,0,2,4,194,4,2,9,5,16,10,1,1,2,0,2,4,4,100.0,390,57,160,168,68,10,390,18,10,6,11,1,7,15,46.7,8,13,2,11,10,28,23,2,1.7,1.7,0.8,0.8,1.8,0.5,1.3,1.3,1.2,0.21,0,0.7,0.17,0.7
Lazio,Venezia,2024-08-18,W,H,3,1,2,1,0,1,67,1,it Serie A,38,3,42.1,38.1,12,10,54.5,13,8,61.5,3,23.1,494,2742,1387,27,21,8,1,12.5,1,0,0,14,10,3,1,0,0,0,1,1,5,0.0,9.6,12,0.08,0.2,5,41.7,16.7,0,0,1,0,0,36,1,13.3,571,646,88.4,9,39,10,4,43,10138,3107,246,269,91.4,242,261,92.7,64,86,74.4,0,0,0,,0,0,,0,0,0,601,45,11,4,2,26,21,6,0,5,0,0,7,567,21,7,16,13,22,15,1,3,1,1,1,2,1,50.0,737,60,174,387,184,26,736,13,12,3,6,4,3,7,42.9,4,13,3,10,7,20,15,1,2.4,1.6,1.8,1.0,1.3,0.7,-0.4,-0.6,-1.3,0.13,0,0.2,0.12,-0.8
Udinese,Bologna,2024-08-18,D,A,1,1,0,0,1,1,27,1,it Serie A,13,2,76.9,60.6,10,16,38.5,18,7,38.9,10,55.6,135,784,379,7,7,25,2,8.0,4,0,0,17,16,1,0,0,0,1,0,0,9,44.4,32.9,3,0.33,1.0,1,33.3,17.7,0,1,1,1,0,31,0,5.5,150,234,64.1,1,13,3,2,20,2853,1236,57,71,80.3,62,81,76.5,22,60,36.7,1,1,0,0.0,1,0,0.0,0,0,0,183,50,17,0,5,14,17,5,1,3,0,1,8,150,7,4,10,6,5,2,0,1,1,1,0,6,5,100.0,350,78,169,122,68,10,349,15,10,5,6,4,4,10,40.0,6,17,8,9,10,25,26,0,0.9,0.1,-2.3,-2.3,0.1,0.1,0.1,0.9,0.9,0.04,0,2.2,0.22,1.2
Cagliari,Roma,2024-08-18,D,H,0,0,0,0,0,0,43,0,it Serie A,21,4,28.6,30.3,11,10,52.4,13,8,61.5,3,23.1,272,1515,756,15,14,17,2,11.8,2,0,0,15,7,0,0,0,0,0,0,0,5,60.0,41.2,13,0.0,0.0,2,15.4,18.1,0,3,0,0,0,41,0,4.7,281,380,73.9,8,20,2,0,27,5668,2200,91,102,89.2,142,176,80.7,42,80,52.5,0,0,0,,0,0,,0,0,0,333,44,9,2,1,16,24,5,0,5,0,3,5,279,14,3,16,6,20,15,1,0,2,1,1,3,3,100.0,498,64,210,201,97,13,498,13,6,6,7,0,8,13,61.5,5,8,5,3,15,28,27,0,1.0,1.0,0.0,0.0,0.7,0.4,-1.0,-1.0,-0.7,0.08,0,0.5,0.16,0.5
Juventus,Como,2024-08-19,W,H,3,0,3,0,0,3,57,0,it Serie A,21,4,14.3,24.7,12,3,80.0,11,7,63.6,3,27.3,473,2458,1204,28,16,10,1,10.0,2,0,0,11,12,5,4,1,0,0,0,0,7,42.9,37.3,13,0.23,0.5,6,46.2,20.0,1,4,0,0,0,34,0,4.0,503,557,90.3,7,21,6,3,29,9387,2742,204,212,96.2,235,256,91.8,59,73,80.8,0,0,0,,0,0,,0,0,0,520,33,12,2,2,14,10,3,1,1,0,4,4,495,16,6,13,4,17,12,2,0,1,1,1,0,0,,633,56,219,311,106,18,633,15,9,6,7,2,6,8,75.0,2,10,2,8,4,19,10,0,1.2,1.2,1.0,1.0,0.9,0.5,1.8,1.8,1.1,0.09,1,0.0,,0.0
Como,Juventus,2024-08-19,L,A,0,3,-3,0,0,0,43,0,it Serie A,21,3,42.9,37.2,3,12,20.0,10,2,20.0,6,60.0,335,1676,841,9,15,9,0,0.0,4,0,0,12,11,0,0,0,0,0,0,0,7,0.0,9.7,3,0.0,,0,0.0,19.4,0,1,0,0,0,24,2,16.0,358,415,86.3,2,22,2,1,34,6476,1763,142,152,93.4,185,197,93.9,27,52,51.9,0,0,0,,0,0,,0,0,0,372,42,14,0,4,12,17,0,0,0,0,1,8,350,15,0,12,9,4,4,0,0,0,0,0,6,3,50.0,477,49,159,229,90,5,477,7,4,1,3,3,3,10,30.0,7,4,1,3,4,11,10,2,0.2,0.2,-1.0,-1.0,0.2,0.3,-0.2,-0.2,-0.2,0.06,0,2.3,0.38,-0.7
Lecce,Atalanta,2024-08-19,L,H,0,4,-4,0,0,0,48,0,it Serie A,22,4,40.9,36.9,23,20,53.5,16,4,25.0,2,12.5,287,1544,743,13,6,9,0,0.0,0,0,0,10,24,0,0,0,0,0,0,0,4,25.0,19.5,21,0.0,0.0,4,19.0,17.3,1,1,0,1,0,41,1,16.0,362,451,80.3,16,31,11,6,28,6520,2503,162,189,85.7,160,185,86.5,40,75,53.3,1,1,0,0.0,1,0,0.0,0,0,0,393,57,24,2,0,16,19,5,2,2,0,1,3,358,6,4,17,8,35,25,4,1,2,2,1,6,2,50.0,556,43,186,269,108,24,556,19,8,10,5,4,8,14,57.1,6,5,1,4,9,28,9,1,1.5,1.5,-0.2,0.6,1.4,1.2,-1.5,-1.5,-1.4,0.08,1,2.4,0.27,-1.6
Atalanta,Lecce,2024-08-19,W,A,4,0,4,1,0,3,52,1,it Serie A,19,4,36.8,33.1,20,23,46.5,17,6,35.3,8,47.1,331,1751,897,16,11,15,0,0.0,2,0,0,24,10,7,5,0,0,1,1,0,14,92.9,56.9,10,0.3,0.6,5,50.0,13.4,0,1,1,0,0,46,1,17.5,411,498,82.5,7,42,7,3,37,7691,2193,170,193,88.1,185,207,89.4,54,86,62.8,0,0,0,,0,0,,0,0,0,456,41,10,1,4,15,13,3,0,3,0,1,6,408,11,3,16,11,18,13,1,0,3,1,0,4,4,100.0,595,49,165,334,101,19,594,10,6,7,3,0,2,6,33.3,4,7,4,3,12,22,16,0,1.7,0.9,0.2,-0.6,0.6,0.7,2.3,2.1,1.4,0.1,0,0.7,0.19,0.7
