Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Comp,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Aston Villa,West Ham,2024-08-17,W,A,2,1,1,0,0,2,48,0,eng Premier League,31,4,48.4,40.5,12,14,46.2,15,8,53.3,7,46.7,310,1892,1152,23,12,19,1,5.3,2,0,0,11,18,3,2,1,0,0,0,0,6,33.3,33.3,15,0.13,0.67,3,20.0,15.2,0,1,0,1,0,38,1,14.7,348,433,80.4,12,28,6,0,25,6106,2145,154,170,90.6,160,185,86.5,27,57,47.4,1,1,0,0.0,1,0,0.0,0,0,0,383,49,19,4,1,15,19,3,3,0,0,1,11,344,12,4,15,7,23,16,2,2,3,0,0,3,2,100.0,561,67,192,237,139,21,561,24,15,8,13,3,6,10,60.0,4,13,4,9,7,31,22,0,2.0,2.0,-0.3,0.5,1.7,0.9,0.0,0.0,0.3,0.14,0,1.3,0.23,0.3
Southampton,Newcastle Utd,2024-08-17,L,A,0,1,-1,0,0,0,77,0,eng Premier League,19,3,21.1,24.3,9,7,56.3,14,6,42.9,7,50.0,476,2657,1550,31,19,12,2,16.7,4,0,0,16,15,0,0,0,0,0,0,0,3,0.0,11.3,19,0.0,0.0,3,15.8,17.0,1,2,0,0,0,35,0,7.2,604,702,86.0,15,58,14,3,62,9503,2647,323,352,91.8,233,263,88.6,35,54,64.8,0,0,0,,0,0,,0,0,0,650,50,15,1,3,30,18,12,5,2,0,2,17,597,19,9,10,9,34,28,0,0,4,2,0,1,0,0.0,788,51,179,343,270,46,788,13,6,4,3,6,5,6,83.3,1,8,2,6,3,16,13,1,1.8,1.8,1.5,1.5,1.5,1.6,-1.8,-1.8,-1.5,0.1,1,0.6,0.63,-0.4
Bournemouth,Nott'ham Forest,2024-08-17,D,A,1,1,0,0,0,1,47,0,eng Premier League,27,6,29.6,31.8,15,25,37.5,20,5,25.0,10,50.0,327,1992,1085,18,12,11,0,0.0,3,0,0,8,17,2,2,0,0,0,0,0,6,0.0,13.0,13,0.08,0.25,4,30.8,19.6,1,4,0,0,0,57,3,14.6,363,485,74.8,7,33,6,0,49,6628,2447,153,177,86.4,166,197,84.3,39,85,45.9,0,0,0,,0,0,,0,0,0,433,48,16,0,3,25,18,6,4,0,0,4,11,359,12,5,8,14,24,19,2,0,1,1,1,8,7,87.5,628,71,201,274,160,22,628,18,7,8,7,3,10,19,52.6,9,13,3,10,14,32,29,1,1.2,1.2,-0.1,-0.1,0.5,0.5,-0.2,-0.2,-0.5,0.09,1,1.7,0.23,0.7
Brighton,Everton,2024-08-17,W,A,3,0,3,0,0,3,60,0,eng Premier League,50,1,10.0,25.9,13,18,41.9,18,6,33.3,12,66.7,456,2515,1309,18,14,13,0,0.0,1,0,0,8,8,5,4,0,1,0,0,0,12,8.3,12.3,10,0.3,0.6,5,50.0,13.8,0,1,0,0,0,43,1,14.5,510,605,84.3,10,20,7,1,38,8272,3083,259,285,90.9,205,231,88.7,35,63,55.6,0,0,0,,0,0,,0,0,0,557,47,15,1,4,14,14,5,2,2,0,1,10,504,14,11,15,11,19,13,2,3,0,1,0,1,1,100.0,711,102,311,281,125,26,711,21,13,6,10,5,11,16,68.8,5,11,4,7,8,29,18,1,1.4,1.4,1.0,1.0,1.4,1.0,1.6,1.6,1.6,0.14,0,0.0,0.05,0.0
Manchester City,Chelsea,2024-08-18,W,A,2,0,2,0,0,2,52,0,eng Premier League,34,5,23.5,30.7,5,3,62.5,30,15,50.0,8,26.7,385,2736,1620,41,31,12,1,8.3,1,0,0,9,12,3,1,0,2,0,0,0,5,20.0,28.6,11,0.18,0.4,5,45.5,19.1,0,1,0,0,0,41,0,11.0,501,570,87.9,8,29,6,0,32,8217,2491,256,281,91.1,216,229,94.3,27,46,58.7,0,0,0,,0,0,,0,0,0,528,41,14,2,1,11,18,3,2,0,0,1,7,496,31,13,8,12,19,16,0,3,0,0,0,3,3,100.0,664,76,238,261,178,24,664,16,9,10,4,2,7,11,63.6,4,6,4,2,10,26,18,0,0.8,0.8,-0.2,-0.2,0.6,0.9,1.2,1.2,0.4,0.07,0,0.7,0.23,0.7
Brentford,Crystal Palace,2024-08-18,W,H,2,1,1,0,0,2,46,0,eng Premier League,47,5,29.8,34.3,19,14,57.6,16,5,31.3,8,50.0,318,1617,814,16,12,11,1,9.1,1,0,0,6,15,3,2,0,0,1,0,0,8,50.0,44.0,9,0.22,0.4,5,55.6,12.5,0,1,0,0,1,47,2,14.9,331,440,75.2,7,22,4,3,31,6367,2592,136,164,82.9,142,179,79.3,47,75,62.7,0,0,0,,0,0,,0,0,1,394,45,17,2,3,17,14,4,3,0,0,1,9,325,12,3,9,14,15,11,1,2,1,0,0,6,6,83.3,542,87,222,214,114,12,542,19,10,5,10,4,14,17,82.4,3,13,4,9,11,30,20,0,1.6,1.6,0.4,0.4,0.6,0.6,0.4,0.4,0.4,0.2,0,1.0,0.17,1.0
Crystal Palace,Brentford,2024-08-18,L,A,1,2,-1,0,0,0,54,0,eng Premier League,15,3,53.3,37.0,14,19,42.4,18,3,16.7,14,77.8,316,1388,807,14,16,14,0,0.0,5,0,0,15,6,0,0,0,0,0,0,0,10,30.0,25.5,14,0.0,0.0,6,42.9,19.2,1,3,0,0,0,49,2,26.0,410,519,79.0,9,36,7,1,32,6630,2142,212,233,91.0,155,189,82.0,30,65,46.2,0,0,0,,0,0,,0,0,0,472,44,6,2,1,14,18,7,3,0,0,3,8,409,16,5,9,5,23,19,1,1,1,1,0,5,3,60.0,640,55,154,344,148,20,640,22,13,5,12,5,8,13,61.5,5,10,1,9,5,27,29,1,1.2,1.2,-0.4,-0.4,0.8,0.6,-1.2,-1.2,-0.8,0.08,1,2.4,0.62,0.4
Chelsea,Manchester City,2024-08-18,L,H,0,2,-2,0,0,0,48,0,eng Premier League,23,4,21.7,29.3,3,5,37.5,11,4,36.4,7,63.6,370,1673,827,16,6,6,1,16.7,1,0,0,12,9,0,0,0,0,0,0,0,6,0.0,14.3,10,0.0,0.0,3,30.0,17.1,0,2,0,0,0,43,0,9.8,461,531,86.8,9,34,11,5,26,7768,2625,223,244,91.4,204,222,91.9,29,53,54.7,0,0,0,,0,0,,0,0,0,489,40,10,2,2,18,17,4,3,0,0,2,3,459,6,2,10,9,20,18,0,1,1,0,0,5,3,60.0,629,64,195,259,175,24,629,20,14,7,9,4,8,23,34.8,15,10,3,7,10,30,13,1,1.0,1.0,0.2,0.2,1.0,0.9,-1.0,-1.0,-1.0,0.1,0,0.8,0.16,-1.2
Tottenham,Leicester City,2024-08-19,D,A,1,1,0,0,0,1,70,0,eng Premier League,39,6,2.6,19.2,9,8,52.9,26,13,50.0,11,42.3,465,2247,1160,24,13,12,1,8.3,1,0,0,12,11,2,2,0,0,0,0,0,6,0.0,11.2,15,0.07,0.17,6,40.0,13.7,0,1,0,0,0,45,8,28.3,631,724,87.2,12,59,19,5,69,10258,3287,305,332,91.9,274,301,91.0,36,54,66.7,0,0,0,,0,0,,0,0,0,671,52,13,2,3,28,18,13,5,3,0,1,18,627,13,12,14,11,30,20,4,1,1,3,1,3,2,66.7,840,44,175,380,291,58,840,23,13,5,11,7,9,16,56.3,7,8,1,7,6,29,16,0,1.2,1.2,0.1,0.1,1.1,2.4,-0.2,-0.2,-0.1,0.08,0,1.3,0.44,0.3
Leicester City,Tottenham,2024-08-19,D,H,1,1,0,0,0,1,30,0,eng Premier League,21,5,52.4,46.0,8,9,47.1,19,7,36.8,9,47.4,212,1128,483,12,5,23,0,0.0,1,0,0,11,12,2,2,0,0,0,0,0,6,66.7,43.8,7,0.14,0.33,3,42.9,16.4,0,2,0,0,0,37,0,15.5,237,313,75.7,5,20,7,4,23,4016,1704,125,145,86.2,91,105,86.7,16,49,32.7,0,0,0,,0,0,,0,0,0,272,39,13,3,1,15,16,2,0,2,0,2,5,235,5,2,14,14,13,9,1,1,1,1,0,6,5,83.3,454,89,216,171,73,10,454,22,15,16,3,3,11,24,45.8,13,20,6,14,10,32,42,0,1.0,1.0,-0.1,-0.1,0.9,1.0,0.0,0.0,0.1,0.15,0,1.9,0.32,0.9
